SCAN H = log(n) + lambda*Dmax80(n) - mu*Cmax80(n) + theta*Pmax80(n)
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80
LAMBDAS = [0.28, 0.3, 0.32, 0.34]
MUS = [0.02, 0.03, 0.04, 0.05, 0.06]
THETAS = [0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]
CPU_COUNT = 8
WORKERS = 7
CHUNK_SIZE = 25000
Tempo totale secondi = 213.47

Candidato precedente:
lambda=0.30 | mu=0.04 | theta=0.00 | avg_H=3.147416 | max_H=140 | improved=341157 | worsened=86

Migliori per pochi peggioramenti
------------------------------------------------------------------------------------------------------------------------
lambda=0.34 | mu=0.03 | theta=0.25 | avg_H=3.092580 | max_H=140 | improved=  429113 | worsened=      94 | worst_loss= 107 | score=+0.395211 | worst_n=4941897 | best_n=824347
lambda=0.32 | mu=0.04 | theta=0.25 | avg_H=3.093846 | max_H=140 | improved=  418459 | worsened=      88 | worst_loss= 107 | score=+0.393945 | worst_n=4941897 | best_n=4519375

Migliori per guadagno medio
------------------------------------------------------------------------------------------------------------------------
lambda=0.34 | mu=0.06 | theta=0.20 | avg_H=3.032053 | max_H=140 | improved=  440598 | worsened=      98 | worst_loss= 107 | score=+0.455738 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.05 | theta=0.25 | avg_H=3.040140 | max_H=140 | improved=  451467 | worsened=     100 | worst_loss= 107 | score=+0.447651 | worst_n=4941897 | best_n=1784859
lambda=0.32 | mu=0.06 | theta=0.25 | avg_H=3.046028 | max_H=140 | improved=  440383 | worsened=      92 | worst_loss= 107 | score=+0.441763 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.06 | theta=0.25 | avg_H=3.046081 | max_H=140 | improved=  467208 | worsened=   33292 | worst_loss= 107 | score=+0.441710 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.06 | theta=0.15 | avg_H=3.048981 | max_H=140 | improved=  410186 | worsened=      99 | worst_loss= 107 | score=+0.438810 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.05 | theta=0.20 | avg_H=3.055676 | max_H=140 | improved=  424407 | worsened=      96 | worst_loss= 107 | score=+0.432115 | worst_n=4941897 | best_n=1784859
lambda=0.32 | mu=0.06 | theta=0.20 | avg_H=3.062636 | max_H=140 | improved=  412287 | worsened=      90 | worst_loss= 107 | score=+0.425155 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.06 | theta=0.10 | avg_H=3.063161 | max_H=140 | improved=  383142 | worsened=      99 | worst_loss= 107 | score=+0.424630 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.06 | theta=0.30 | avg_H=3.065949 | max_H=140 | improved=  497377 | worsened=   77275 | worst_loss= 107 | score=+0.421842 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.04 | theta=0.25 | avg_H=3.067363 | max_H=140 | improved=  440973 | worsened=      96 | worst_loss= 107 | score=+0.420428 | worst_n=4941897 | best_n=2943135
lambda=0.34 | mu=0.06 | theta=0.05 | avg_H=3.069009 | max_H=140 | improved=  374362 | worsened=     101 | worst_loss= 107 | score=+0.418782 | worst_n=4941897 | best_n=1784859
lambda=0.32 | mu=0.05 | theta=0.25 | avg_H=3.070058 | max_H=140 | improved=  428492 | worsened=      91 | worst_loss= 107 | score=+0.417733 | worst_n=4941897 | best_n=1784859
lambda=0.30 | mu=0.06 | theta=0.25 | avg_H=3.071612 | max_H=140 | improved=  417699 | worsened=      84 | worst_loss= 107 | score=+0.416179 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.06 | theta=0.00 | avg_H=3.072890 | max_H=140 | improved=  368554 | worsened=     101 | worst_loss= 107 | score=+0.414901 | worst_n=4941897 | best_n=1784859
lambda=0.34 | mu=0.05 | theta=0.15 | avg_H=3.073348 | max_H=140 | improved=  392358 | worsened=      96 | worst_loss= 107 | score=+0.414443 | worst_n=4941897 | best_n=1784859
