rank;start;classe_mod_1024;pattern_length;sum_v2;modulus_power;modulus;solutions_count;residue;start_equals_residue;start_congruent_to_residue;quotient_start_minus_residue_over_modulus;density_among_odd_classes;max_debt;max_debt_step;peak_step;first_descent_step;max_run_1;avg_v2;ratio_1;pattern_prefix_80;time_seconds
64;3362671;879;60;81;82;4835703278458516698824704;1;3362671;True;True;0;4.135903062765138374357043460350E-25;14.097750043269372;60;60;101;7;1.7315436241610738;0.5838926174496645;1,1,1,2,1,3,1,2,1,1,1,2,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1;0.001480
65;480481;225;89;127;128;340282366920938463463374607431768211456;1;480481;True;True;0;5.877471754111437539843682686111E-39;14.061662564182882;89;89;1;7;1.7105263157894737;0.5986842105263158;2,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1;0.003912
66;1469439;1023;36;43;44;17592186044416;1;1469439;True;True;0;1.136868377216160297393798828125E-13;14.058650025961619;36;36;47;12;1.7652173913043478;0.6086956521739131;1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1;0.000415
67;2727935;1023;36;43;44;17592186044416;1;2727935;True;True;0;1.136868377216160297393798828125E-13;14.058650025961619;36;36;63;12;1.7692307692307692;0.6324786324786325;1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;0.000436
68;487039;639;77;108;109;649037107316853453566312041152512;1;487039;True;True;0;3.081487911019577364889564708136E-33;14.042112555529016;77;77;92;7;1.7214285714285715;0.6;1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;0.002824
69;3037039;879;65;89;90;1237940039285380274899124224;1;3037039;True;True;0;1.615587133892632177483220101699E-27;14.02256254687515;65;65;99;6;1.7410071942446044;0.5827338129496403;1,1,1,2,1,3,1,1,1,1,1,1,3,1,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,1,1,1,1,2,1,1,1,1;0.001685
70;1853211;795;94;135;136;87112285931760246646623899502532662132736;1;1853211;True;True;0;2.295887403949780289001438549262E-41;13.98647506778866;94;94;109;11;1.7134146341463414;0.6402439024390244;1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1;0.004123
71;502441;681;41;51;52;4503599627370496;1;502441;True;True;0;4.440892098500626161694526672363E-16;13.983462529567404;41;41;1;13;1.743801652892562;0.5867768595041323;2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1;0.000618
72;2431999;1023;41;51;52;4503599627370496;1;2431999;True;True;0;4.440892098500626161694526672363E-16;13.983462529567404;41;41;66;9;1.7941176470588236;0.5980392156862745;1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,1,4,1,1,1,1,1,1;0.000703
73;3964775;871;82;116;117;166153499473114484112975882535043072;1;3964775;True;True;0;1.203706215242022408159986214116E-35;13.966925059134809;82;82;114;10;1.7261146496815287;0.5796178343949044;1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,2,1,1,2,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,3,1,1,1,4,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1;0.003433
74;358847;447;29;32;33;8589934592;1;358847;True;True;0;2.328306436538696289062500000000E-10;13.963912520913524;29;29;42;12;1.8870967741935485;0.5967741935483871;1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1;0.000237
75;3252223;1023;29;32;33;8589934592;1;3252223;True;True;0;2.328306436538696289062500000000E-10;13.963912520913524;29;29;34;12;1.787037037037037;0.6203703703703703;1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1;0.000245
76;2672383;767;70;97;98;316912650057057350374175801344;1;2672383;True;True;0;6.310887241768094443293828522262E-30;13.947375050480929;70;70;87;10;1.7622950819672132;0.5737704918032787;1,1,1,1,1,1,1,2,1,3,1,2,2,2,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,5,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1;0.002230
77;3243167;159;58;78;79;604462909807314587353088;1;3243167;True;True;0;3.308722450212110699485634768280E-24;13.927825041827049;58;58;92;5;1.75;0.5757575757575758;1,1,1,1,2,1,1,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,1,1,1,1,2,1,1,1,1;0.001359
78;3356201;553;58;78;79;604462909807314587353088;1;3356201;True;True;0;3.308722450212110699485634768280E-24;13.927825041827049;58;58;1;12;1.7272727272727273;0.6038961038961039;2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001327
79;540543;895;87;124;125;42535295865117307932921825928971026432;1;540543;True;True;0;4.701977403289150031874946148889E-38;13.891737562740587;87;87;102;7;1.7133333333333334;0.6066666666666667;1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1;0.003702
80;378043;187;34;40;41;2199023255552;1;378043;True;True;0;9.094947017729282379150390625000E-13;13.888725024519303;34;34;4;12;1.8656716417910448;0.5970149253731343;1,2,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1;0.000342
81;2559903;927;34;40;41;2199023255552;1;2559903;True;True;0;9.094947017729282379150390625000E-13;13.888725024519303;34;34;82;16;1.7692307692307692;0.5897435897435898;1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;0.000345
82;3512991;671;63;86;87;154742504910672534362390528;1;3512991;True;True;0;1.292469707114105741986576081359E-26;13.852637545432827;63;63;8;12;1.7394366197183098;0.6338028169014085;1,1,1,1,2,1,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,2,3,3,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1;0.001602
83;3985387;1003;63;86;87;154742504910672534362390528;1;3985387;True;True;0;1.292469707114105741986576081359E-26;13.852637545432827;63;63;3;7;1.730263157894737;0.5789473684210527;1,2,2,1,1,1,2,1,3,1,2,1,1,1,2,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1;0.001536
84;2084863;1023;92;132;133;10889035741470030830827987437816582766592;1;2084863;True;True;0;1.836709923159824231201150839410E-40;13.816550066346366;92;92;107;11;1.7160493827160495;0.6419753086419753;1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1;0.004039
85;565247;1023;39;48;49;562949953421312;1;565247;True;True;0;3.552713678800500929355621337891E-15;13.813537528125089;39;39;95;12;1.7478991596638656;0.5882352941176471;1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1;0.000567
86;3233107;339;39;48;49;562949953421312;1;3233107;True;True;0;3.552713678800500929355621337891E-15;13.813537528125089;39;39;2;13;1.7666666666666666;0.6333333333333333;1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;0.000525
87;577231;719;80;113;114;20769187434139310514121985316880384;1;577231;True;True;0;9.629649721936179265279889712925E-35;13.797000057692486;80;80;95;7;1.7202797202797202;0.6013986013986014;1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;0.003148
88;3751423;511;56;75;76;75557863725914323419136;1;3751423;True;True;0;2.646977960169688559588507814624E-23;13.75790004038474;56;56;27;12;1.7481481481481482;0.6296296296296297;1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,2,3,3,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1;0.001205
89;3775727;239;56;75;76;75557863725914323419136;1;3775727;True;True;0;2.646977960169688559588507814624E-23;13.75790004038474;56;56;80;12;1.730263157894737;0.6052631578947368;1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001238
90;3888063;959;56;75;76;75557863725914323419136;1;3888063;True;True;0;2.646977960169688559588507814624E-23;13.75790004038474;56;56;82;9;1.7924528301886793;0.6132075471698113;1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1;0.001158
91;4255881;137;56;75;76;75557863725914323419136;1;4255881;True;True;0;2.646977960169688559588507814624E-23;13.75790004038474;56;56;1;7;1.7379310344827585;0.5793103448275863;2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1;0.001172
92;3827241;553;44;56;57;144115188075855872;1;3827241;True;True;0;1.387778780781445675529539585114E-17;13.738350031730874;44;44;1;12;1.7428571428571429;0.5928571428571429;2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.000698
93;608111;879;85;121;122;5316911983139663491615228241121378304;1;608111;True;True;0;3.761581922631320025499956919111E-37;13.721812561298265;85;85;100;7;1.7162162162162162;0.6013513513513513;1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1;0.003450
94;425299;339;32;37;38;274877906944;1;425299;True;True;0;7.275957614183425903320312500000E-12;13.718800023076994;32;32;2;12;1.876923076923077;0.6;1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1;0.000295
95;1409023;1023;32;37;38;274877906944;1;1409023;True;True;0;7.275957614183425903320312500000E-12;13.718800023076994;32;32;44;14;1.8255813953488371;0.5930232558139535;1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1;0.000340
96;3423871;639;32;37;38;274877906944;1;3423871;True;True;0;7.275957614183425903320312500000E-12;13.718800023076994;32;32;51;9;1.8452380952380953;0.5952380952380952;1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1;0.000306
97;2252031;255;126;186;187;196159429230833773869868419475239575503198607639501078528;1;2252031;True;True;0;1.019578823124769457298483454571E-56;13.705275090865655;126;126;141;10;1.6938775510204083;0.6479591836734694;1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1;0.007873
98;1330431;255;61;83;84;19342813113834066795298816;1;1330431;True;True;0;1.033975765691284593589260865087E-25;13.682712543990519;61;61;85;9;1.7116564417177915;0.5950920245398773;1,1,1,1,1,1,1,3,1,2,1,1,2,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1;0.001424
99;3843753;681;61;83;84;19342813113834066795298816;1;3843753;True;True;0;1.033975765691284593589260865087E-25;13.682712543990519;61;61;1;7;1.7481481481481482;0.5777777777777777;2,1,1,1,1,1,1,1,3,1,1,2,2,2,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,1,1,1,1,2,1,1,1,1;0.001485
100;3977719;503;61;83;84;19342813113834066795298816;1;3977719;True;True;0;1.033975765691284593589260865087E-25;13.682712543990519;61;61;3;12;1.7261146496815287;0.6050955414012739;1,1,3,2,1,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1;0.001461
