rank;start;classe_mod_1024;pattern_length;sum_v2;modulus_power;modulus;solutions_count;residue;start_equals_residue;start_congruent_to_residue;quotient_start_minus_residue_over_modulus;density_among_odd_classes;max_debt;max_debt_step;peak_step;first_descent_step;max_run_1;avg_v2;ratio_1;pattern_prefix_80;time_seconds
17;270271;959;87;123;124;21267647932558653966460912964485513216;1;270271;True;True;0;9.403954806578300063749892297778E-38;14.891737562740587;87;87;103;7;1.7066666666666668;0.6066666666666667;1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1;0.003832
18;4026971;603;51;66;67;147573952589676412928;1;4026971;True;True;0;1.355252715606880542509316001087E-20;14.833087536778962;51;51;61;10;1.7379310344827585;0.6;1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1;0.001027
19;4828799;639;51;66;67;147573952589676412928;1;4828799;True;True;0;1.355252715606880542509316001087E-20;14.833087536778962;51;51;81;11;1.75;0.6102941176470589;1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,2,1,3,2,1,1,1,2,1,2,1,1,1,1;0.001052
20;1042431;1023;92;131;132;5444517870735015415413993718908291383296;1;1042431;True;True;0;3.673419846319648462402301678820E-40;14.816550066346366;92;92;107;10;1.7098765432098766;0.6419753086419753;1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,2,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1;0.004048
21;1616553;681;39;47;48;281474976710656;1;1616553;True;True;0;7.105427357601001858711242675781E-15;14.813537528125089;39;39;1;14;1.7583333333333333;0.6333333333333333;2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1;0.000523
22;4064103;871;39;47;48;281474976710656;1;4064103;True;True;0;7.105427357601001858711242675781E-15;14.813537528125089;39;39;91;17;1.6904761904761905;0.5952380952380952;1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,1,1,1,2,1;0.000540
23;288615;871;80;112;113;10384593717069655257060992658440192;1;288615;True;True;0;1.925929944387235853055977942585E-34;14.797000057692486;80;80;96;7;1.7132867132867133;0.6013986013986014;1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;0.003126
24;1875711;767;56;74;75;37778931862957161709568;1;1875711;True;True;0;5.293955920339377119177015629248E-23;14.75790004038474;56;56;61;12;1.7407407407407407;0.6296296296296297;1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,2,3,3,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1;0.001214
25;3542887;871;56;74;75;37778931862957161709568;1;3542887;True;True;0;5.293955920339377119177015629248E-23;14.75790004038474;56;56;113;10;1.6866359447004609;0.6036866359447005;1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,2,1,2,1,1,2,1;0.001348
26;212649;681;32;36;37;137438953472;1;212649;True;True;0;1.455191522836685180664062500000E-11;14.718800023076994;32;32;1;12;1.8615384615384616;0.6;2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1;0.000292
