family_id;members_count;nodes_count;max_common_value;min_common_value;max_avg_step;min_avg_step;members_preview;common_values_preview
eb83573a28b5;4;8;56490209;4959359;8.5;1.5;1469439,2204159,3306239,4959359;56490209,42367657,37660139,25106759,16737839,11158559,7439039,4959359
c7136b271ca7;4;7;67645853;13362143;15.75;9.75;2471679,3707519,3905863,4943359;67645853,47509841,45097235,35632381,30064823,20043215,13362143
a71df653d45f;4;7;45371501;3983231;7.75;1.75;2655487,3147243,3540649,3983231;45371501,30247667,20165111,13443407,8962271,5974847,3983231
b1f384f513fe;4;7;32048297;4220351;9.0;3.0;1875711,2813567,3512991,4220351;32048297,24036223,21365531,14243687,9495791,6330527,4220351
6eccb968bbb3;4;5;22731677;4490207;5.5;1.5;1330431,1995647,2993471,4490207;22731677,15154451,10102967,6735311,4490207
8f10e67cfd47;4;5;16418537;4864751;5.5;1.5;1441407,2162111,3243167,4864751;16418537,12313903,10945691,7297127,4864751
fde4fa37d01f;4;5;15123833;4481135;5.5;1.5;1327743,1991615,2987423,4481135;15123833,11342875,10082555,6721703,4481135
16324324a7cd;4;5;11531261;4555559;6.0;2.0;3037039,4049385,4555559,4799271;11531261,10250009,7687507,6833339,4555559
61b354390220;4;4;5125133;3037115;6.0;3.0;1199847,1799771,2024743,2399695;5125133,4555673,3416755,3037115
7bcc644ccbd1;4;2;5800061;3866707;7.0;6.0;1357855,1810473,2036783,2715711;5800061,3866707
0a6346f4d443;4;2;174761;116507;2.5;1.5;77671,103561,116507,138081;174761,116507
b39c6117bd8b;4;1;3306025;3306025;3.0;3.0;2612167,3306025,3482889,3918251;3306025
edf00226e3f1;4;1;3245287;3245287;1.5;1.5;2884699,3245287,3846265,4327049;3245287
e5714c26861d;4;1;3153611;3153611;1.75;1.75;2102407,2803209,3153611,4983483;3153611
30acf4d14bea;4;1;3002707;3002707;2.0;2.0;3002707,3558763,4003609,4745017;3002707
db2d5c83e575;4;1;2938879;2938879;2.0;2.0;2938879,3483115,3918505,4644153;2938879
29a982723dae;4;1;2684647;2684647;1.5;1.5;2684647,3181803,3579529,4772705;2684647
a80aace04af9;4;1;2660861;2660861;1.25;1.25;1773907,2365209,2660861,4730419;2660861
126f1bf0aa72;4;1;2345471;2345471;1.25;1.25;1042431,1563647,2345471,4169725;2345471
124d159780c4;4;1;1723519;1723519;1.5;1.5;1723519,2298025,3064033,4085377;1723519
a26df50fe13b;4;1;1233209;1233209;1.25;1.25;822139,1096185,1233209,2192371;1233209
ee8a6e3a45c8;4;1;1190971;1190971;1.75;1.75;1190971,1587961,1882027,2117281;1190971
a984f881209a;4;1;1056767;1056767;1.0;1.0;704511,1056767,2818045,3757393;1056767
ca911c493c8e;4;1;717695;717695;1.25;1.25;318975,478463,717695,1275901;717695
0e446625f50b;4;1;159487;159487;1.0;1.0;159487,212649,850597,1134129;159487
7c43449dcb84;4;1;113383;113383;1.5;1.5;113383,134379,151177,201569;113383
77d97819dc89;3;172;98158530773;10057;182.0;2.0;3542887,3732423,4723849;98158530773,96837353117,87252027353,65439020515,64558235411,61279887521,58168018235,54471011129,51704905097,45959915641,43038823607,40853258347,38778678823,36314007419,34469936731,28692549071,19128366047,17002992041,12752244031,11335328027,7556885351,7455172445,5037923567,4970114963,4478154281,4193534501,3358615711,3313409975,2985436187,2795689667
186dbf0b44a8;3;148;41739568049;11503;148.33333333333334;1.3333333333333333;3428767,4063723,4571689;41739568049,37101838265,31304676037,27826378699,24734558843,23429531681,19768667357,18512222561,17572148761,16489705895,15619687787,14626941281,13884166921,13179111571,12341481707,11119875389,10993137263,10970205961,10413125191,9751294187,9382394861,8227654471,7413250259,7328758175,6679458845,6500862791,6254929907,5869626757,5349600773,4885838783
a66f79d25aab;3;124;5571859265;15371;131.66666666666666;8.666666666666666;1072575,1506607,1608863;5571859265,4178894449,3714572843,3134170837,2476381895,1650921263,1100614175,733742783,687108005,489161855,458072003,434810537,407175113,361933433,326107903,305381335,289873691,271450075,241288955,238041281,211592249,209180657,193249127,185938361,178530961,160859303,158694187,156885493,141061499,139453771
1d3d8228224e;3;122;5936080241;165451;122.66666666666667;1.6666666666666667;1027431,1541147,1733791;5936080241,5276515769,4452060181,3957386827,3517677179,2345118119,1852932833,1563412079,1389699625,1235288555,1042274719,823525703,549017135,514123037,366011423,342748691,289194209,253601549,244007615,228499127,216895657,208690321,192796139,169067699,162671743,156517741,152332751,135406889,133584353,125094077
3f0887ae20c2;3;110;16894913165;10357;112.33333333333333;3.3333333333333335;3708699,4172287,4395495;16894913165,11263275443,10011800393,7508850295,6674533595,6335592437,4510397357,4449689063,3612392225,3047955941,3006931571,2966459375,2709294169,2636852777,2408261483,2169882701,2140676873,2031970627,2004621047,1977639583,1757901851,1691399009,1605507655,1446588467,1427117915,1336414031,1268549257,1171934567,964392311,951411943
8a166809a1a4;3;93;140942996837;22147;93.0;1.0;3219199,4292265,4828799;140942996837,93961997891,77160627377,62641331927,57870470533,51440418251,41760887951,39640217861,37120789289,34761489005,34293612167,32996257145,30899101337,27840591967,26426811907,24747192859,23174326003,22862408111,21997504763,20599400891,18310578569,15241605407,14665003175,13732933927,13035558377,12207052379,10850713225,10161070271,9776668783,8138034919
190bc5027fcc;3;93;32275538477;25675;93.0;1.0;2799007,3732009,4198511;32275538477,21517025651,19387189457,14540392093,14344683767,12924792971,12103326929,9563122511,9201341873,9077495197,8616528647,8178970553,6901006405,6375415007,6134227915,5744352431,5667035561,5452647035,5106091049,4250276671,3829568287,3778023707,3404060699,2518682471,1679121647,1293938701,1119414431,995035049,746276287,663356699
c60dd8e4c06d;3;91;27768579569;24517;91.66666666666667;1.6666666666666667;3563611,4009063,4751481;27768579569,20826434677,18512386379,12341590919,8227727279,5485151519,3656767679,2928717377,2437845119,2252174993,2196538033,1952478251,1779496289,1689131245,1647403525,1625230079,1501449995,1334622217,1186330859,1083486719,1000966663,963099305,790887239,722324479,712602245,642066203,633424217,570725513,527258159,475068163
873e47470819;3;87;8153728541;259157;92.0;6.0;1395183,2092775,2234815;8153728541,5435819027,4586472305,3623879351,3439854229,3221226089,3057648203,2415919567,2147484059,2010995585,1508246689,1431656039,1412386469,1340663723,1272583145,1131185017,954437359,941590979,893775815,848388763,816293537,774841133,688747673,627727319,612220153,595850543,544195691,516560755,459165115,418484879
d56a22f4b5d8;3;59;4476320981;12323;59.0;1.0;829087,1105449,1243631;4476320981,2984213987,1989475991,1326317327,884211551,828013373,698636285,589474367,552008915,465757523,392982911,368005943,327116393,310505015,261988607,245337295,218077595,145385063,104913773,96923375,66390749,64615583,57436073,44260499,43077055,39342665,38290715,37344797,29506999,25527143
52fc5cf80eb9;3;57;17207332949;12647;65.66666666666667;8.666666666666666;2268927,3403391,4537855;17207332949,15295407065,11471555299,10196938043,6797958695,4774423661,4531972463,3182949107,3021314975,2121966071,2014209983,1790408873,1414644047,1342806655,943096031,628730687,558871721,419153791,372581147,331183241,248387431,220788827,201648433,151236325,147192551,98128367,65418911,43612607,42535217,31901413
55c5bc6658a7;3;57;2833697357;24991;66.33333333333333;10.333333333333334;420351,630527,747291;2833697357,1889131571,1259421047,1062636509,839614031,597733037,559742687,442265825,398488691,393125177,373161791,349444601,331699369,294843883,262083451,248774527,232963067,224149889,207078281,168112417,155308711,141844853,138052187,126084313,94563235,92034791,61356527,40904351,27269567,19946933
caeebb186297;3;56;23530407821;127805;56.0;1.0;3224667,3627751,4837001;23530407821,15686938547,10457959031,8823902933,7737899057,6971972687,5803424293,5158599371,4647981791,4131539369,3439066247,3098654527,2754359579,2448319625,2292710831,1836239719,1632213083,1528473887,1088142055,1018982591,679321727,536748029,452881151,357832019,318072905,301920767,238554679,212048603,206810225,201280511
b35e62ab385c;3;52;2324522933;91007;54.666666666666664;3.6666666666666665;459759,581883,654619;2324522933,1549681955,1033121303,688747535,459165023,306110015,245164529,217924025,204073343,183873397,163443019,136048895,90699263,60466175,40310783,26873855,25857197,17915903,17238131,11943935,9696449,7962623,7272337,5592401,5454253,5308415,4194301,3728267,3538943,2485511
e8bbb6f47ae8;3;17;1807962281;4128767;17.0;1.0;1835007,2752511,4128767;1807962281,1355971711,1205308187,803538791,535692527,357128351,238085567,158723711,105815807,70543871,47029247,31352831,20901887,13934591,9289727,6193151,4128767
ff3aef941d35;3;16;17340929;2706463;17.333333333333332;2.3333333333333335;2138439,2706463,3207659;17340929,13701473,13005697,11560619,10276105,9754273,9258941,9134315,8230169,7707079,7315705,6172627,6089543,5486779,4059695,2706463
5fde6cb4feb2;3;8;51083945;4484735;8.0;1.0;1993215,2989823,4484735;51083945,38312959,34055963,22703975,15135983,10090655,6727103,4484735
f4aaad53ed20;3;6;16643069;2191679;6.0;1.0;974079,1461119,2191679;16643069,11095379,7396919,4931279,3287519,2191679
c557295ee143;3;6;12767645;3362671;6.333333333333333;1.3333333333333333;3362671,3985387,4483561;12767645,11349017,8511763,7566011,5044007,3362671
f5b1ef4e37db;3;6;4104749;2162171;6.0;1.0;1441447,1921929,2162171;4104749,3648665,3243257,2736499,2432443,2162171
983e2cb9128a;3;5;8564777;2537711;5.0;1.0;1127871,1691807,2537711;8564777,6423583,5709851,3806567,2537711
def18bcd0f64;3;5;6874145;2036783;5.0;1.0;1357855,1810473,2036783;6874145,5155609,4582763,3055175,2036783
1dc678a0f8ce;3;4;14680061;4349647;7.333333333333333;4.333333333333333;3054895,4073193,4349647;14680061,9786707,6524471,4349647
d1498132d1bc;3;3;6826409;4550939;3.0;1.0;2022639,3033959,4550939;6826409,5119807,4550939
1f9ab8f7b8bd;3;3;5877377;3918251;3.0;1.0;2612167,3482889,3918251;5877377,4408033,3918251
fbbd8e4e27ef;3;2;10068605;6712403;10.333333333333334;9.333333333333334;2943135,4414703,4474935;10068605,6712403
02e39f79f55b;3;1;4849661;4849661;1.0;1.0;3233107,4310809,4849661;4849661
db4d433e390a;3;1;4327049;4327049;1.0;1.0;2884699,3846265,4327049;4327049
e1ffe2aec641;3;1;4003609;4003609;1.6666666666666667;1.6666666666666667;3558763,4003609,4745017;4003609
5dba8b831b60;3;1;3918505;3918505;1.6666666666666667;1.6666666666666667;3483115,3918505,4644153;3918505
be10709f14a2;3;1;3670015;3670015;1.6666666666666667;1.6666666666666667;2174823,3262235,3670015;3670015
9708f55880f4;3;1;3579529;3579529;1.0;1.0;3181803,3579529,4772705;3579529
4fadeee168af;3;1;3306239;3306239;1.0;1.0;1469439,2204159,3306239;3306239
c16634fa0de7;3;1;3243167;3243167;1.0;1.0;1441407,2162111,3243167;3243167
f4c84b28ea09;3;1;2993471;2993471;1.0;1.0;1330431,1995647,2993471;2993471
505111145c36;3;1;2987423;2987423;1.0;1.0;1327743,1991615,2987423;2987423
f00ed6a88f33;3;1;2813567;2813567;3.0;3.0;1875711,2813567,3512991;2813567
31caaf10b07e;3;1;2672383;2672383;1.0;1.0;2375451,2672383,3563177;2672383
72a38b32f3f7;3;1;2655487;2655487;1.3333333333333333;1.3333333333333333;2655487,3147243,3540649;2655487
36ea6b18311b;3;1;2504929;2504929;1.0;1.0;2226603,2504929,3339905;2504929
1fcc479dc355;3;1;2504863;2504863;1.0;1.0;2504863,3339817,4453089;2504863
8ac29901e6bb;3;1;2480287;2480287;1.6666666666666667;1.6666666666666667;1469799,2204699,2480287;2480287
209fbfa18867;3;1;2431999;2431999;1.0;1.0;2431999,3242665,4323553;2431999
a9b20e787190;3;1;2298025;2298025;1.0;1.0;2298025,3064033,4085377;2298025
af11f1b94edd;3;1;2237467;2237467;1.0;1.0;1988859,2237467,2983289;2237467
0b334bff6f23;3;1;2084863;2084863;1.0;1.0;1853211,2084863,2779817;2084863
28bb07a3c0f1;3;1;2024743;2024743;1.6666666666666667;1.6666666666666667;1199847,1799771,2024743;2024743
2d2ab03f24b2;3;1;1587961;1587961;1.3333333333333333;1.3333333333333333;1587961,1882027,2117281;1587961
d96c7645d908;3;1;1563647;1563647;0.6666666666666666;0.6666666666666666;1042431,1563647,4169725;1563647
d181f3084aa7;3;1;1512173;1512173;1.0;1.0;1008115,1344153,1512173;1512173
92f08a3734a8;3;1;1130495;1130495;2.0;2.0;753663,1130495,2381947;1130495
24188ce24769;3;1;854191;854191;1.0;1.0;854191,1138921,1518561;854191
ef68d135f2fb;3;1;687871;687871;1.0;1.0;687871,917161,1222881;687871
6410c1562d84;3;1;480481;480481;1.3333333333333333;1.3333333333333333;480481,640641,2277835;480481
42f20e563a44;3;1;478463;478463;0.6666666666666666;0.6666666666666666;318975,478463,1275901;478463
ec6009b30cea;3;1;151177;151177;1.0;1.0;134379,151177,201569;151177
bd8606ab9bed;3;1;138367;138367;1.0;1.0;138367,184489,245985;138367
e2b64cfffb55;3;1;77671;77671;1.0;1.0;77671,103561,138081;77671
92d37d82196f;3;1;23861;23861;94.0;94.0;1055871,3041391,4562087;23861
a81548a2232e;2;142;2407427729;16175;142.0;1.0;626331,704623;2407427729,1805570797,1604951819,1446087653,1069967879,1043535797,964058435,761725181,713311919,695690531,677089049,642705623,507816787,475541279,463793687,457551173,428470415,406712153,317027519,309195791,305034115,285646943,271141435,211351679,206130527,175927733,140901119,137420351,117285155,110060417
1de1b304c6b1;2;137;14952269681;11921;137.0;1.0;3692539,4154107;14952269681,11214202261,9968179787,6645453191,4430302127,2953534751,1969023167,1312682111,899163341,875121407,842014865,788498597,748457657,631511149,599442227,583414271,561343243,525665731,498971771,399628151,388942847,337186253,332647847,307312865,266418767,259295231,236816681,230484649,221765231,204875243
76e0521fb269;2;120;33294549221;14899;126.0;7.0;4928623,4995867;33294549221,26306804321,22196366147,19730103241,17537869547,14797577431,11691913031,9364091969,7794608687,7023068977,6488181101,6242727979,5767272089,5267301733,5196405791,4619027369,4325454067,4105802105,3844848059,3464270527,3079351579,2737201403,2563232039,2433067913,1824800935,1708821359,1481428613,1350179837,1139214239,987619075
1f683e81246f;2;115;63486606161;797173;114.5;0.5;2643183,3964775;63486606161,60262676945,56432538809,47614954621,45197007709,42324404107,40175117963,37621692539,26783411975,25423316837,25081128359,17855607983,16948877891,16720752239,15658024949,11147168159,10997131373,10438683299,7431445439,7331420915,7150307861,6959122199,4954296959,4887613943,4766871907,4639414799,4123924265,3567696293,3302864639,3258409295
5664b3c5c3f2;2;113;27372165569;10081;117.0;1.0;3609243,4060399;27372165569,21922458293,20529124177,19486629593,19224346733,18248110379,15396843133,14614972195,12991086395,12816231155,12165406919,8660724263,8544154103,8110271279,7209130025,5773816175,5696102735,5406847519,3797401823,2531601215,2055230465,1687734143,1541422849,1156067137,1125156095,867050353,750104063,650287765,500069375,395116541
407e4fe44b3d;2;105;142195824593;15907;104.5;0.5;3041391,4562087;142195824593,106646868445,94797216395,63198144263,59988863501,56176128233,42132096175,39992575667,37450752155,24967168103,22495823813,22193038313,16644778735,15586880129,14795358875,11690160097,10391253419,9863572583,9236669705,8767620073,6927502279,6575715055,6157779803,4217966965,4105186535,3649054697,2736791023,2432703131,1621802087,1081201391
b8a24848bee4;2;105;23119199981;13093;104.5;0.5;2503359,3755039;23119199981,15412799987,10275199991,9753412493,8669699993,6850133327,6502274995,6089007401,4566755551,4059338267,3657529685,3608300681,2706225511,2405533787,1603689191,1069126127,879790733,712750751,586527155,475167167,391018103,329921525,316778111,260678735,211185407,187720361,185193701,173785823,167211377,156583853
4a88c70519b5;2;92;20048305409;14935;91.5;0.5;3663295,4884393;20048305409,15036229057,13365536939,11277171793,8910357959,8457878845,7920318185,7136335277,5940238639,5280212123,4757556851,3520141415,3171704567,2676125729,2346760943,2257981085,2007094297,1564507295,1505320723,1428878657,1270114361,1071658993,1043004863,952585771,927115433,846742907,803744245,732535649,695336575,618076955
084fa95af496;2;87;13063393745;10253;88.5;0.5;2514687,3772031;13063393745,9797545309,8708929163,5805952775,5511119237,3870635183,3674079491,3058279649,2580423455,2293709737,2206936853,2038853099,1812313865,1743752573,1720282303,1610945657,1471291235,1359235399,1208209243,1162501715,1073963771,1033334857,980860823,775001143,715975847,653907215,565709309,477317231,446980193,418571297
d7f05a3f09a8;2;82;207572633873;23221;81.5;0.5;3041127,4561691;207572633873,164008007009,155679475405,138381755915,123006005257,109338671339,92254503943,72892447559,58379803277,48594965039,32396643359,21892426229,21597762239,14398508159,11689144577,9599005439,8766858433,7792763051,6926900489,6575143825,6399336959,5195175367,4931357869,4617933659,4266224639,3078622439,2844149759,2052414959,1896099839,1849259201
b691a0627f67;2;79;37503439181;26519;79.0;1.0;4395675,4945135;37503439181,31217616593,25002292787,23413212445,20811744395,20024419313,17799483833,16668195191,15018314485,14063789693,13874496263,13349612875,13169932001,11866322555,11112130127,9877449001,9249664175,8779954667,7910881703,7408086751,6166442783,5481282473,5273921135,4110961855,3654188315,3167925713,2436125543,2375944285,2111950475,1624083695
c9a53df381ab;2;77;5003875349;13963;78.0;2.0;1157191,1464571;5003875349,3335916899,2965259465,2342921057,2223944599,1976839643,1757190793,1561947371,1317893095,1041298247,925598441,822754169,694198831,617065627,548502779,487558025,365668519,325038683,288923273,234556657,228285053,216692455,192615515,175917493,152190035,128410343,101460023,89158805,85606895,67640015
c99e728c1e75;2;74;29166172625;14485;73.5;0.5;3038655,4557983;29166172625,25925486777,21874629469,19444115083,17283657851,12304479077,11522438567,10790102501,8202986051,7681625711,7193401667,5121083807,4795601111,3460634741,3414055871,3197067407,3034716329,2307089827,2276037247,2131378271,2023144219,1420918847,947279231,631519487,486651761,421012991,374233769,364988821,324434507,280675327
2ad069a84750;2;73;15373321037;28213;72.5;0.5;3329263,4439017;15373321037,10248880691,9110116169,6832587127,6073410779,5764995389,4864214861,4048940519,3242809907,2699293679,2161873271,1824080573,1799529119,1539067985,1199686079,1154300989,1066387625,1026045323,973941461,799790719,710925083,684030215,649294307,473950055,443827025,432862871,421288937,332870269,315966703,295884683
fd2bf2f714a8;2;62;46162343069;152663;61.5;0.5;3423871,4565161;46162343069,30774895379,29212107725,25966317977,20516596919,19474738483,17310878651,13677731279,10954540397,9118487519,6932170097,6078991679,5199127573,4621446731,4107952649,4052661119,3080964487,2701774079,2134735073,1801182719,1601051305,1423156715,1200788479,948771143,632514095,421676063,281117375,243709105,187411583,182781829
00dedf5a0ad9;2;62;3432088421;10775;64.0;1.0;763675,859135;3432088421,2288058947,1525372631,1016915087,965274869,903924521,677943391,643516579,602616347,579818897,434864173,401744231,386545931,267829487,257697287,203612669,178552991,171798191,163074065,158713769,141078905,135741779,122305549,119035327,114532127,105809179,94052603,90494519,83602313,76354751
f010efe992da;2;57;4200355277;11563;56.5;0.5;656415,984623;4200355277,2800236851,1866824567,1575133229,1244549711,1106266409,829699807,737510939,590674961,491673959,443006221,327782639,291362345,218521759,194241563,166127333,136422053,129494375,90948035,86329583,80842697,60632023,57553055,53895131,46723313,38368703,35930087,35042485,31148875,25579135
