common_value;members_count;min_step;max_step;avg_step;trunk_start;reached_one;steps_to_1;total_v2;avg_v2;critical_v2;final_surplus;max_debt;max_debt_step;min_surplus;min_surplus_step;starts_dissipative;max_value;max_value_step;max_ratio;biggest_drop_ratio;biggest_drop_step;biggest_drop_v2;biggest_drop_from;biggest_drop_to;prefix_80_v2
1265046761;62;50;81;65.0;1265046761;True;83;162;1.9518072289156627;1.584962500721156;30.448112440144058;2.6992500144231215;20;-2.6992500144231215;20;False;8216025965;20;6.494642109913279;0.005859379553959686;36;9;428885;2513;2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1
1124486009;62;48;79;63.0;1124486009;True;85;165;1.9411764705882353;1.584962500721156;30.278187438701735;2.869175015865437;22;-2.869175015865437;22;False;8216025965;22;7.306472378706136;0.005859379553959686;38;9;428885;2513;2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4
1109350829;62;36;67;51.0;1109350829;True;97;184;1.8969072164948453;1.584962500721156;30.258637430047855;2.888725024519303;34;-2.888725024519303;34;False;8216025965;34;7.406156600979112;0.005859379553959686;50;9;428885;2513;3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1
986089625;62;34;65;49.0;986089625;True;99;187;1.8888888888888888;1.584962500721156;30.08871242860556;3.0586500259616187;36;-3.0586500259616187;36;False;8216025965;36;8.331926182673303;0.005859379553959686;52;9;428885;2513;2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1
948785071;62;51;82;66.0;948785071;True;82;160;1.951219512195122;1.584962500721156;30.03307494086519;3.114287513701967;19;-3.114287513701967;19;False;8216025965;19;8.659522810935966;0.005859379553959686;35;9;428885;2513;1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1
854870759;62;61;92;76.0;854870759;True;72;144;2.0;1.584962500721156;29.882699948076763;3.2646625064904047;9;-3.2646625064904047;9;False;8216025965;9;9.610839859127758;0.005859379553959686;25;9;428885;2513;1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3,1,1,5,4
843364507;62;49;80;64.0;843364507;True;84;163;1.9404761904761905;1.584962500721156;29.863149939422897;3.284212515144276;21;-3.284212515144276;21;False;8216025965;21;9.741963168720355;0.005859379553959686;37;9;428885;2513;1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2,4,3
749657339;62;47;78;62.0;749657339;True;86;166;1.930232558139535;1.584962500721156;29.693224937980574;3.4541375165865915;23;-3.4541375165865915;23;False;8216025965;23;10.959708572932414;0.005859379553959686;39;9;428885;2513;1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,2,2
739567219;62;35;66;50.0;739567219;True;98;185;1.8877551020408163;1.584962500721156;29.673674929326694;3.4736875252404644;35;-3.4736875252404644;35;False;8216025965;35;11.109234906475756;0.005859379553959686;51;9;428885;2513;1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1,2,3,1,1,2,1,2
692562257;62;28;59;43.0;692562257;True;105;196;1.8666666666666667;1.584962500721156;29.57893742427862;3.5684250302885516;42;-3.5684250302885516;42;False;8216025965;42;11.8632308965113;0.005859379553959686;58;9;428885;2513;2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,2,1,1,3,1,6,2,2,2,1,3,4,2,5,9,2,3,1,4,1,1,2,2,3,1,1,1,1,4,1,2,1,1,2,1,1,1
