start;log_step;log_value;h_step;h_value;loss;initial_dmax;initial_dmax_step;initial_cmax;initial_cmax_step;initial_max_single_v2;initial_max_single_v2_step;dmax_at_log_step;dmax_step_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_step_at_log_step;cmax_delta_at_log_step;max_single_v2_at_log_step;max_single_v2_step_at_log_step;log_delta_at_log_step;h_delta_at_log_step;local_debt_at_log_step;max_value;max_value_step;max_ratio;avg_v2_until_h;ratio_1_until_h;max_run_1_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;prefix_120_v2
4644975;13;1765631;37;453535;24;5.042112555529016;77;4.261649968269126;44;6;36;8.872187554086707;75;3.8300749985576914;2.86616247764416;31;-1.3954874906249657;6;23;-0.96727785654301;0.2375641426492959;-1.3954874906249728;68802929;34;14.812335696101702;1.6756756756756757;0.6756756756756757;7;25;7;1;4;1,1,1,2,1,2,1,1,1,1,2,5,3,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,1,1,2,1,1,2,6,4
1981743;20;1608841;40;326527;20;3.4736875252404644;35;2.601499971153757;40;6;40;5.777450049038606;68;2.3037625237981416;2.3007499855768785;20;-0.3007499855768785;6;20;-0.20846271651228854;0.49469604005022905;-0.3007499855768785;22015709;35;11.109265429472943;1.65;0.575;4;23;12;3;2;1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,4,2,1,1,2,1,1,1,1,3,1,1,1,2,1,1,3,1,3,1,6
1583007;13;1203455;32;651335;19;5.797000057692486;80;1.2811999769230056;32;5;69;6.777450049038606;68;0.98044999134612;0.8857124862980328;19;-0.3954874906249728;6;77;-0.27412961627382515;0.03582488075500974;-0.3954874906249728;39036005;25;24.659401379779116;1.625;0.65625;7;21;4;5;2;1,1,1,1,2,1,3,2,2,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,4,1,3,1,1,4,3
3058923;3;2580967;22;1396873;19;6.797000057692486;80;1.5458624834134085;23;5;53;8.212037556971325;79;1.4150374992788386;1.3007499855768785;20;-0.24511249783653;5;50;-0.16989875831446355;0.26441699138264924;-0.24511249783653177;23545637;17;7.697361783869682;1.6363636363636365;0.5909090909090909;2;13;6;1;2;1,2,2,1,1,2,1,1,3,1,1,2,1,1,2,1,1,4,1,1,4,2
3963487;5;3762217;21;1206631;16;2.4736875252404644;35;3.601499971153757;40;6;40;3.2120375569713246;79;0.7383500317308602;3.5263124747595356;35;-0.0751874963942214;6;35;-0.05211578206104939;0.17239672731397754;-0.07518749639421962;20065157;4;5.062501024981286;1.6666666666666667;0.5238095238095238;4;11;8;0;2;1,1,1,1,4,2,1,1,1,1,2,2,2,1,2,2,1,2,1,4,2
4458923;3;3762217;19;1206631;16;2.3037625237981487;33;3.7714249725960656;38;6;38;3.2120375569713246;79;0.9082750331731759;3.5263124747595356;35;-0.24511249783653;6;35;-0.16989884575110814;0.11238816411430584;-0.24511249783653177;14284673;8;3.203615088217491;1.6842105263157894;0.42105263157894735;4;8;10;0;1;1,2,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,4,2
2134427;8;1709471;20;1732795;12;6.797000057692486;80;2.62104997980763;28;6;20;8.287225053365546;74;1.49022499567306;2.3007499855768785;20;-0.3202999942307514;7;79;-0.22201426065543473;0.2378652378157133;-0.3202999942307514;36966293;19;17.31907111369937;1.6;0.7;4;14;3;2;1;1,2,1,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,1,6
2529691;11;1709471;23;1732795;12;5.607525047596297;66;2.86616247764416;31;6;23;8.287225053365546;74;2.6797000057692486;2.3007499855768785;20;-0.5654124920672814;7;79;-0.3919131949643049;0.4346133064491609;-0.5654124920672814;36966293;22;14.612967749816084;1.608695652173913;0.6956521739130435;4;16;3;3;1;1,2,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,1,6
2845903;9;1709471;21;1732795;12;5.797000057692486;80;3.0360874790864756;29;6;21;8.287225053365546;74;2.49022499567306;2.3007499855768785;20;-0.7353374935095971;7;79;-0.5096964502346637;0.2667845482076382;-0.7353374935095953;36966293;20;12.989301813870677;1.619047619047619;0.7142857142857143;4;15;2;3;1;1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,2,1,1,1,1,6
3012715;3;2541979;13;1145183;10;4.813537528125089;39;2.4706749870191906;18;5;13;6.212037556971325;79;1.398500028846236;2.225562489182657;15;-0.24511249783653355;5;10;-0.16989875404321886;0.25945575452411324;-0.24511249783653177;12215285;12;4.054577017739812;1.6923076923076923;0.6153846153846154;3;8;3;1;1;1,2,2,1,2,1,1,1,3,1,1,1,5
3199593;1;2399695;10;360361;9;8.797000057692486;80;3.5654124920672814;11;4;10;9.797000057692486;80;1.0;3.1503749927884392;10;-0.41503749927884215;4;9;-0.287681968271869;0.028919531699284694;-0.4150374992788439;8098973;4;2.531251005987324;1.9;0.5;3;5;2;2;1;2,1,1,1,3,1,2,1,3,4
4799401;1;3599551;10;1081085;9;8.797000057692486;80;3.5654124920672814;11;5;10;9.797000057692486;80;1.0;3.1503749927884392;10;-0.41503749927884215;5;9;-0.28768200299867175;0.028919496972481928;-0.4150374992788439;27334097;6;5.695314269426539;1.8;0.6;5;6;2;1;1;2,1,1,1,1,1,2,3,1,5
1316091;8;1054063;14;750403;6;2.797000057692486;80;4.86616247764416;31;4;8;3.702262552644399;73;0.9052624949519128;4.5458624834134085;23;-0.3202999942307514;6;74;-0.22201375881972574;0.06237698943507816;-0.3202999942307514;5621669;7;4.271489585446599;1.6428571428571428;0.6428571428571429;3;9;3;0;2;1,2,1,2,1,1,1,4,1,1,1,2,1,4
3201641;1;2401231;7;1709471;6;6.797000057692486;80;3.206012480528784;27;6;19;7.797000057692486;80;1.0;2.7909749812499456;26;-0.4150374992788386;6;18;-0.2876819683385108;0.02891953163264275;-0.4150374992788439;8104157;4;2.531251005343822;1.7142857142857142;0.5714285714285714;3;4;1;2;0;2,1,1,1,3,1,3
4016943;6;2859719;11;678625;5;4.398500028846243;40;3.395487490624973;13;5;41;6.042112555529016;77;1.643612526682773;2.9052624949519075;7;-0.4902249956730653;6;79;-0.33979779732617743;0.17289496050557707;-0.49022499567306355;13557185;3;3.375000591245631;1.8181818181818181;0.45454545454545453;3;5;4;1;1;1,1,1,2,2,3,1,1,2,2,4
4268855;3;3601847;8;1709471;5;5.797000057692486;80;3.62104997980763;28;6;20;7.212037556971325;79;1.4150374992788386;3.3759374819711;25;-0.24511249783653;6;17;-0.16989887194940323;0.26441687774770956;-0.24511249783653177;9604925;2;2.2500002928185663;1.75;0.625;2;5;0;3;0;1,1,3,1,1,3,1,3
4239983;10;3820295;14;2417531;4;5.797000057692486;80;0.8857124862980328;19;5;50;6.702262552644399;73;0.9052624949519128;0.7353374935095953;9;-0.15037499278843747;6;74;-0.10423161503419998;0.17336213316291135;-0.15037499278843924;16098689;5;3.7968758365304764;1.6428571428571428;0.5;3;7;5;2;0;1,1,1,2,1,2,2,2,1,3,1,1,2,3
