classe_mod;count;avg_first_descent;max_first_descent;no_descent_count;no_descent_ratio;avg_max_ratio;max_ratio;avg_final_ratio;max_final_ratio;min_final_ratio
1023;4882;23.635600163867267;41;544;0.11142974190905366;233.79308274229132;38393.54698597427;24.53999635268499;21596.41018122182;2.9763704384381636e-05
795;4883;19.532664345689124;41;303;0.062052017202539424;72.52910384945199;45503.44025340603;7.823788587989576;10798.17980166609;0.0001982008549984536
239;4883;19.62011058775343;41;292;0.05979930370673766;70.23573732524306;19196.77329518515;9.331756637753234;5399.089669020212;0.0003344638765192538
639;4883;19.492115502764694;41;287;0.05877534302682777;78.760214732307;23968.99196592415;10.709887350928316;10798.179700158948;2.64566251984595e-05
767;4883;19.511980339954945;41;286;0.05857055089084579;86.12583645158554;35953.563092916665;10.416655586660106;10798.179610828656;3.968494332363489e-05
447;4883;19.49047716567684;41;285;0.058365758754863814;69.05502540671401;15979.305712462414;7.168563817972389;5399.089515121253;5.49937066190796e-05
871;4882;19.60979106923392;41;281;0.05755837771405162;82.35009269021549;68255.167861454;9.88950321198201;21596.35935629584;0.00037120743103109317
159;4883;19.52693016588163;41;270;0.05529387671513414;66.98622497959268;7101.894325158702;10.584062772355747;5399.090515325805;0.00044595186174674025
511;4883;19.437640794593488;41;255;0.05222199467540446;76.2508277264096;17976.725188494394;7.576247697478304;10798.179171924116;5.9527427418834356e-05
327;4883;15.232234282203564;41;146;0.02989965185336883;24.712487101475705;3599.394093699651;4.016320363850671;2699.5469263962364;0.00046980946675423624
167;4883;15.26192914192095;41;144;0.029490067581404874;22.387866748225573;3370.625870595353;2.892135115562561;1349.772737156192;5.574404838332865e-05
671;4883;15.203358591030105;41;140;0.028670899037476962;29.177489936675286;10798.17911328731;5.415315548845021;10798.17911328731;3.66624635280577e-05
959;4882;15.235149528881607;41;138;0.0282671036460467;24.65389201816351;2996.1141815807;3.2192784222641095;2699.564840705621;0.0003299620811955748
127;4883;15.238173254147041;41;138;0.028261314765513003;28.1825796444629;6741.3071975254215;3.0050051492471415;2699.5475403718824;3.666245412640777e-05
743;4883;15.21114069219742;41;138;0.028261314765513003;24.25449786962949;4734.59981537613;2.810410227424774;2699.5458083354024;0.0002784056825921004
251;4883;15.253942248617653;41;135;0.02764693835756707;22.020314727970142;3994.828742204189;2.239907438823558;1349.773853913535;0.00024747161466058955
359;4883;15.126766332172844;41;134;0.02744214622158509;23.533154735255327;3599.39549625493;2.109547173350935;1349.7733111806444;0.00024747161041740757
559;4883;15.179397911120214;41;133;0.027237354085603113;21.390838890046343;4265.952833724176;2.0050623671114876;1349.7728256310315;3.093394706284306e-05
103;4883;15.133729264796232;41;132;0.027032561949621135;23.274299636821684;3599.393556326162;3.174947154650704;2699.5454193428327;0.00033903057647943514
255;4883;15.17079664140897;41;131;0.026827769813639157;32.40106943524698;11984.47093505663;2.3659764186492955;1349.7731310107338;4.124527359287578e-05
751;4883;15.156870776162195;41;131;0.026827769813639157;23.80248606274916;5399.089742145606;3.170593385943299;5399.089742145606;0.0007821944108653915
415;4883;15.126766332172844;41;129;0.026418185541675198;23.42205973765379;5687.93102734845;3.730071593305092;5399.090273850629;0.00027840556832823556
