step;value;v2;ratio_to_start;log_value;cumulative_v2;critical_required_v2;surplus_v2;avg_v2_so_far;consecutive_v2_1;phase
52;1040208301;2;342.0469783077129;20.762686819467522;74;82.41805003750011;-8.418050037500109;1.4230769230769231;0;discesa_post_picco
53;390078113;3;128.26761690649553;19.781857566776242;77;84.00301253822127;-7.00301253822127;1.4528301886792452;0;discesa_post_picco
54;292558585;2;96.20071276207801;19.494175495178993;79;85.58797503894243;-6.587975038942432;1.462962962962963;0;discesa_post_picco
55;219418939;2;72.15053465376486;19.206493423866583;81;87.17293753966358;-6.172937539663579;1.4727272727272727;0;discesa_post_picco
56;329128409;1;108.22580214506004;19.61195853349391;82;88.75790004038474;-6.75790004038474;1.4642857142857142;1;discesa_post_picco
57;246846307;2;81.1693516910014;19.324276462054907;84;90.3428625411059;-6.342862541105902;1.4736842105263157;0;discesa_post_picco
58;370269461;1;121.75402770091482;19.72974157151344;85;91.92782504182705;-6.927825041827049;1.4655172413793103;1;discesa_post_picco
59;17356381;6;5.70722005361828;16.669470777722122;91;93.51278754254821;-2.5127875425482102;1.5423728813559323;0;discesa_post_picco
60;6508643;3;2.140207561210038;15.68864154391563;94;95.09775004326937;-1.0977500432693716;1.5666666666666667;0;discesa_post_picco
61;9762965;1;3.21031150622779;16.094106703237745;95;96.68271254399052;-1.6827125439905188;1.5573770491803278;1;discesa_post_picco
62;457639;6;0.15048335699232554;13.033835942688814;101;98.26767504471168;2.7323249552883198;1.6290322580645162;0;sotto_start
63;686459;1;0.22572519990122084;13.439301779172865;102;99.85263754543283;2.1473624545671726;1.619047619047619;1;sotto_start
64;1029689;1;0.3385879642645638;13.844767372864657;103;101.43760004615399;1.5623999538460112;1.609375;2;sotto_start
65;772267;2;0.25394105540478906;13.557085624135166;105;103.02256254687515;1.9774374531248498;1.6153846153846154;0;sotto_start
66;1158401;1;0.38091174751991613;13.962551163872885;106;104.6075250475963;1.3924749524037026;1.606060606060606;1;sotto_start
67;868801;2;0.28568389284630336;13.674869379174037;108;106.19248754831746;1.8075124516825412;1.6119402985074627;0;sotto_start
68;651601;2;0.2142630018410938;13.387187690392704;110;107.7774500490386;2.222549950961394;1.6176470588235294;0;sotto_start
69;488701;2;0.1606973335871866;13.099506129501293;112;109.36241254975977;2.6375874502402326;1.6231884057971016;0;sotto_start
70;183263;3;0.0602615411983781;12.118677558569651;115;110.94737505048093;4.052624949519071;1.6428571428571428;0;sotto_start
71;274895;1;0.09039247621029967;12.524144485555768;116;112.53233755120208;3.467662448797924;1.6338028169014085;1;sotto_start
72;412343;1;0.135588878728182;12.929610806247396;117;114.11730005192324;2.8826999480767626;1.625;2;sotto_start
73;618515;1;0.20338348250500554;13.33507672274372;118;115.7022625526444;2.297737447355601;1.6164383561643836;3;sotto_start
74;927773;1;0.3050753881702408;13.74054236977696;119;117.28722505336555;1.712774946634454;1.6081081081081081;4;sotto_start
75;347915;3;0.11440331166702344;12.759713476048457;122;118.87218755408671;3.1278124459132925;1.6266666666666667;0;sotto_start
76;521873;1;0.17160513191326768;13.165179542244584;123;120.45715005480787;2.542849945192131;1.618421052631579;1;sotto_start
77;391405;2;0.128703931141317;12.877498108517601;125;122.04211255552902;2.957887444470984;1.6233766233766234;0;sotto_start
78;146777;3;0.04826401528117701;11.896669707138306;128;123.62707505625018;4.3729249437498225;1.641025641025641;0;sotto_start
79;110083;2;0.036198093667249014;11.608989905702794;130;125.21203755697132;4.787962443028675;1.6455696202531647;0;sotto_start
80;165125;1;0.05429730491360604;12.014458041824627;131;126.79700005769249;4.202999942307514;1.6375;1;sotto_start
81;30961;4;0.010180765222892697;10.34048362692364;135;128.38196255841365;6.6180374415863525;1.6666666666666667;0;sotto_start
82;23221;2;0.007635656123535782;10.05281232064669;137;129.9669250591348;7.033074940865191;1.670731707317073;0;sotto_start
83;2177;5;0.0007158530373772618;7.685703061234547;142;131.55188755985594;10.448112440144058;1.7108433734939759;0;sotto_start
84;1633;2;0.0005369719843992046;7.398174092970465;144;133.1368500605771;10.863149939422897;1.7142857142857142;0;sotto_start
85;1225;2;0.0004028111946656618;7.110696122978827;146;134.72181256129826;11.278187438701735;1.7176470588235293;0;sotto_start
86;919;2;0.0003021906023655046;6.823286122355687;148;136.30677506201943;11.693224937980574;1.7209302325581395;0;sotto_start
87;1379;1;0.00045345031628077353;7.229113877793302;149;137.8917375627406;11.108262437259413;1.7126436781609196;1;sotto_start
88;2069;1;0.0006803398871536769;7.634820677745543;150;139.47670006346175;10.523299936538251;1.7045454545454546;2;sotto_start
89;97;6;3.189607010821975e-05;4.574710978503383;156;141.06166256418288;14.938337435817118;1.752808988764045;0;sotto_start
90;73;2;2.400425894742311e-05;4.290459441148391;158;142.64662506490404;15.353374935095957;1.7555555555555555;0;sotto_start
91;55;2;1.808540057682563e-05;4.007333185232471;160;144.2315875656252;15.768412434374795;1.7582417582417582;0;sotto_start
92;83;1;2.7292513597755043e-05;4.418840607796598;161;145.81655006634637;15.183449933653634;1.75;1;sotto_start
93;125;1;4.110318312914916e-05;4.8283137373023015;162;147.40151256706753;14.598487432932473;1.7419354838709677;2;sotto_start
94;47;3;1.5454796856560085e-05;3.8501476017100584;165;148.98647506778866;16.01352493221134;1.7553191489361701;0;sotto_start
95;71;1;2.3346608017356725e-05;4.2626798770413155;166;150.57143756850982;15.428562431490178;1.7473684210526317;1;sotto_start
96;107;1;3.518432475855168e-05;4.672828834461906;167;152.15640006923098;14.843599930769017;1.7395833333333333;2;sotto_start
97;161;1;5.294089987034412e-05;5.081404364984463;168;153.74136256995214;14.258637430047855;1.731958762886598;3;sotto_start
98;121;2;3.978788126901639e-05;4.795790545596741;170;155.3263250706733;14.673674929326694;1.7346938775510203;0;sotto_start
99;91;2;2.9923117318020588e-05;4.51085950651685;172;156.91128757139444;15.088712428605561;1.7373737373737375;0;sotto_start
100;137;1;4.504908870954748e-05;4.919980925828125;173;158.4962500721156;14.5037499278844;1.73;1;sotto_start
101;103;2;3.386902289841891e-05;4.634728988229636;175;160.08121257283676;14.918787427163238;1.7326732673267327;0;sotto_start
102;155;1;5.096794708014496e-05;5.043425116919247;176;161.66617507355792;14.333824926442077;1.7254901960784315;1;sotto_start
103;233;1;7.661633335273403e-05;5.4510384535657;177;163.25113757427908;13.748862425720915;1.7184466019417475;2;sotto_start
104;175;2;5.7544456380808826e-05;5.1647859739235145;179;164.83610007500022;14.163899924999782;1.7211538461538463;0;sotto_start
105;263;1;8.648109730372984e-05;5.572154032177765;180;166.42106257572138;13.578937424278621;1.7142857142857142;1;sotto_start
106;395;1;0.00012988605868811135;5.978885764901122;181;168.00602507644254;12.99397492355746;1.7075471698113207;2;sotto_start
107;593;1;0.00019499350076468362;6.385194398997726;182;169.5909875771637;12.409012422836298;1.7009345794392523;3;sotto_start
108;445;2;0.00014632733193977102;6.09807428216624;184;171.17595007788486;12.824049922115137;1.7037037037037037;0;sotto_start
109;167;3;5.491385266054328e-05;5.117993812416755;187;172.76091257860602;14.239087421393975;1.7155963302752293;0;sotto_start
110;251;1;8.253519172333151e-05;5.5254529391317835;188;174.34587507932716;13.654124920672842;1.709090909090909;1;sotto_start
111;377;1;0.00012396720031751388;5.932245187448011;189;175.93083758004832;13.069162419951681;1.7027027027027026;2;sotto_start
112;283;2;9.30576066043937e-05;5.645446897643238;191;177.51580008076948;13.48419991923052;1.7053571428571428;0;sotto_start
113;425;1;0.00013975082263910715;6.052089168924417;192;179.10076258149064;12.899237418509358;1.6991150442477876;1;sotto_start
114;319;2;0.00010489532334558866;5.765191102784844;194;180.6857250822118;13.314274917788197;1.7017543859649122;0;sotto_start
115;479;1;0.00015750739775089958;6.171700597410915;195;182.27068758293294;12.729312417067064;1.6956521739130435;1;sotto_start
116;719;1;0.00023642550935886597;6.577861357721047;196;183.8556500836541;12.144349916345902;1.6896551724137931;2;sotto_start
117;1079;1;0.00035480267677081553;6.983789965258135;197;185.44061258437526;11.559387415624741;1.6837606837606838;3;sotto_start
118;1619;1;0.0005323684278887399;7.389563953677635;198;187.02557508509642;10.97442491490358;1.6779661016949152;4;sotto_start
119;2429;1;0.0007987170545656265;7.795234929002173;199;188.61053758581758;10.389462414182418;1.6722689075630253;5;sotto_start
120;911;3;0.00029955999864523906;6.814542897259958;202;190.19550008653874;11.804499913461257;1.6833333333333333;0;sotto_start
121;1367;1;0.0004495044107003752;7.220373836723949;203;191.78046258725988;11.219537412740124;1.677685950413223;1;sotto_start
122;2051;1;0.0006744210287830795;7.62608275807238;204;193.36542508798104;10.634574912018962;1.6721311475409837;2;sotto_start
123;3077;1;0.0010117959559071358;8.031710375322042;205;194.9503875887022;10.049612411297801;1.6666666666666667;3;sotto_start
124;577;4;0.00018973229332415253;6.3578422665081;209;196.53535008942336;12.46464991057664;1.685483870967742;0;sotto_start
125;433;2;0.00014238142635937268;6.07073772800249;211;198.12031259014452;12.879687409855478;1.688;0;sotto_start
126;325;2;0.00010686827613578781;5.783825182329737;213;199.70527509086565;13.294724909134345;1.6904761904761905;0;sotto_start
127;61;4;2.005835336702479e-05;4.110873864173311;217;201.29023759158682;15.709762408413184;1.7086614173228347;0;sotto_start
128;23;3;7.562985695763446e-06;3.1354942159291497;220;202.87520009230798;17.124799907692022;1.71875;0;sotto_start
129;35;1;1.1508891276161765e-05;3.5553480614894135;221;204.46016259302914;16.53983740697086;1.7131782945736433;1;sotto_start
130;53;1;1.7427749646759244e-05;3.970291913552122;222;206.0451250937503;15.9548749062497;1.7076923076923076;2;sotto_start
131;5;5;1.6441273251659663e-06;1.6094379124341003;227;207.63008759447143;19.369912405528567;1.7328244274809161;0;sotto_start
132;1;4;3.288254650331933e-07;0.0;231;209.2150500951926;21.784949904807405;1.75;0;sotto_start
