step;value;v2;ratio_to_start;log_value
56;329128409;1;108.22580214506004;19.61195853349391
57;246846307;2;81.1693516910014;19.324276462054907
58;370269461;1;121.75402770091482;19.72974157151344
59;17356381;6;5.70722005361828;16.669470777722122
60;6508643;3;2.140207561210038;15.68864154391563
61;9762965;1;3.21031150622779;16.094106703237745
62;457639;6;0.15048335699232554;13.033835942688814
63;686459;1;0.22572519990122084;13.439301779172865
64;1029689;1;0.3385879642645638;13.844767372864657
65;772267;2;0.25394105540478906;13.557085624135166
66;1158401;1;0.38091174751991613;13.962551163872885
67;868801;2;0.28568389284630336;13.674869379174037
68;651601;2;0.2142630018410938;13.387187690392704
69;488701;2;0.1606973335871866;13.099506129501293
70;183263;3;0.0602615411983781;12.118677558569651
71;274895;1;0.09039247621029967;12.524144485555768
72;412343;1;0.135588878728182;12.929610806247396
73;618515;1;0.20338348250500554;13.33507672274372
74;927773;1;0.3050753881702408;13.74054236977696
75;347915;3;0.11440331166702344;12.759713476048457
76;521873;1;0.17160513191326768;13.165179542244584
77;391405;2;0.128703931141317;12.877498108517601
78;146777;3;0.04826401528117701;11.896669707138306
79;110083;2;0.036198093667249014;11.608989905702794
80;165125;1;0.05429730491360604;12.014458041824627
81;30961;4;0.010180765222892697;10.34048362692364
82;23221;2;0.007635656123535782;10.05281232064669
83;2177;5;0.0007158530373772618;7.685703061234547
84;1633;2;0.0005369719843992046;7.398174092970465
85;1225;2;0.0004028111946656618;7.110696122978827
86;919;2;0.0003021906023655046;6.823286122355687
87;1379;1;0.00045345031628077353;7.229113877793302
88;2069;1;0.0006803398871536769;7.634820677745543
89;97;6;3.189607010821975e-05;4.574710978503383
90;73;2;2.400425894742311e-05;4.290459441148391
91;55;2;1.808540057682563e-05;4.007333185232471
92;83;1;2.7292513597755043e-05;4.418840607796598
93;125;1;4.110318312914916e-05;4.8283137373023015
94;47;3;1.5454796856560085e-05;3.8501476017100584
95;71;1;2.3346608017356725e-05;4.2626798770413155
96;107;1;3.518432475855168e-05;4.672828834461906
97;161;1;5.294089987034412e-05;5.081404364984463
98;121;2;3.978788126901639e-05;4.795790545596741
99;91;2;2.9923117318020588e-05;4.51085950651685
100;137;1;4.504908870954748e-05;4.919980925828125
101;103;2;3.386902289841891e-05;4.634728988229636
102;155;1;5.096794708014496e-05;5.043425116919247
103;233;1;7.661633335273403e-05;5.4510384535657
104;175;2;5.7544456380808826e-05;5.1647859739235145
105;263;1;8.648109730372984e-05;5.572154032177765
106;395;1;0.00012988605868811135;5.978885764901122
107;593;1;0.00019499350076468362;6.385194398997726
108;445;2;0.00014632733193977102;6.09807428216624
109;167;3;5.491385266054328e-05;5.117993812416755
110;251;1;8.253519172333151e-05;5.5254529391317835
111;377;1;0.00012396720031751388;5.932245187448011
112;283;2;9.30576066043937e-05;5.645446897643238
113;425;1;0.00013975082263910715;6.052089168924417
114;319;2;0.00010489532334558866;5.765191102784844
115;479;1;0.00015750739775089958;6.171700597410915
116;719;1;0.00023642550935886597;6.577861357721047
117;1079;1;0.00035480267677081553;6.983789965258135
118;1619;1;0.0005323684278887399;7.389563953677635
119;2429;1;0.0007987170545656265;7.795234929002173
120;911;3;0.00029955999864523906;6.814542897259958
121;1367;1;0.0004495044107003752;7.220373836723949
122;2051;1;0.0006744210287830795;7.62608275807238
123;3077;1;0.0010117959559071358;8.031710375322042
124;577;4;0.00018973229332415253;6.3578422665081
125;433;2;0.00014238142635937268;6.07073772800249
126;325;2;0.00010686827613578781;5.783825182329737
127;61;4;2.005835336702479e-05;4.110873864173311
128;23;3;7.562985695763446e-06;3.1354942159291497
129;35;1;1.1508891276161765e-05;3.5553480614894135
130;53;1;1.7427749646759244e-05;3.970291913552122
131;5;5;1.6441273251659663e-06;1.6094379124341003
132;1;4;3.288254650331933e-07;0.0
