step;value;v2;ratio_to_start;log_value
0;3041127;0;1.0;14.927738728365568
1;4561691;1;1.5000001644127325;15.333203946082216
2;6842537;1;2.2500004110318312;15.738669127262694
3;5131903;2;1.6875003904802397;15.450987103525787
4;7697855;1;2.531250750133092;15.856452276587113
5;11546783;1;3.7968762896123707;16.261917427997382
6;17320175;1;5.695314598831288;16.667382564973614
7;25980263;1;8.542972062659665;17.07284769232716
8;38970395;1;12.814458258402231;17.478312813265575
9;58455593;1;19.22168755201608;17.88377792992724
10;43841695;2;14.416265746218425;17.596095863177794
11;65762543;1;21.62439878374037;18.00156097888907
12;98643815;1;32.43659834002329;18.407026092065976
13;147965723;1;48.65489767444766;18.812491203553304
14;221948585;1;72.98234667608423;19.217956313914243
15;166461439;2;54.73676008926954;18.93027424296431
16;249692159;1;82.10514029831704;19.33573935307494
17;374538239;1;123.15771061188829;19.74120446251808
18;561807359;1;184.73656608224516;20.14666957151623
19;842711039;1;277.1048492877805;20.55213468021772
20;1264066559;1;415.6572740960835;20.95759978872143
21;1896099839;1;623.4859113085379;21.363064897093295
22;2844149759;1;935.2288671272196;21.768530005377258
23;4266224639;1;1402.8433008552422;22.173995113602622
24;6399336959;1;2104.264951447276;22.57946022178892
25;9599005439;1;3156.3974273353265;22.984925329949174
26;14398508159;1;4734.5961411674025;23.390390438092062
27;21597762239;1;7101.894211915517;23.79585554622338
28;32396643359;1;10652.841318037688;24.201320654346976
29;48594965039;1;15979.261977220945;24.60678576246543
30;72892447559;1;23968.89296599583;25.012250870580456
31;109338671339;1;35953.33944915816;25.41771597869319
32;164008007009;1;53930.00917390165;25.823181086804404
33;123006005257;2;40447.506880508445;25.535499014354656
34;92254503943;2;30335.630160463537;25.247816941905587
35;138381755915;1;45503.44524085972;25.653282050017364
36;207572633873;1;68255.167861454;26.058747158127936
37;155679475405;2;51191.3758961727;25.771065085677762
38;58379803277;3;19196.765961105866;24.790235832668177
39;21892426229;3;7198.787235455803;23.80940657966216
40;2052414959;5;674.8863033342574;21.44228296554577
41;3078622439;1;1012.3294551657988;21.847748073816344
42;4617933659;1;1518.4941829131108;22.25321318203278
43;6926900489;1;2277.741274534079;22.65867829021313
44;5195175367;2;1708.3059559827657;22.370996217809466
45;7792763051;1;2562.4589341385613;22.776461325981796
46;11689144577;1;3843.6884013722542;23.181926434132734
47;8766858433;2;2882.7663011113973;22.894244361709468
48;6575143825;2;2162.0747259157542;22.60656228929571
49;4931357869;2;1621.556044519022;22.318880216894627
50;1849259201;3;608.0835167357365;21.338050963950494
51;1386944401;2;456.0626376340087;21.050368891678964
52;1040208301;2;342.0469783077129;20.762686819467522
53;390078113;3;128.26761690649553;19.781857566776242
54;292558585;2;96.20071276207801;19.494175495178993
55;219418939;2;72.15053465376486;19.206493423866583
