ANALISI PEGGIORAMENTI CANDIDATO PRUDENTE
========================================================================================================================

H(n) = log(n) + 0.3*Dmax80(n) - 0.04*Cmax80(n)
LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80

Peggioramenti trovati: 86
Loss medio: 25.744186
Initial Dmax medio: 6.575386
Initial Cmax medio: 2.791062
Dmax at log step medio: 8.123246
Cmax at log step medio: 2.437627
Ratio v2=1 medio fino a H descent: 0.533168
Max ratio medio: 1054.573598

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   3523099 | log_step=   8 | h_step=  42 | loss=  34 | dmax0=2.643613 | cmax0=3.431575 | dmax_log=3.797000 | cmax_log=3.111275 | dmax_delta=+1.153388 | cmax_delta=-0.320300 | h_delta_log=+0.136814 | max_ratio=6.249 | ratio_1=0.595238
n=   4128863 | log_step=   5 | h_step=  39 | loss=  34 | dmax0=5.212038 | cmax0=4.091725 | dmax_log=6.212038 | cmax_log=4.016537 | dmax_delta=+1.000000 | cmax_delta=-0.075187 | h_delta_log=+0.250892 | max_ratio=16.664 | ratio_1=0.666667
n=   4644971 | log_step=   3 | h_step=  37 | loss=  34 | dmax0=5.042113 | cmax0=4.261650 | dmax_log=6.212038 | cmax_log=4.016537 | dmax_delta=+1.169925 | cmax_delta=-0.245112 | h_delta_log=+0.190883 | max_ratio=14.812 | ratio_1=0.621622
n=   1959595 | log_step=   3 | h_step=  34 | loss=  31 | dmax0=7.212038 | cmax0=3.016537 | dmax_log=7.797000 | cmax_log=2.771425 | dmax_delta=+0.584963 | cmax_delta=-0.245112 | h_delta_log=+0.015395 | max_ratio=35.111 | ratio_1=0.617647
n=   1653409 | log_step=   1 | h_step=  31 | loss=  30 | dmax0=7.797000 | cmax0=2.771425 | dmax_log=8.797000 | cmax_log=2.356387 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=41.613 | ratio_1=0.645161
n=   1240057 | log_step=   1 | h_step=  30 | loss=  29 | dmax0=8.797000 | cmax0=2.356387 | dmax_log=9.797000 | cmax_log=1.941350 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=55.484 | ratio_1=0.666667
n=   3096647 | log_step=  10 | h_step=  38 | loss=  28 | dmax0=5.627075 | cmax0=3.676687 | dmax_log=8.212038 | cmax_log=3.526312 | dmax_delta=+2.584963 | cmax_delta=-0.150375 | h_delta_log=+0.677272 | max_ratio=22.219 | ratio_1=0.631579
n=   2064431 | log_step=  13 | h_step=  39 | loss=  26 | dmax0=6.212038 | cmax0=3.091725 | dmax_log=9.042113 | cmax_log=2.696237 | dmax_delta=+2.830075 | cmax_delta=-0.395487 | h_delta_log=+0.590712 | max_ratio=33.328 | ratio_1=0.641026
n=   2752575 | log_step=  14 | h_step=  40 | loss=  26 | dmax0=5.797000 | cmax0=3.506762 | dmax_log=9.042113 | cmax_log=2.696237 | dmax_delta=+3.245112 | cmax_delta=-0.810525 | h_delta_log=+0.444143 | max_ratio=24.996 | ratio_1=0.675000
n=    438699 | log_step=   3 | h_step=  28 | loss=  25 | dmax0=3.927825 | cmax0=3.281200 | dmax_log=5.212038 | cmax_log=3.036087 | dmax_delta=+1.284213 | cmax_delta=-0.245112 | h_delta_log=+0.225171 | max_ratio=13.871 | ratio_1=0.571429

Top 30 per Dmax al log-step
------------------------------------------------------------------------------------------------------------------------
n=    769641 | log_step=   1 | h_step=  89 | loss=  88 | dmax0=12.797000 | cmax0=0.415037 | dmax_log=13.797000 | cmax_log=0.000000 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=10675.141 | ratio_1=0.662921
n=    810815 | log_step=  10 | h_step=  95 | loss=  85 | dmax0=11.947375 | cmax0=0.150375 | dmax_log=13.457150 | cmax_log=0.000000 | dmax_delta=+1.509775 | cmax_delta=-0.150375 | h_delta_log=+0.354718 | max_ratio=10133.046 | ratio_1=0.663158
n=    912167 | log_step=   5 | h_step=  93 | loss=  88 | dmax0=11.797000 | cmax0=0.320300 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+1.415037 | cmax_delta=-0.075187 | h_delta_log=+0.375404 | max_ratio=9007.151 | ratio_1=0.655914
n=   1216223 | log_step=   6 | h_step=  93 | loss=  87 | dmax0=11.362413 | cmax0=0.735337 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+1.849625 | cmax_delta=-0.490225 | h_delta_log=+0.234699 | max_ratio=6755.361 | ratio_1=0.666667
n=   1368251 | log_step=   4 | h_step=  91 | loss=  87 | dmax0=11.212038 | cmax0=0.905262 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+2.000000 | cmax_delta=-0.660150 | h_delta_log=+0.168826 | max_ratio=6004.765 | ratio_1=0.659341
n=   1824335 | log_step=   5 | h_step=   8 | loss=   3 | dmax0=10.797000 | cmax0=1.320300 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+2.415037 | cmax_delta=-1.075187 | h_delta_log=+0.022256 | max_ratio=3.375 | ratio_1=0.625000
n=   3378047 | log_step=  34 | h_step= 139 | loss= 105 | dmax0=8.797000 | cmax0=0.111275 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+4.000000 | cmax_delta=-0.111275 | h_delta_log=+1.127322 | max_ratio=8904.470 | ratio_1=0.690647
n=   3800303 | log_step=  32 | h_step= 137 | loss= 105 | dmax0=8.627075 | cmax0=0.281200 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+4.169925 | cmax_delta=-0.281200 | h_delta_log=+1.067313 | max_ratio=7915.084 | ratio_1=0.686131
n=   4809759 | log_step=  28 | h_step= 133 | loss= 105 | dmax0=9.797000 | cmax0=0.621050 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+3.000000 | cmax_delta=-0.621050 | h_delta_log=+0.494363 | max_ratio=6253.893 | ratio_1=0.676692
n=   3706423 | log_step=   3 | h_step= 107 | loss= 104 | dmax0=11.797000 | cmax0=0.245112 | dmax_log=12.797000 | cmax_log=0.000000 | dmax_delta=+1.000000 | cmax_delta=-0.245112 | h_delta_log=+0.139906 | max_ratio=8115.565 | ratio_1=0.700935
n=   1441447 | log_step=   8 | h_step=   9 | loss=   1 | dmax0=11.117300 | cmax0=1.735337 | dmax_log=12.797000 | cmax_log=1.415037 | dmax_delta=+1.679700 | cmax_delta=-0.320300 | h_delta_log=+0.294708 | max_ratio=2.848 | ratio_1=0.444444
n=   1539281 | log_step=   1 | h_step=   2 | loss=   1 | dmax0=11.797000 | cmax0=1.830075 | dmax_log=12.797000 | cmax_log=1.415037 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=1.000 | ratio_1=0.000000
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | dmax0=10.797000 | cmax0=0.660150 | dmax_log=11.797000 | cmax_log=0.245112 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028919 | max_ratio=6086.675 | ratio_1=0.694444
n=   2052377 | log_step=   1 | h_step=   3 | loss=   2 | dmax0=10.797000 | cmax0=1.490225 | dmax_log=11.797000 | cmax_log=1.075187 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=1.125 | ratio_1=0.333333
