pattern;length;sum_v2;modulus_power;modulus;num_odd_classes;solutions_count;density_among_odds;first_solution;solutions_preview
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;42;42;43;8796093022208;4398046511104;1;2.2737367544323206e-13;8796093022207;8796093022207
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;43;43;44;17592186044416;8796093022208;1;1.1368683772161603e-13;17592186044415;17592186044415
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;44;44;45;35184372088832;17592186044416;1;5.684341886080802e-14;35184372088831;35184372088831
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;45;45;46;70368744177664;35184372088832;1;2.842170943040401e-14;70368744177663;70368744177663
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;46;46;47;140737488355328;70368744177664;1;1.4210854715202004e-14;140737488355327;140737488355327
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;47;47;48;281474976710656;140737488355328;1;7.105427357601002e-15;281474976710655;281474976710655
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;48;48;49;562949953421312;281474976710656;1;3.552713678800501e-15;562949953421311;562949953421311
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;49;49;50;1125899906842624;562949953421312;1;1.7763568394002505e-15;1125899906842623;1125899906842623
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;50;50;51;2251799813685248;1125899906842624;1;8.881784197001252e-16;2251799813685247;2251799813685247
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;51;51;52;4503599627370496;2251799813685248;1;4.440892098500626e-16;4503599627370495;4503599627370495
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;52;52;53;9007199254740992;4503599627370496;1;2.220446049250313e-16;9007199254740991;9007199254740991
