lambda;total;failures_log;failures_h;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio
0.05;2499999;0;0;3.487790995116398;3.5580978232391294;141;142;57345;20892;2421762;0.02293800917520367;0.008356803342721337;0.968705187482075
0.1;2499999;0;0;3.487790995116398;3.7920251168100467;141;142;158026;103072;2238901;0.06321042528417012;0.0412288164915266;0.8955607582243033
0.2;2499999;0;0;3.487790995116398;3.861943544777418;141;143;375656;198302;1926041;0.15026246010498404;0.0793208317283327;0.7704167081666833
0.3;2499999;0;0;3.487790995116398;3.969297187718875;141;143;501640;381219;1617140;0.20065608026243212;0.1524876609950644;0.6468562587425035
0.4;2499999;0;0;3.487790995116398;2.6271198508479405;141;143;998018;383713;1118268;0.39920735968294385;0.15348526139410457;0.4473073789229516
0.5;2499999;0;0;3.487790995116398;1.9582627833051134;141;143;1250000;403396;846603;0.50000020000008;0.16135846454338582;0.3386413354565342
0.75;2499999;0;0;3.487790995116398;2.0041172016468805;141;143;1250000;428850;821149;0.50000020000008;0.17154006861602744;0.32845973138389256
1.0;2499999;0;0;3.487790995116398;2.0343052137220856;141;143;1250000;523075;726924;0.50000020000008;0.20923008369203347;0.2907697163078865
