T;src;dst;count;weight_sum;source_count;normalized_weight
8;v2=0|odd=1|h=0;v2=2|odd=3|h=1;1;0.25;64;0.00390625
8;v2=0|odd=1|h=1;v2=2|odd=3|h=2;1;0.25;64;0.00390625
8;v2=0|odd=1|h=2;v2=2|odd=3|h=3;1;0.25;64;0.00390625
8;v2=0|odd=1|h=3;v2=2|odd=3|h=0;1;0.25;64;0.00390625
8;v2=2|odd=3|h=0;v2=1|odd=1|h=1;1;0.25;16;0.015625
8;v2=2|odd=3|h=1;v2=1|odd=1|h=2;1;0.25;16;0.015625
8;v2=2|odd=3|h=2;v2=1|odd=1|h=3;1;0.25;16;0.015625
8;v2=2|odd=3|h=3;v2=1|odd=1|h=0;1;0.25;16;0.015625
8;v2=0|odd=1|h=0;v2=0|odd=3|h=1;1;0.25;64;0.00390625
8;v2=0|odd=1|h=1;v2=0|odd=3|h=2;1;0.25;64;0.00390625
8;v2=0|odd=1|h=2;v2=0|odd=3|h=3;1;0.25;64;0.00390625
8;v2=0|odd=1|h=3;v2=0|odd=3|h=0;1;0.25;64;0.00390625
8;v2=0|odd=3|h=0;v2=2|odd=3|h=1;1;0.25;64;0.00390625
8;v2=0|odd=3|h=1;v2=2|odd=3|h=2;1;0.25;64;0.00390625
8;v2=0|odd=3|h=2;v2=2|odd=3|h=3;1;0.25;64;0.00390625
8;v2=0|odd=3|h=3;v2=2|odd=3|h=0;1;0.25;64;0.00390625
8;v2=1|odd=3|h=0;v2=0|odd=3|h=1;1;0.5;32;0.015625
8;v2=1|odd=3|h=1;v2=0|odd=3|h=2;1;0.5;32;0.015625
8;v2=1|odd=3|h=2;v2=0|odd=3|h=3;1;0.5;32;0.015625
8;v2=1|odd=3|h=3;v2=0|odd=3|h=0;1;0.5;32;0.015625
8;v2=2|odd=3|h=0;v2=2|odd=1|h=1;1;0.5;16;0.03125
8;v2=2|odd=3|h=1;v2=2|odd=1|h=2;1;0.5;16;0.03125
8;v2=2|odd=3|h=2;v2=2|odd=1|h=3;1;0.5;16;0.03125
8;v2=2|odd=3|h=3;v2=2|odd=1|h=0;1;0.5;16;0.03125
8;v2=2|odd=1|h=0;v2=2|odd=1|h=1;1;0.125;16;0.0078125
8;v2=2|odd=1|h=1;v2=2|odd=1|h=2;1;0.125;16;0.0078125
8;v2=2|odd=1|h=2;v2=2|odd=1|h=3;1;0.125;16;0.0078125
8;v2=2|odd=1|h=3;v2=2|odd=1|h=0;1;0.125;16;0.0078125
8;v2=2|odd=3|h=0;v2=1|odd=3|h=1;1;0.25;16;0.015625
8;v2=2|odd=3|h=1;v2=1|odd=3|h=2;1;0.25;16;0.015625
8;v2=2|odd=3|h=2;v2=1|odd=3|h=3;1;0.25;16;0.015625
8;v2=2|odd=3|h=3;v2=1|odd=3|h=0;1;0.25;16;0.015625
8;v2=0|odd=1|h=0;v2=0|odd=1|h=1;1;0.25;64;0.00390625
8;v2=0|odd=1|h=1;v2=0|odd=1|h=2;1;0.25;64;0.00390625
8;v2=0|odd=1|h=2;v2=0|odd=1|h=3;1;0.25;64;0.00390625
8;v2=0|odd=1|h=3;v2=0|odd=1|h=0;1;0.25;64;0.00390625
8;v2=0|odd=3|h=0;v2=0|odd=1|h=1;1;0.25;64;0.00390625
8;v2=0|odd=3|h=1;v2=0|odd=1|h=2;1;0.25;64;0.00390625
8;v2=0|odd=3|h=2;v2=0|odd=1|h=3;1;0.25;64;0.00390625
8;v2=0|odd=3|h=3;v2=0|odd=1|h=0;1;0.25;64;0.00390625
8;v2=1|odd=1|h=0;v2=0|odd=3|h=1;1;0.5;32;0.015625
