lambda;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.36;2499999;3.487790995116398;3.182861273144509;141;140;339234;104;2160661;0.13569365427746172;4.1600016640006655e-05;0.8642647457058983;108;4941897;50;1941199;0.3049297219718888
0.37;2499999;3.487790995116398;3.1732828693131476;141;140;346813;108;2153078;0.1387252554901022;4.320001728000691e-05;0.8612315444926179;108;4941897;55;3542887;0.3145081258032503
0.38;2499999;3.487790995116398;3.1671376668550666;141;140;349308;110;2150581;0.13972325588930234;4.400001760000704e-05;0.8602327440930977;108;4941897;55;3542887;0.3206533282613313
0.39;2499999;3.487790995116398;3.1610832644333056;141;140;352134;113;2147752;0.14085365634146255;4.520001808000723e-05;0.8591011436404574;108;4941897;55;3542887;0.3267077306830923
0.4;2499999;3.487790995116398;3.1524252609701042;141;140;356839;116;2143044;0.14273565709426284;4.640001856000742e-05;0.8572179428871771;107;4941897;55;3542887;0.33536573414629367
0.41;2499999;3.487790995116398;3.137250854900342;141;140;365620;120;2134259;0.1462480584992234;4.800001920000768e-05;0.8537039414815766;107;4941897;55;3542887;0.35054014021605606
0.42;2499999;3.487790995116398;3.130994852397941;141;140;368352;123;2131524;0.14734085893634358;4.920001968000787e-05;0.8526099410439765;107;4941897;55;3542887;0.3567961427184571
0.43;2499999;3.487790995116398;3.12545405018162;141;140;370063;124;2129812;0.14802525921010368;4.960001984000794e-05;0.8519251407700563;107;4941897;55;3542887;0.36233694493477797
0.44;2499999;3.487790995116398;3.118228847291539;141;140;372741;126;2127132;0.14909645963858387;5.040002016000806e-05;0.8508531403412561;107;4941897;56;3542887;0.36956214782485913
0.45;2499999;3.487790995116398;3.0932292372916947;141;140;406826;129;2093044;0.16273046509218603;5.160002064000826e-05;0.837217934887174;107;4941897;57;2189311;0.39456175782470315
0.46;2499999;3.487790995116398;3.0868756347502537;141;141;408811;131;2091057;0.16352446540978616;5.240002096000839e-05;0.8364231345692539;139;3002707;57;1822367;0.40091536036614417
0.47;2499999;3.487790995116398;3.0788852315540924;141;141;412043;134;2087822;0.16481726592690638;5.360002144000858e-05;0.8351291340516536;139;3002707;60;827503;0.4089057635623054
0.48;2499999;3.487790995116398;3.068469627387851;141;141;421309;138;2078552;0.16852366740946698;5.5200022080008835e-05;0.8314211325684531;139;3002707;60;827503;0.4193213677285471
0.49;2499999;3.487790995116398;3.06160842464337;141;141;427382;141;2072476;0.17095286838114734;5.6400022560009025e-05;0.8289907315962927;139;3002707;60;827503;0.4261825704730282
0.5;2499999;3.487790995116398;3.0542112216844886;141;141;429888;148;2069963;0.1719552687821075;5.9200023680009473e-05;0.8279855311942125;139;3002707;60;827503;0.4335797734319094
0.51;2499999;3.487790995116398;3.0475956190382476;141;141;433499;149;2066351;0.17339966935986775;5.9600023840009535e-05;0.8265407306162923;139;3002707;60;827503;0.44019537607815046
0.52;2499999;3.487790995116398;3.0420996168398466;141;141;434830;151;2065018;0.17393206957282784;6.0400024160009664e-05;0.8260075304030121;139;3002707;61;2189311;0.4456913782765513
0.53;2499999;3.487790995116398;3.025701610280644;141;141;452159;155;2047685;0.18086367234546893;6.200002480000992e-05;0.8190743276297311;139;3002707;61;1214911;0.46208938483575396
0.54;2499999;3.487790995116398;3.019125607650243;141;141;453793;159;2046047;0.18151727260690903;6.360002544001018e-05;0.818419127367651;139;3002707;62;1214911;0.468665387466155
0.55;2499999;3.487790995116398;3.006930402772161;141;141;459533;161;2040305;0.1838132735253094;6.44000257600103e-05;0.8161223264489306;139;3002707;62;1214911;0.48086059234423695
0.56;2499999;3.487790995116398;3.00063360025344;141;141;461920;167;2037912;0.18476807390722957;6.680002672001068e-05;0.8151651260660504;139;3002707;62;1214911;0.48715739486295795
0.57;2499999;3.487790995116398;2.9905075962030385;141;140;466106;169;2033724;0.18644247457698984;6.760002704001082e-05;0.8134899253959702;138;3002707;62;1214911;0.49728339891335954
0.58;2499999;3.487790995116398;2.9793707917483165;141;140;473874;174;2025951;0.18954967581987034;6.960002784001114e-05;0.8103807241522897;138;3002707;64;1242471;0.5084202033680814
0.59;2499999;3.487790995116398;2.9721815888726355;141;140;475806;174;2024019;0.19032247612899045;6.960002784001114e-05;0.8096079238431695;138;3002707;64;1242471;0.5156094062437625
0.6;2499999;3.487790995116398;2.962668785067514;141;140;478946;175;2020878;0.19157847663139066;7.00000280000112e-05;0.8083515233406093;138;3002707;64;1242471;0.525122210048884
