classe_mod;count;avg_delta;avg_ratio;positive_ratio;negative_ratio;avg_v2;min_v2;max_v2;max_delta;min_delta;max_ratio;min_ratio
3;4883;0.4054872894602451;1.500035038569859;1.0;0.0;1.0;1;1;0.5108256237659905;0.40546517478588484;1.6666666666666667;1.5000001000165828
7;4883;0.4054752389634001;1.5000155339190167;1.0;0.0;1.0;1;1;0.45198512374305744;0.4054651747858298;1.5714285714285714;1.5000001000165026
11;4883;0.4054718252593596;1.5000102140084606;1.0;0.0;1.0;1;1;0.4353180712578455;0.40546517478577826;1.5454545454545454;1.5000001000164227
15;4883;0.40547021229413666;1.5000077310488085;1.0;0.0;1.0;1;1;0.4274440148269396;0.4054651747857232;1.5333333333333334;1.5000001000163428
19;4883;0.40546927246098396;1.5000062932838114;1.0;0.0;1.0;1;1;0.4228568508200339;0.4054651747856717;1.5263157894736843;1.5000001000162626
23;4883;0.40546865705341345;1.5000053553963213;1.0;0.0;1.0;1;1;0.41985384556026384;0.4054651747856184;1.5217391304347827;1.5000001000161827
27;4883;0.4054682227581978;1.5000046952200732;1.0;0.0;1.0;1;1;0.4177352006999788;0.4054651747855633;1.5185185185185186;1.5000001000161025
31;4883;0.40546789983970033;1.500004205255248;1.0;0.0;1.0;1;1;0.41616039722491216;0.40546517478551003;1.5161290322580645;1.5000001000160226
35;4883;0.40546765029194587;1.500003827144774;1.0;0.0;1.0;1;1;0.41494385206270845;0.40546517478545674;1.5142857142857142;1.5000001000159426
39;4883;0.4054674516353975;1.5000035264729337;1.0;0.0;1.0;1;1;0.4139757977760734;0.40546517478540345;1.5128205128205128;1.5000001000158625
43;4883;0.4054672897229655;1.5000032816298474;1.0;0.0;1.0;1;1;0.4131871542020744;0.40546517478535016;1.5116279069767442;1.5000001000157825
47;4883;0.40546715520668175;1.5000030783621856;1.0;0.0;1.0;1;1;0.412532275331257;0.40546517478529687;1.5106382978723405;1.5000001000157024
51;4883;0.40546704166177344;1.5000029068882264;1.0;0.0;1.0;1;1;0.4119797891293584;0.4054651747852436;1.5098039215686274;1.5000001000156225
55;4883;0.40546694452688403;1.500002760271847;1.0;0.0;1.0;1;1;0.4115074225641271;0.40546517478519206;1.509090909090909;1.5000001000155425
59;4883;0.40546686047415675;1.5000026334578933;1.0;0.0;1.0;1;1;0.41109892582641994;0.405465174785137;1.5084745762711864;1.5000001000154624
63;4883;0.405466787018682;1.5000025226750422;1.0;0.0;1.0;1;1;0.4107421652090082;0.4054651747850837;1.507936507936508;1.5000001000153824
67;4883;0.4054667222674927;1.5000024250525839;1.0;0.0;1.0;1;1;0.41042789745029395;0.4054651747850304;1.507462686567164;1.5000001000153023
71;4883;0.4054666647532044;1.5000023383667278;1.0;0.0;1.0;1;1;0.4101489574205903;0.40546517478497535;1.5070422535211268;1.5000001000152223
75;4883;0.40546661332078393;1.5000022608680845;1.0;0.0;1.0;1;1;0.4098997051760307;0.40546517478492383;1.5066666666666666;1.5000001000151424
79;4883;0.405466567048628;1.5000021911615633;1.0;0.0;1.0;1;1;0.4096756406445081;0.40546517478487054;1.5063291139240507;1.5000001000150622
83;4883;0.4054665251924427;1.5000021281209985;1.0;0.0;1.0;1;1;0.40947312950570325;0.4054651747848155;1.5060240963855422;1.5000001000149823
87;4883;0.40546648714454236;1.50000207082733;1.0;0.0;1.0;1;1;0.4092892045465675;0.40546517478476396;1.5057471264367817;1.5000001000149021
91;4883;0.4054664524038921;1.500002018523099;1.0;0.0;1.0;1;1;0.4091214193112753;0.40546517478471067;1.5054945054945055;1.5000001000148222
95;4883;0.40546642055369636;1.500001970578397;1.0;0.0;1.0;1;1;0.4089677386593662;0.4054651747846574;1.5052631578947369;1.5000001000147423
99;4883;0.40546639124440054;1.5000019264651234;1.0;0.0;1.0;1;1;0.4088264558108694;0.4054651747846041;1.505050505050505;1.500000100014662
103;4883;0.405466364180656;1.5000018857372095;1.0;0.0;1.0;1;1;0.4086961286896109;0.4054651747845508;1.5048543689320388;1.5000001000145822
107;4883;0.40546633911121915;1.5000018480152895;1.0;0.0;1.0;1;1;0.40857553052255735;0.4054651747844975;1.5046728971962617;1.500000100014502
111;4883;0.4054663158209914;1.50000181297466;1.0;0.0;1.0;1;1;0.40846361110442153;0.4054651747844442;1.5045045045045045;1.500000100014422
115;4883;0.4054662941247659;1.5000017803358017;1.0;0.0;1.0;1;1;0.4083594661345291;0.4054651747843909;1.5043478260869565;1.5000001000143421
119;4883;0.4054662738621925;1.500001749856778;1.0;0.0;1.0;1;1;0.4082623127292253;0.40546517478433586;1.504201680672269;1.500000100014262
123;4883;0.40546625489375876;1.5000017213271168;1.0;0.0;1.0;1;1;0.40817146970590734;0.40546517478428257;1.5040650406504066;1.500000100014182
127;4883;0.4054662370974963;1.5000016945628565;1.0;0.0;1.0;1;1;0.4080863415880387;0.40546517478423105;1.5039370078740157;1.500000100014102
131;4883;0.40546622036631413;1.5000016694025087;1.0;0.0;1.0;1;1;0.4080064055368373;0.40546517478417776;1.5038167938931297;1.500000100014022
135;4883;0.40546620460579813;1.5000016457037106;1.0;0.0;1.0;1;1;0.4079312006033575;0.40546517478412447;1.5037037037037038;1.500000100013942
139;4883;0.4054661897323883;1.5000016233404905;1.0;0.0;1.0;1;1;0.40786031883411944;0.4054651747840694;1.5035971223021583;1.5000001000138619
143;4883;0.40546617567185683;1.5000016022009803;1.0;0.0;1.0;1;1;0.4077933978677555;0.4054651747840161;1.5034965034965035;1.500000100013782
147;4883;0.40546616235804694;1.5000015821854704;1.0;0.0;1.0;1;1;0.40773011473901644;0.4054651747839628;1.5034013605442176;1.500000100013702
151;4883;0.40546614973180717;1.5000015632048032;1.0;0.0;1.0;1;1;0.40767018066647864;0.40546517478390953;1.5033112582781456;1.5000001000136218
155;4883;0.4054661377400785;1.5000015451790512;1.0;0.0;1.0;1;1;0.4076133366464534;0.40546517478385624;1.5032258064516129;1.500000100013542
159;4883;0.40546612633513013;1.5000015280363135;1.0;0.0;1.0;1;1;0.4075593497112795;0.4054651747838047;1.5031446540880504;1.5000001000134617
163;4883;0.4054661154739228;1.500001511711739;1.0;0.0;1.0;1;1;0.4075080097379651;0.40546517478374966;1.5030674846625767;1.5000001000133818
167;4883;0.40546610511752923;1.5000014961467032;1.0;0.0;1.0;1;1;0.40745912671502804;0.40546517478369637;1.5029940119760479;1.5000001000133019
171;4883;0.4054660952306521;1.5000014812880562;1.0;0.0;1.0;1;1;0.4074125283925598;0.4054651747836431;1.5029239766081872;1.5000001000132217
175;4883;0.4054660857812301;1.5000014670874993;1.0;0.0;1.0;1;1;0.40736805825425026;0.4054651747835898;1.502857142857143;1.5000001000131418
179;4883;0.40546607674005763;1.5000014535010524;1.0;0.0;1.0;1;1;0.40732557376108414;0.4054651747835365;1.5027932960893855;1.5000001000130616
183;4883;0.4054660680804755;1.5000014404885962;1.0;0.0;1.0;1;1;0.4072849448251503;0.4054651747834832;1.5027322404371584;1.5000001000129817
187;4883;0.40546605977811156;1.500001428013419;1.0;0.0;1.0;1;1;0.40724605247915857;0.4054651747834299;1.5026737967914439;1.5000001000129017
191;4883;0.40546605181062306;1.5000014160418995;1.0;0.0;1.0;1;1;0.4072087877129915;0.4054651747833766;1.5026178010471205;1.5000001000128216
195;4883;0.40546604415750387;1.50000140454316;1.0;0.0;1.0;1;1;0.40717305045332086;0.40546517478332333;1.5025641025641026;1.5000001000127416
199;4883;0.4054660367998945;1.5000013934888219;1.0;0.0;1.0;1;1;0.4071387486661946;0.40546517478327004;1.5025125628140703;1.5000001000126617
203;4883;0.4054660297204166;1.5000013828527226;1.0;0.0;1.0;1;1;0.4071057975656247;0.40546517478321675;1.5024630541871922;1.5000001000125815
207;4883;0.40546602290303446;1.5000013726107342;1.0;0.0;1.0;1;1;0.40707411891386514;0.40546517478316346;1.502415458937198;1.5000001000125016
211;4883;0.4054660163329278;1.500001362740544;1.0;0.0;1.0;1;1;0.40704364040121366;0.4054651747831084;1.5023696682464456;1.5000001000124215
215;4883;0.40546600999637716;1.5000013532215157;1.0;0.0;1.0;1;1;0.407014295094994;0.4054651747830569;1.5023255813953489;1.5000001000123415
219;4883;0.40546600388066095;1.5000013440345061;1.0;0.0;1.0;1;1;0.40698602094887093;0.4054651747830018;1.5022831050228311;1.5000001000122616
223;4883;0.40546599797397165;1.5000013351617538;1.0;0.0;1.0;1;1;0.4069587603649474;0.4054651747829503;1.5022421524663676;1.5000001000121814
227;4883;0.405465992265335;1.500001326586733;1.0;0.0;1.0;1;1;0.406932459802114;0.405465174782897;1.502202643171806;1.5000001000121015
231;4883;0.40546598674452955;1.5000013182940837;1.0;0.0;1.0;1;1;0.40690706942506605;0.40546517478284194;1.5021645021645023;1.5000001000120216
235;4883;0.4054659814020342;1.5000013102694751;1.0;0.0;1.0;1;1;0.4068825427891376;0.4054651747827904;1.5021276595744681;1.5000001000119414
239;4883;0.40546597622896074;1.500001302499532;1.0;0.0;1.0;1;1;0.4068588365567676;0.40546517478273714;1.502092050209205;1.5000001000118615
243;4883;0.40546597121700495;1.5000012949717703;1.0;0.0;1.0;1;1;0.4068359102419432;0.40546517478268207;1.5020576131687242;1.5000001000117813
247;4883;0.40546596635840537;1.5000012876745157;1.0;0.0;1.0;1;1;0.40681372597945753;0.4054651747826288;1.5020242914979758;1.5000001000117014
251;4883;0.40546596164588516;1.5000012805968195;1.0;0.0;1.0;1;1;0.4067922483162274;0.4054651747825755;1.50199203187251;1.5000001000116214
255;4883;0.40546595707262945;1.500001273728423;1.0;0.0;1.0;1;1;0.4067714440222199;0.405465174782524;1.5019607843137255;1.5000001000115413
259;4883;0.4054659526322432;1.5000012670597287;1.0;0.0;1.0;1;1;0.4067512819189085;0.4054651747824707;1.501930501930502;1.5000001000114613
263;4883;0.4054659483187185;1.5000012605816877;1.0;0.0;1.0;1;1;0.4067317327233573;0.4054651747824156;1.5019011406844107;1.5000001000113814
267;4883;0.4054659441264032;1.5000012542858034;1.0;0.0;1.0;1;1;0.4067127689063197;0.4054651747823641;1.5018726591760299;1.5000001000113012
271;4883;0.40546594004998665;1.5000012481640916;1.0;0.0;1.0;1;1;0.40669436456289354;0.4054651747823108;1.5018450184501846;1.5000001000112213
275;4883;0.4054659360844567;1.5000012422090105;1.0;0.0;1.0;1;1;0.4066764952944615;0.40546517478225574;1.5018181818181817;1.5000001000111411
279;4883;0.405465932225097;1.5000012364134716;1.0;0.0;1.0;1;1;0.40665913810077203;0.40546517478220245;1.5017921146953406;1.5000001000110612
283;4883;0.4054659284674491;1.500001230770773;1.0;0.0;1.0;1;1;0.40664227128117947;0.40546517478214916;1.5017667844522968;1.5000001000109813
287;4883;0.40546592480730764;1.5000012252745898;1.0;0.0;1.0;1;1;0.406625874344126;0.40546517478209587;1.5017421602787457;1.5000001000109011
291;4883;0.40546592124069847;1.5000012199189454;1.0;0.0;1.0;1;1;0.4066099279240971;0.4054651747820426;1.5017182130584192;1.5000001000108212
295;4883;0.40546591776385627;1.5000012146981876;1.0;0.0;1.0;1;1;0.40659441370531546;0.40546517478199107;1.5016949152542374;1.5000001000107412
