ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   1441447 | log_step=   8 | h_step=  95 | loss=  87 | init_debt=11.117300 | debt_log=12.797000 | debt_delta_log=+1.679700 | h_delta_log=+0.533851 | max_ratio=5699.846 | ratio_1=0.652632
n=   2736503 | log_step=   3 | h_step=  90 | loss=  87 | init_debt=10.212038 | debt_log=11.797000 | debt_delta_log=+1.584963 | h_delta_log=+0.543334 | max_ratio=3002.381 | ratio_1=0.666667

Top 30 per initial debt
------------------------------------------------------------------------------------------------------------------------
n=    769641 | log_step=   1 | h_step=  88 | loss=  87 | init_debt=12.797000 | debt_log=13.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=10675.141 | ratio_1=0.670455
n=    810815 | log_step=  10 | h_step=  93 | loss=  83 | init_debt=11.947375 | debt_log=13.457150 | debt_delta_log=+1.509775 | h_delta_log=+0.575169 | max_ratio=10133.046 | ratio_1=0.677419
n=   3706423 | log_step=   3 | h_step= 107 | loss= 104 | init_debt=11.797000 | debt_log=12.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.280101 | max_ratio=8115.565 | ratio_1=0.700935
n=    912167 | log_step=   5 | h_step=  91 | loss=  86 | init_debt=11.797000 | debt_log=13.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.584652 | max_ratio=9007.151 | ratio_1=0.670330
n=   1026187 | log_step=   3 | h_step=  89 | loss=  86 | init_debt=11.797000 | debt_log=14.212038 | debt_delta_log=+2.415037 | h_delta_log=+0.223721 | max_ratio=8006.363 | ratio_1=0.662921
n=   1539283 | log_step=   2 | h_step=  88 | loss=  86 | init_debt=11.797000 | debt_log=13.212038 | debt_delta_log=+1.415037 | h_delta_log=+0.061403 | max_ratio=5337.567 | ratio_1=0.670455
n=   1539281 | log_step=   1 | h_step=   2 | loss=   1 | init_debt=11.797000 | debt_log=12.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=1.000 | ratio_1=0.000000
n=   1216223 | log_step=   6 | h_step=  92 | loss=  86 | init_debt=11.362413 | debt_log=13.212038 | debt_delta_log=+1.849625 | h_delta_log=+0.492534 | max_ratio=6755.361 | ratio_1=0.673913
n=   1368251 | log_step=   4 | h_step=  90 | loss=  86 | init_debt=11.212038 | debt_log=13.212038 | debt_delta_log=+2.000000 | h_delta_log=+0.442420 | max_ratio=6004.765 | ratio_1=0.666667
n=   1441447 | log_step=   8 | h_step=  95 | loss=  87 | init_debt=11.117300 | debt_log=12.797000 | debt_delta_log=+1.679700 | h_delta_log=+0.533851 | max_ratio=5699.846 | ratio_1=0.652632
n=   3168559 | log_step=   7 | h_step=  90 | loss=  83 | init_debt=11.117300 | debt_log=12.627075 | debt_delta_log=+1.509775 | h_delta_log=+0.051919 | max_ratio=3377.674 | ratio_1=0.644444
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=6086.675 | ratio_1=0.694444
n=   2052377 | log_step=   1 | h_step=  89 | loss=  88 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=4003.176 | ratio_1=0.662921
n=   1824335 | log_step=   5 | h_step=  91 | loss=  86 | init_debt=10.797000 | debt_log=13.212038 | debt_delta_log=+2.415037 | h_delta_log=+0.341504 | max_ratio=4503.573 | ratio_1=0.670330
n=   4010209 | log_step=   1 | h_step=  86 | loss=  85 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=2668.778 | ratio_1=0.651163
