start;entry_step;max_value;max_value_step;max_ratio;max_debt;max_debt_step;total_v2_pre_trunk;avg_v2_pre_trunk;final_surplus_at_trunk;final_debt_at_trunk;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;max_run_1;first_positive_surplus_step;first_descent_step;mod_1024;mod_4096;mod_65536;prefix_80_v2;is_top_member
3416761;91;8216025965;91;2404.6241352555826;11.231587565625205;91;133;1.4615384615384615;-11.231587565625205;11.231587565625205;61;21;7;2;0.6703296703296703;0.23076923076923078;0.07692307692307693;0.02197802197802198;7;1;1;697;697;8889;2,1,2,3,3,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1;False
3416763;91;8216025965;91;2404.622727710409;11.231587565625205;91;133;1.4615384615384615;-11.231587565625205;11.231587565625205;60;23;6;2;0.6593406593406593;0.25274725274725274;0.06593406593406594;0.02197802197802198;7;4;4;699;699;8891;1,2,1,3,1,2,1,2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1;False
3416765;91;8216025965;91;2404.621320166883;11.231587565625205;91;133;1.4615384615384615;-11.231587565625205;11.231587565625205;62;19;8;2;0.6813186813186813;0.2087912087912088;0.08791208791208792;0.02197802197802198;7;1;1;701;701;8893;3,1,1,2,3,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1;False
3463389;79;8216025965;79;2372.2504070435057;11.212037556971325;79;114;1.4430379746835442;-11.212037556971325;11.212037556971325;54;18;5;2;0.6835443037974683;0.22784810126582278;0.06329113924050633;0.02531645569620253;7;1;1;221;2269;55517;3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;False
3599543;96;8216025965;96;2282.519187852458;11.156400069230983;96;141;1.46875;-11.156400069230983;11.156400069230983;65;21;7;3;0.6770833333333334;0.21875;0.07291666666666667;0.03125;7;3;3;183;3255;60599;1,1,3,1,2,1,3,4,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1;False
3599551;96;8216025965;96;2282.514114954893;11.156400069230983;96;141;1.46875;-11.156400069230983;11.156400069230983;66;20;7;3;0.6875;0.20833333333333334;0.07291666666666667;0.03125;7;9;9;191;3263;60607;1,1,1,1,1,2,3,1,5,3,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1;False
3648665;84;8216025965;84;2251.7896175724545;11.136850060577103;84;122;1.4523809523809523;-11.136850060577103;11.136850060577103;56;21;5;2;0.6666666666666666;0.25;0.05952380952380952;0.023809523809523808;7;1;1;153;3225;44185;2,1,3,2,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1;False
3648669;84;8216025965;84;2251.7871489576064;11.136850060577103;84;122;1.4523809523809523;-11.136850060577103;11.136850060577103;57;19;6;2;0.6785714285714286;0.2261904761904762;0.07142857142857142;0.023809523809523808;7;1;1;157;3229;44189;3,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1;False
3698459;72;8216025965;72;2221.4727714975347;11.117300051923237;72;103;1.4305555555555556;-11.117300051923237;11.117300051923237;49;18;3;2;0.6805555555555556;0.25;0.041666666666666664;0.027777777777777776;7;;;795;3867;28443;1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,5,2,1,1,1,1,1,1,2,1,1,2,1,1,1;False
3792111;101;8216025965;101;2166.6100926370564;11.081212572836762;101;149;1.4752475247524752;-11.081212572836762;11.081212572836762;70;21;6;4;0.693069306930693;0.2079207920792079;0.0594059405940594;0.039603960396039604;7;11;11;239;3311;56559;1,1,1,2,1,1,1,1,1,3,6,1,4,2,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,2,3,1,1,1,1,2,1,3,2,2,1,2,2,1,1,2,1,1,1,2;False
