start;log_step;h_step;loss;max_value;max_value_step;max_ratio;ratio_1_until_h;avg_v2_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;initial_dmax;initial_cmax;initial_pmax;initial_pavg;log_value;log_delta_at_log_step;dmax_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_delta_at_log_step;pmax_at_log_step;pmax_delta_at_log_step;pavg_at_log_step;h_delta_at_log_step;local_debt_at_log_step;classification
12826025;1;134;133;30079718549;120;2345.2097239012087;0.6791044776119403;1.5746268656716418;91;21;15;7;7.797000057692486;2.0360874790864756;0.8333333333333334;0.7125;9619519;-0.2876820464629546;8.797000057692486;1.0;1.6210499798076299;-0.4150374992788457;1.0;0.16666666666666663;0.725;0.05476907851541313;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
16014447;10;142;132;30079718549;128;1878.28643405545;0.6690140845070423;1.5774647887323943;95;25;15;7;6.1173000519232374;2.356387473317227;1.0;0.675;7214639;-0.7973790960129143;9.212037556971325;3.094737505048087;1.2060124805287842;-1.1503749927884428;1.0;0.0;0.7;0.10365865518420136;-1.1503749927884392;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
17101367;3;135;132;30079718549;121;1758.9072586419554;0.6814814814814815;1.5777777777777777;92;20;16;7;6.797000057692486;2.451124978365314;1.0;0.7125;14429279;-0.1698989956464274;8.212037556971325;1.4150374992788386;2.206012480528784;-0.24511249783653;1.0;0.0;0.7125;0.23366487908674216;-0.24511249783653177;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
4941897;1;109;108;30079718549;95;6086.674519723903;0.6880733944954128;1.5596330275229358;75;16;13;5;10.797000057692486;0.6601499971153757;0.8571428571428571;0.7125;3706423;-0.2876820050013009;11.797000057692486;1.0;0.24511249783653177;-0.4150374992788439;1.0;0.1428571428571429;0.725;0.047626262834210564;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
5700455;29;136;107;30079718549;122;5276.722393037047;0.6838235294117647;1.5661764705882353;93;21;15;7;8.042112555529016;0.8661624776441599;1.0;0.7125;5559635;-0.025013537590510282;11.212037556971325;3.1699250014423086;0.8300749985576878;-0.03608747908647203;1.0;0.0;0.7125;0.8636480871859291;-0.03608747908647558;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
5857063;5;112;107;30079718549;98;5135.631723442279;0.6875;1.5625;77;16;14;5;10.042112555529016;0.9052624949519075;1.0;0.7;5559635;-0.05211582478412069;11.212037556971325;1.1699250014423086;0.8300749985576878;-0.07518749639421962;1.0;0.0;0.7125;0.27771880051155406;-0.07518749639421962;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
7214639;25;132;107;30079718549;118;4169.261767497999;0.6742424242424242;1.5681818181818181;89;22;15;6;9.212037556971325;1.2060124805287842;1.0;0.7;5559635;-0.2605796976984376;11.212037556971325;2.0;0.8300749985576878;-0.37593748197109633;1.0;0.0;0.7125;0.3106984267606947;-0.3759374819710999;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
7600607;30;137;107;30079718549;123;3957.541621215253;0.6861313868613139;1.5693430656934306;94;20;16;7;7.6270750562501775;1.2811999769230056;1.0;0.7125;5559635;-0.3126956538984391;11.212037556971325;3.584962500721147;0.8300749985576878;-0.45112497836531773;1.0;0.0;0.7125;0.7046275956544434;-0.4511249783653142;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
8550683;28;135;107;30079718549;121;3517.814722987626;0.6814814814814815;1.5703703703703704;92;21;15;7;7.797000057692486;1.4511249783653142;1.0;0.7125;5559635;-0.43047870417353806;11.212037556971325;3.4150374992788386;0.8300749985576878;-0.6210499798076263;1.0;0.0;0.7125;0.5443632950187656;-0.6210499798076299;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
9619519;26;133;107;30079718549;119;3126.9462172692834;0.6842105263157895;1.5714285714285714;91;20;15;7;8.797000057692486;1.6210499798076299;1.0;0.725;5559635;-0.5482618048019869;11.212037556971325;2.4150374992788386;0.8300749985576878;-0.790974981249942;1.0;0.0;0.7125;0.15167794443358673;-0.7909749812499456;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
