family_rank;family_id;members_count;nodes_count;max_common_value;min_common_value;common_span;max_avg_step;min_avg_step;steps_to_1;total_v2;avg_v2;final_surplus;max_debt_trunk;max_debt_trunk_step;trunk_starts_dissipative;max_value_inside_trunk;max_value_inside_trunk_step;max_ratio_inside_trunk;biggest_drop_ratio;biggest_drop_v2;biggest_drop_step;biggest_drop_from;biggest_drop_to;prefix_60_v2_trunk;surplus_per_step;nodes_per_member
198;983e2cb9128a;3;5;8564777;2537711;6027066;5.0;1.0;150;261;1.74;23.255624891826585;10.287225053365546;74;False;10702358765;74;1249.5782161053346;0.023437500038364895;7;96;203636693;4772735;2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,2,1,4,1,1,2,1,1,3,1,1,1,1,1,3,2,1,1,4,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1;0.1550374992788439;1.6666666666666667
199;def18bcd0f64;3;5;6874145;2036783;4837362;5.0;1.0;130;229;1.7615384615384615;22.9548749062497;10.437600046153989;64;False;9533450789;64;1386.8562256106031;0.005859375001819019;9;75;1073724245;6291353;2,2,1,3,1,1,1,2,2,1,2,1,2,2,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1,1,3,1,1,2,1,2;0.1765759608173054;1.6666666666666667
200;1dc678a0f8ce;3;4;14680061;4349647;10330414;7.333333333333333;4.333333333333333;123;219;1.7804878048780488;24.0496124112978;10.039100017307746;24;False;15445365281;24;1052.132227584068;0.0029296876292183313;10;78;7557461;22141;3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,3,3,1,1,3,1,1,1,1,4,6,1,2,1,1,1,2,1,1,1,1,1,2,7,3,1,1,1,1,1,3,1,3;0.1955253041568927;1.3333333333333333
201;d1498132d1bc;3;3;6826409;4550939;2275470;3.0;1.0;118;210;1.7796610169491525;22.97442491490358;12.473687525240464;35;False;38828142341;35;5687.930849294263;0.04687500000330086;6;65;4733618069;221888347;2,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,2,1,1,3,1,2,1,1,1,2,5,1,1,1,1,2,1,1,1,3,1;0.19469851622799644;1.0
202;1f9ab8f7b8bd;3;3;5877377;3918251;1959126;3.0;1.0;120;213;1.775;22.804499913461257;11.323312532452022;45;False;15060541697;45;2562.4596987737896;0.046875000004605816;6;56;3392448149;159021007;2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,2,1,1,3,1,1,2,2,1,1,2,2,2,3,2,1,2,1,2,1,6,1,1,1,3;0.1900374992788438;1.0
203;fbbd8e4e27ef;3;2;10068605;6712403;3356202;10.333333333333334;9.333333333333334;153;266;1.738562091503268;23.50073738966313;12.342862541105902;57;False;52304792741;57;5194.840073773874;0.04687500178632082;6;81;8747029;410017;3,1,1,1,2,1,1,1,1,1,3,1,4,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1,1;0.15359959078211197;0.6666666666666666
204;02e39f79f55b;3;1;4849661;4849661;0;1.0;1.0;119;211;1.773109243697479;22.389462414182418;13.228575027403934;38;False;46548912269;38;9598.384767306416;0.046875009889709954;6;82;1579925;74059;3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,3,5,3,3,1,2,2,4,2,1,1,1,3,3,1,1,1,2,1,1,1,3;0.18814674297632283;0.3333333333333333
205;db4d433e390a;3;1;4327049;4327049;0;1.0;1.0;174;298;1.7126436781609196;22.216524874518825;11.983462529567404;41;False;17521602389;41;4049.3191523830674;0.00585937500011147;9;42;17521602389;102665639;2,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,9,1,1,2,1,2,3,2,1,4,1,3,1,4,1,1,1,4,2;0.12768117743976337;0.3333333333333333
206;e1ffe2aec641;3;1;4003609;4003609;0;1.6666666666666667;1.6666666666666667;198;336;1.696969696969697;22.177424857211122;12.875200092307978;128;False;30079718549;128;7513.150896853314;0.002929687529153357;10;143;33497429;98137;2,1,3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1;0.11200719624854102;0.3333333333333333
207;5dba8b831b60;3;1;3918505;3918505;0;1.6666666666666667;1.6666666666666667;116;206;1.7758620689655173;22.144349916345902;12.643612526682773;37;False;25074208145;37;6398.922074872942;0.0014648437610657323;11;48;44125525;64637;2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,3,2,3,1,3,1,4,4,2,11,3,1,1,1,2,3,2,2,1,1,1,4;0.19089956824436122;0.3333333333333333
