common_value;members_count;min_step;max_step;avg_step;members
4349647;3;0;7;4.333333333333333;3054895,4073193,4349647
4327049;3;0;2;1.0;2884699,3846265,4327049
4322879;3;77;79;78.0;2799007,3732009,4198511
4308299;3;105;112;107.66666666666667;1072575,1506607,1608863
4300543;3;17;25;22.0;1395183,2092775,2234815
4198511;3;0;2;1.0;2799007,3732009,4198511
4197257;3;3;5;4.0;829087,1105449,1243631
4194301;3;8;14;10.666666666666666;459759,581883,654619
4136407;3;115;118;116.33333333333333;3428767,4063723,4571689
4128767;3;0;2;1.0;1835007,2752511,4128767
4112441;3;132;137;134.0;3542887,3732423,4723849
4104749;3;5;7;6.0;1441447,1921929,2162171
4059695;3;1;5;3.3333333333333335;2138439,2706463,3207659
4009063;3;0;3;1.6666666666666667;3563611,4009063,4751481
4003609;3;0;3;1.6666666666666667;3558763,4003609,4745017
3981959;3;85;87;86.0;3219199,4292265,4828799
3926357;3;120;123;121.33333333333333;3428767,4063723,4571689
3918505;3;0;3;1.6666666666666667;3483115,3918505,4644153
3918251;3;0;2;1.0;2612167,3482889,3918251
3901031;3;2;5;3.6666666666666665;1027431,1541147,1733791
3806567;3;1;3;2.0;1127871,1691807,2537711
3728267;3;6;12;8.666666666666666;459759,581883,654619
3727171;3;79;86;81.66666666666667;1072575,1506607,1608863
3670015;3;0;3;1.6666666666666667;2174823,3262235,3670015
3669169;3;75;78;76.66666666666667;3563611,4009063,4751481
3648665;3;3;5;4.0;1441447,1921929,2162171
3627751;3;0;2;1.0;3224667,3627751,4837001
3586193;3;96;103;98.66666666666667;1072575,1506607,1608863
3579529;3;0;2;1.0;3181803,3579529,4772705
3542887;3;0;5;2.0;3542887,3732423,4723849
3538943;3;11;17;13.666666666666666;459759,581883,654619
3487535;3;97;102;99.33333333333333;3708699,4172287,4395495
3469873;3;135;140;137.0;3542887,3732423,4723849
3428767;3;0;3;1.3333333333333333;3428767,4063723,4571689
3362671;3;0;3;1.3333333333333333;3362671,3985387,4483561
3352223;3;1;9;6.0;1395183,2092775,2234815
3306239;3;0;2;1.0;1469439,2204159,3306239
3287519;3;1;3;2.0;974079,1461119,2191679
3249335;3;128;133;130.0;3542887,3732423,4723849
3243257;3;1;3;2.0;1441447,1921929,2162171
3243167;3;0;2;1.0;1441407,2162111,3243167
3155669;3;45;48;46.333333333333336;420351,630527,747291
3147943;3;4;6;5.0;829087,1105449,1243631
3146237;3;81;83;82.0;3219199,4292265,4828799
3084331;3;133;138;135.0;3542887,3732423,4723849
3077519;3;83;85;84.0;2799007,3732009,4198511
3055175;3;1;3;2.0;1357855,1810473,2036783
2993471;3;0;2;1.0;1330431,1995647,2993471
2987423;3;0;2;1.0;1327743,1991615,2987423
2888297;3;126;131;128.0;3542887,3732423,4723849
2881919;3;76;78;77.0;2799007,3732009,4198511
2872199;3;104;111;106.66666666666667;1072575,1506607,1608863
2813567;3;0;8;3.0;1875711,2813567,3512991
2798171;3;2;4;3.0;829087,1105449,1243631
2751877;3;76;79;77.66666666666667;3563611,4009063,4751481
2741627;3;131;136;133.0;3542887,3732423,4723849
2736499;3;4;6;5.0;1441447,1921929,2162171
2706463;3;0;4;2.3333333333333335;2138439,2706463,3207659
2689645;3;97;104;99.66666666666667;1072575,1506607,1608863
2672383;3;0;2;1.0;2375451,2672383,3563177
2655487;3;0;3;1.3333333333333333;2655487,3147243,3540649
2654639;3;84;86;85.0;3219199,4292265,4828799
2617571;3;119;122;120.33333333333333;3428767,4063723,4571689
2602405;3;136;141;138.0;3542887,3732423,4723849
2600687;3;1;4;2.6666666666666665;1027431,1541147,1733791
2561705;3;74;76;75.0;2799007,3732009,4198511
2553065;3;102;109;104.66666666666667;1072575,1506607,1608863
2537711;3;0;2;1.0;1127871,1691807,2537711
2504929;3;0;2;1.0;2226603,2504929,3339905
2504863;3;0;2;1.0;2504863,3339817,4453089
2485511;3;5;11;7.666666666666667;459759,581883,654619
2480287;3;0;3;1.6666666666666667;1469799,2204699,2480287
2432443;3;2;4;3.0;1441447,1921929,2162171
2431999;3;0;2;1.0;2431999,3242665,4323553
2390795;3;95;102;97.66666666666667;1072575,1506607,1608863
2359295;3;10;16;12.666666666666666;459759,581883,654619
2325023;3;96;101;98.33333333333333;3708699,4172287,4395495
2298025;3;0;2;1.0;2298025,3064033,4085377
2237467;3;0;2;1.0;1988859,2237467,2983289
2191679;3;0;2;1.0;974079,1461119,2191679
2166223;3;127;132;129.0;3542887,3732423,4723849
2162171;3;0;2;1.0;1441447,1921929,2162171
2129165;3;45;46;45.666666666666664;2268927,3403391,4537855
2103779;3;44;47;45.333333333333336;420351,630527,747291
2084863;3;0;2;1.0;1853211,2084863,2779817
2045345;3;37;43;39.666666666666664;459759,581883,654619
2036783;3;0;2;1.0;1357855,1810473,2036783
2024743;3;0;3;1.6666666666666667;1199847,1799771,2024743
1947493;3;87;89;88.0;2799007,3732009,4198511
1925531;3;125;130;127.0;3542887,3732423,4723849
1921279;3;75;77;76.0;2799007,3732009,4198511
1914799;3;103;110;105.66666666666667;1072575,1506607,1608863
1889021;3;91;98;93.66666666666667;1072575,1506607,1608863
1870025;3;42;45;43.333333333333336;420351,630527,747291
1865447;3;1;3;2.0;829087,1105449,1243631
1769759;3;83;85;84.0;3219199,4292265,4828799
1745047;3;118;121;119.33333333333333;3428767,4063723,4571689
1733791;3;0;3;1.6666666666666667;1027431,1541147,1733791
1725761;3;40;46;42.666666666666664;459759,581883,654619
1707803;3;73;75;74.0;2799007,3732009,4198511
1702043;3;101;108;103.66666666666667;1072575,1506607,1608863
1679129;3;89;96;91.66666666666667;1072575,1506607,1608863
1657007;3;4;10;6.666666666666667;459759,581883,654619
1646837;3;140;145;142.0;3542887,3732423,4723849
1593863;3;94;101;96.66666666666667;1072575,1506607,1608863
1587961;3;0;3;1.3333333333333333;1587961,1882027,2117281
1572863;3;9;15;11.666666666666666;459759,581883,654619
1572401;3;82;89;84.66666666666667;1072575,1506607,1608863
1568717;3;116;119;117.66666666666667;1027431,1541147,1733791
1563647;3;0;1;0.6666666666666666;1042431,1563647,4169725
1550015;3;95;100;97.33333333333333;3708699,4172287,4395495
1534009;3;38;44;40.666666666666664;459759,581883,654619
1512173;3;0;2;1.0;1008115,1344153,1512173
1419443;3;44;45;44.666666666666664;2268927,3403391,4537855
1402519;3;43;46;44.333333333333336;420351,630527,747291
1294321;3;41;47;43.666666666666664;459759,581883,654619
1283687;3;124;129;126.0;3542887,3732423,4723849
1259917;3;89;91;90.0;3219199,4292265,4828799
1259347;3;90;97;92.66666666666667;1072575,1506607,1608863
1243631;3;0;2;1.0;829087,1105449,1243631
1241413;3;103;108;105.33333333333333;3708699,4172287,4395495
1239749;3;86;89;87.66666666666667;3563611,4009063,4751481
1179839;3;82;84;83.0;3219199,4292265,4828799
1179301;3;83;90;85.66666666666667;1072575,1506607,1608863
1150507;3;39;45;41.666666666666664;459759,581883,654619
1138535;3;72;74;73.0;2799007,3732009,4198511
1134695;3;100;107;102.66666666666667;1072575,1506607,1608863
1130495;3;0;5;2.0;753663,1130495,2381947
1119419;3;88;95;90.66666666666667;1072575,1506607,1608863
1104671;3;3;9;5.666666666666667;459759,581883,654619
1097891;3;139;144;141.0;3542887,3732423,4723849
1088621;3;89;94;91.33333333333333;3708699,4172287,4395495
