METRICHE DELLE FAMIGLIE GRAVITAZIONALI
========================================================================================================================

Famiglie analizzate: 344
Famiglie con tronco dissipativo da subito: 77
Percentuale dissipative da subito: 0.2238

Media membri: 6.979651
Media nodi comuni: 19.389535
Media avg_v2 tronco: 1.847881
Media surplus finale: 24.010594

TOP 20 PER MEMBRI
------------------------------------------------------------------------------------------------------------------------
id=1d3d8228224e | members=   3 | nodes= 122 | max_common=     5936080241 | steps=  38 | avg_v2=2.447368 | surplus=+32.771425 | surplus_step=+0.862406 | max_debt_trunk=0.000000 | diss=True
id=f87d07b854e9 | members=   7 | nodes= 120 | max_common=     6692535845 | steps=  89 | avg_v2=1.955056 | surplus=+32.938337 | surplus_step=+0.370094 | max_debt_trunk=0.000000 | diss=True
id=76e0521fb269 | members=   2 | nodes= 120 | max_common=    33294549221 | steps=  85 | avg_v2=2.000000 | surplus=+35.278187 | surplus_step=+0.415037 | max_debt_trunk=0.000000 | diss=True
id=68ef3ef385b1 | members=   8 | nodes= 116 | max_common=    15730912385 | steps=  82 | avg_v2=2.000000 | surplus=+34.033075 | surplus_step=+0.415037 | max_debt_trunk=0.000000 | diss=True
id=1f683e81246f | members=   2 | nodes= 115 | max_common=    63486606161 | steps=  75 | avg_v2=2.066667 | surplus=+36.127812 | surplus_step=+0.481704 | max_debt_trunk=0.000000 | diss=True
id=5664b3c5c3f2 | members=   2 | nodes= 113 | max_common=    27372165569 | steps= 106 | avg_v2=1.915094 | surplus=+34.993975 | surplus_step=+0.330132 | max_debt_trunk=0.000000 | diss=True
id=3f0887ae20c2 | members=   3 | nodes= 110 | max_common=    16894913165 | steps=  80 | avg_v2=2.012500 | surplus=+34.203000 | surplus_step=+0.427537 | max_debt_trunk=0.000000 | diss=True
id=03fc565be756 | members=   6 | nodes= 108 | max_common=    58956314129 | steps=  89 | avg_v2=1.988764 | surplus=+35.938337 | surplus_step=+0.403802 | max_debt_trunk=0.000000 | diss=True
id=407e4fe44b3d | members=   2 | nodes= 105 | max_common=   142195824593 | steps=  78 | avg_v2=2.064103 | surplus=+37.372925 | surplus_step=+0.479140 | max_debt_trunk=0.000000 | diss=True
id=b8a24848bee4 | members=   2 | nodes= 105 | max_common=    23119199981 | steps=  98 | avg_v2=1.938776 | surplus=+34.673675 | surplus_step=+0.353813 | max_debt_trunk=0.000000 | diss=True

TOP 20 PER ALTEZZA MASSIMA
------------------------------------------------------------------------------------------------------------------------
id=d7f05a3f09a8 | members=   2 | nodes=  82 | max_common=   207572633873 | steps=  96 | avg_v2=1.979167 | surplus=+37.843600 | surplus_step=+0.394204 | max_debt_trunk=0.000000 | diss=True
id=407e4fe44b3d | members=   2 | nodes= 105 | max_common=   142195824593 | steps=  78 | avg_v2=2.064103 | surplus=+37.372925 | surplus_step=+0.479140 | max_debt_trunk=0.000000 | diss=True
id=8a166809a1a4 | members=   3 | nodes=  93 | max_common=   140942996837 | steps=  85 | avg_v2=2.023529 | surplus=+37.278187 | surplus_step=+0.438567 | max_debt_trunk=0.000000 | diss=True
id=207429d4f367 | members=   6 | nodes=  84 | max_common=   117539270981 | steps=  94 | avg_v2=1.978723 | surplus=+37.013525 | surplus_step=+0.393761 | max_debt_trunk=0.000000 | diss=True
id=77d97819dc89 | members=   3 | nodes= 172 | max_common=    98158530773 | steps= 161 | avg_v2=1.813665 | surplus=+36.821037 | surplus_step=+0.228702 | max_debt_trunk=0.000000 | diss=True
id=1f683e81246f | members=   2 | nodes= 115 | max_common=    63486606161 | steps=  75 | avg_v2=2.066667 | surplus=+36.127812 | surplus_step=+0.481704 | max_debt_trunk=0.000000 | diss=True
