start;classe_mod_1024;reached_one;total_steps;first_descent_step;final_descent_step;last_above_start_step;first_positive_surplus_step;peak_step;max_value;max_ratio;max_debt;max_debt_step;max_run_1;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;total_v2;avg_v2;final_surplus;prefix_50
4504061;509;True;196;1;141;140;1;126;30079718549;6678.355055360041;12.705275090865655;126;10;126;32;23;15;0.6428571428571429;0.16326530612244897;0.11734693877551021;0.07653061224489796;333;1.6989795918367347;22.347349858653388;3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1
2585279;703;True;206;104;141;140;104;83;15523957313;6004.751252379337;12.551887559855942;83;9;129;46;17;14;0.6262135922330098;0.22330097087378642;0.0825242718446602;0.06796116504854369;348;1.6893203883495145;21.49772485144183;1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1
3732423;967;True;222;5;140;139;5;61;98158530773;26298.87629912258;14.682712543990519;61;10;133;54;20;15;0.5990990990990991;0.24324324324324326;0.09009009009009009;0.06756756756756757;374;1.6846846846846846;22.138324839903362;1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3
1689023;447;True;195;140;140;139;140;125;30079718549;17808.94549630171;14.120312590144522;125;10;126;32;22;15;0.6461538461538462;0.1641025641025641;0.11282051282051282;0.07692307692307693;330;1.6923076923076923;20.932312359374578;1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1
3378047;895;True;195;34;140;139;34;125;30079718549;8904.470112168363;13.120312590144522;125;10;126;31;23;15;0.6461538461538462;0.15897435897435896;0.11794871794871795;0.07692307692307693;331;1.6974358974358974;21.932312359374578;1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1
3877919;31;True;205;88;140;139;88;82;15523957313;4003.1669854372926;11.966925059134809;82;9;128;46;17;14;0.624390243902439;0.22439024390243903;0.08292682926829269;0.06829268292682927;347;1.6926829268292682;22.08268735216302;1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,4,3,1,1,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1
2533535;159;True;194;139;139;138;139;124;30079718549;11872.627987772026;13.53535008942336;124;10;125;32;22;15;0.6443298969072165;0.16494845360824742;0.1134020618556701;0.07731958762886598;329;1.6958762886597938;21.51727486009571;1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1
1993215;511;True;198;97;139;138;97;47;22983893981;11531.066132354012;13.49323753389433;47;9;119;44;19;16;0.601010101010101;0.2222222222222222;0.09595959595959595;0.08080808080808081;335;1.6919191919191918;21.177424857211122;1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,5,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,3,1,3
3986431;1023;True;198;94;139;138;94;47;22983893981;5765.5316198875635;12.49323753389433;47;9;119;43;20;16;0.601010101010101;0.21717171717171718;0.10101010101010101;0.08080808080808081;336;1.696969696969697;22.177424857211122;1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,3,5,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,3,1,3
3800303;239;True;193;32;138;137;32;123;30079718549;7915.0842838057915;12.950387588702199;123;10;124;32;22;15;0.6424870466321243;0.16580310880829016;0.11398963730569948;0.07772020725388601;328;1.6994818652849741;22.1022373608169;1,1,1,2,1,1,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,5,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1
2989823;767;True;197;95;138;137;95;46;22983893981;7687.376135978619;12.908275033173183;46;9;118;44;19;16;0.5989847715736041;0.2233502538071066;0.09644670050761421;0.08121827411167512;334;1.6954314720812182;21.762387357932255;1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,5,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,3,1,3,2
