ANALISI TRONCHI DISSIPATIVI
========================================================================================================================

Tronchi analizzati: 100
Tronchi dissipativi da subito: 12
Tronchi con debito iniziale: 88

TOP 30 PER MEMBRI
------------------------------------------------------------------------------------------------------------------------
trunk=        3698459 | members=  58 | steps= 135 | avg_v2=1.748148 | surplus=+22.030062 | max_debt=11.117300
trunk=        4160767 | members=  58 | steps= 133 | avg_v2=1.751880 | surplus=+22.199987 | max_debt=10.947375
trunk=        5547689 | members=  58 | steps= 134 | avg_v2=1.753731 | surplus=+22.615025 | max_debt=10.532338
trunk=        6241151 | members=  61 | steps= 132 | avg_v2=1.757576 | surplus=+22.784950 | max_debt=10.362413
trunk=        9361727 | members=  61 | steps= 131 | avg_v2=1.763359 | surplus=+23.369912 | max_debt=9.777450
trunk=       14042591 | members=  61 | steps= 130 | avg_v2=1.769231 | surplus=+23.954875 | max_debt=9.192488
trunk=       21063887 | members=  61 | steps= 129 | avg_v2=1.775194 | surplus=+24.539837 | max_debt=8.607525
trunk=       26658983 | members=  62 | steps= 125 | avg_v2=1.784000 | surplus=+24.879687 | max_debt=8.267675
trunk=       31595831 | members=  61 | steps= 128 | avg_v2=1.781250 | surplus=+25.124800 | max_debt=8.022563
trunk=       39988475 | members=  62 | steps= 124 | avg_v2=1.790323 | surplus=+25.464650 | max_debt=7.682713
trunk=       44987035 | members=  62 | steps= 122 | avg_v2=1.795082 | surplus=+25.634575 | max_debt=7.512788
trunk=       47393747 | members=  61 | steps= 127 | avg_v2=1.787402 | surplus=+25.709762 | max_debt=7.437600
trunk=       50610415 | members=  62 | steps= 120 | avg_v2=1.800000 | surplus=+25.804500 | max_debt=7.342863
trunk=       59982713 | members=  62 | steps= 123 | avg_v2=1.796748 | surplus=+26.049612 | max_debt=7.097750
trunk=       67480553 | members=  62 | steps= 121 | avg_v2=1.801653 | surplus=+26.219537 | max_debt=6.927825
trunk=       71090621 | members=  61 | steps= 126 | avg_v2=1.793651 | surplus=+26.294725 | max_debt=6.852638
trunk=       75915623 | members=  62 | steps= 119 | avg_v2=1.806723 | surplus=+26.389462 | max_debt=6.757900
trunk=      113873435 | members=  62 | steps= 118 | avg_v2=1.813559 | surplus=+26.974425 | max_debt=6.172938
trunk=      121602151 | members=  62 | steps= 111 | avg_v2=1.828829 | surplus=+27.069162 | max_debt=6.078200
trunk=      128107615 | members=  62 | steps= 116 | avg_v2=1.818966 | surplus=+27.144350 | max_debt=6.003013
trunk=      168863359 | members=  62 | steps=  76 | avg_v2=1.947368 | surplus=+27.542850 | max_debt=5.604513
trunk=      170810153 | members=  62 | steps= 117 | avg_v2=1.820513 | surplus=+27.559387 | max_debt=5.587975
