src,dst,count,source_events,deterministic_probability,empirical_probability
K14:L9:w1-1-1-1-3-1-2-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-3-1-3-1-2:b1,K6:L4:w1-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-3-2-1-1-3:b1,K6:L4:w1-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-3-2-1-2-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-3-2-2-1-2:b1,K6:L4:w1-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-3-3-1-1-2:b1,K6:L4:w1-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-1-4-1-1-2-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-1-3-3:b1,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-1-4-2:b1,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-2-1-4:b1,K4:L3:w1-1-2:b2,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-2-2-3:b1,K4:L3:w1-1-2:b2,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-2-3-2:b1,K4:L3:w1-1-2:b2,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-3-1-3:b1,K9:L6:w1-1-2-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-3-2-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-1-4-1-2:b1,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-2-1-1-4:b1,K7:L5:w1-1-2-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-2-1-2-3:b1,K10:L7:w1-1-2-1-2-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-2-1-3-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-2-2-1-3:b1,K9:L6:w1-1-2-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-2-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-2-3-1-2:b1,K7:L5:w1-1-2-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-3-1-1-3:b1,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-3-1-2-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-3-2-1-2:b1,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-1-1-1-4:b1,K6:L4:w1-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-1-1-2-3:b1,K6:L4:w1-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-1-1-3-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-1-2-1-3:b1,K9:L6:w1-1-2-2-1-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-1-2-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-1-3-1-2:b1,K6:L4:w1-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-2-1-1-3:b1,K6:L4:w1-1-2-2:b1,16,16,1.0,1.0
K14:L9:w1-1-1-2-2-2-1-2-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,16,16,1.0,1.0
