src,dst,count,source_events,deterministic_probability,empirical_probability
K16:b1,K15:b1,9923,12832,0.7733011221945137,0.7733011221945137
K15:b1,K14:b1,6594,9919,0.6647847565278758,0.6647847565278758
K14:b1,K13:b1,1467,6582,0.2228805834092981,0.2228805834092981
K13:b1,K12:b1,959,1468,0.6532697547683923,0.6532697547683923
K14:b1,K11:b1,910,6582,0.13825584928593132,0.13825584928593132
K15:b1,K16:b1,804,9919,0.0810565581207783,0.0810565581207783
K12:b1,K11:b1,680,958,0.7098121085594989,0.7098121085594989
K14:b1,K6:b1,517,6582,0.07854755393497417,0.07854755393497417
K14:b1,K9:b1,481,6582,0.07307809176542085,0.07307809176542085
K14:b1,K3:b1,475,6582,0.07216651473716196,0.07216651473716196
K15:b1,K6:b1,460,9919,0.04637564270591794,0.04637564270591794
K14:b1,K16:b1,437,6582,0.066393193558189,0.066393193558189
K16:b1,K4:b2,383,12832,0.029847256857855362,0.029847256857855362
K16:b1,K6:b1,376,12832,0.029301745635910224,0.029301745635910224
K14:b1,K4:b1,372,6582,0.056517775752051046,0.056517775752051046
K14:b1,K10:b1,353,6582,0.05363111516256457,0.05363111516256457
K15:b1,K4:b1,304,9919,0.03064825083173707,0.03064825083173707
K15:b1,K4:b2,289,9919,0.029136001613065832,0.029136001613065832
K14:b1,K7:b1,272,6582,0.04132482528106959,0.04132482528106959
K16:b1,K11:b1,260,12832,0.020261845386533667,0.020261845386533667
K10:b2,K9:b1,256,352,0.7272727272727273,0.7272727272727273
K16:b1,K9:b1,243,12832,0.01893703241895262,0.01893703241895262
K16:b1,K7:b1,236,12832,0.01839152119700748,0.01839152119700748
K16:b1,K5:b1,224,12832,0.017456359102244388,0.017456359102244388
K16:b1,K4:b1,224,12832,0.017456359102244388,0.017456359102244388
K14:b1,K5:b1,208,6582,0.031601336979641445,0.031601336979641445
K14:b1,K3:b2,200,6582,0.030385900941962928,0.030385900941962928
K16:b1,K5:b2,192,12832,0.014962593516209476,0.014962593516209476
K14:b1,K4:b2,190,6582,0.028866605894864783,0.028866605894864783
K13:b1,K16:b1,170,1468,0.11580381471389646,0.11580381471389646
K11:b1,K3:b1,166,918,0.18082788671023964,0.18082788671023964
K15:b1,K9:b1,164,9919,0.016533924790805524,0.016533924790805524
K15:b1,K3:b1,160,9919,0.016130658332493195,0.016130658332493195
K15:b1,K3:b2,160,9919,0.016130658332493195,0.016130658332493195
K10:b1,K9:b1,147,180,0.8166666666666667,0.8166666666666667
K14:b1,K8:b1,144,6582,0.02187784867821331,0.02187784867821331
K16:b1,K10:b1,143,12832,0.011144014962593516,0.011144014962593516
K11:b1,K6:b1,139,918,0.1514161220043573,0.1514161220043573
K16:b1,K6:b2,135,12832,0.010520573566084788,0.010520573566084788
K15:b1,K7:b1,130,9919,0.01310615989515072,0.01310615989515072
K11:b1,K10:b1,129,918,0.14052287581699346,0.14052287581699346
K12:b2,K11:b1,128,128,1.0,1.0
K15:b1,K5:b2,128,9919,0.012904526665994556,0.012904526665994556
K9:b2,K8:b1,128,445,0.2876404494382023,0.2876404494382023
