src,dst,count
K3:L2:w1-2:b1,K10:L7:w1-1-1-1-2-2-2:b1,12
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,12
K3:L2:w1-2:b1,K10:L8:w1-1-1-1-1-1-2-2:b1,12
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-1-3:b1,11
K3:L2:w1-2:b1,K9:L7:w1-1-1-1-2-1-2:b1,11
K6:L4:w1-1-2-2:b2,K3:L2:w1-2:b1,11
K3:L2:w1-2:b1,K10:L7:w1-1-1-1-3-1-2:b1,11
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,11
K9:L7:w1-1-1-1-1-2-2:b1,K10:L7:w1-1-1-1-2-2-2:b1,11
K6:L4:w1-1-1-3:b1,K9:L6:w1-1-1-1-3-2:b1,10
K9:L7:w1-1-1-1-1-1-3:b1,K10:L7:w1-1-1-1-1-3-2:b1,10
K7:L5:w1-1-2-1-2:b2,K3:L2:w1-2:b2,10
K8:L6:w1-1-1-1-1-3:b1,K10:L7:w1-1-1-1-3-1-2:b1,10
K6:L4:w1-1-1-3:b1,K10:L7:w1-1-1-1-1-3-2:b1,10
K8:L7:w1-1-1-1-1-1-2:b1,K10:L7:w1-1-1-1-1-2-3:b1,9
K6:L5:w1-1-1-1-2:b1,K10:L7:w1-1-1-2-1-1-3:b1,9
K6:L5:w1-1-1-1-2:b2,K5:L4:w1-1-1-2:b1,9
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-2-3:b1,9
K7:L5:w1-1-1-1-3:b2,K6:L4:w1-1-1-3:b1,9
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-2-1-2:b1,9
K7:L6:w1-1-1-1-1-2:b2,K6:L5:w1-1-1-1-2:b1,9
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-1-3:b1,9
K8:L6:w1-1-1-2-1-2:b2,K7:L5:w1-1-2-1-2:b1,9
K3:L2:w1-2:b1,K8:L7:w1-1-1-1-1-1-2:b1,9
K3:L2:w1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,9
K6:L4:w1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,8
K7:L5:w1-1-1-2-2:b2,K6:L4:w1-1-2-2:b1,8
K7:L6:w1-1-1-1-1-2:b1,K10:L8:w1-1-1-1-2-1-1-2:b1,8
K8:L6:w1-1-1-1-1-3:b2,K7:L5:w1-1-1-1-3:b1,8
K8:L6:w1-1-1-1-2-2:b2,K7:L5:w1-1-1-2-2:b1,8
K8:L7:w1-1-1-1-1-1-2:b2,K7:L6:w1-1-1-1-1-2:b1,8
K9:L6:w1-1-1-1-1-4:b2,K9:L6:w1-1-1-1-1-4:b1,8
K9:L6:w1-1-1-1-2-3:b2,K5:L4:w1-1-1-2:b1,8
K9:L6:w1-1-1-1-3-2:b2,K6:L4:w1-1-1-3:b1,8
K9:L6:w1-1-1-2-1-3:b2,K4:L3:w1-1-2:b1,8
K9:L6:w1-1-1-2-2-2:b2,K6:L4:w1-1-2-2:b1,8
K9:L6:w1-1-1-3-1-2:b2,K3:L2:w1-2:b1,8
K9:L6:w1-1-2-1-1-3:b2,K3:L2:w1-2:b1,8
K9:L6:w1-1-2-1-2-2:b2,K3:L2:w1-2:b2,8
K9:L6:w1-1-2-2-1-2:b2,K3:L2:w1-2:b1,8
K9:L7:w1-1-1-1-1-1-3:b2,K8:L6:w1-1-1-1-1-3:b1,8
K6:L4:w1-1-1-3:b1,K9:L7:w1-1-1-1-1-1-3:b1,8
K9:L7:w1-1-1-1-1-2-2:b2,K8:L6:w1-1-1-1-2-2:b1,8
K9:L7:w1-1-1-1-2-1-2:b2,K8:L6:w1-1-1-2-1-2:b1,8
K9:L7:w1-1-1-2-1-1-2:b2,K4:L3:w1-1-2:b2,8
K9:L8:w1-1-1-1-1-1-1-2:b2,K8:L7:w1-1-1-1-1-1-2:b1,8
K10:L7:w1-1-1-1-1-1-4:b2,K9:L6:w1-1-1-1-1-4:b1,8
K9:L6:w1-1-1-1-1-4:b1,K10:L7:w1-1-1-1-1-1-4:b1,8
K10:L7:w1-1-1-1-1-2-3:b2,K9:L6:w1-1-1-1-2-3:b1,8
K10:L7:w1-1-1-1-1-3-2:b2,K9:L6:w1-1-1-1-3-2:b1,8
K10:L7:w1-1-1-1-2-1-3:b2,K9:L6:w1-1-1-2-1-3:b1,8
K10:L7:w1-1-1-1-2-2-2:b2,K9:L6:w1-1-1-2-2-2:b1,8
K10:L7:w1-1-1-1-3-1-2:b2,K9:L6:w1-1-1-3-1-2:b1,8
K10:L7:w1-1-1-2-1-1-3:b2,K9:L6:w1-1-2-1-1-3:b1,8
K10:L7:w1-1-1-2-1-2-2:b2,K9:L6:w1-1-2-1-2-2:b1,8
K10:L7:w1-1-1-2-2-1-2:b2,K9:L6:w1-1-2-2-1-2:b1,8
K10:L7:w1-1-1-3-1-1-2:b2,K4:L3:w1-1-2:b1,8
K10:L7:w1-1-2-1-1-2-2:b2,K3:L2:w1-2:b1,8
K10:L7:w1-1-2-1-2-1-2:b2,K3:L2:w1-2:b3,8
K10:L8:w1-1-1-1-1-1-1-3:b2,K9:L7:w1-1-1-1-1-1-3:b1,8
K6:L4:w1-1-1-3:b1,K10:L8:w1-1-1-1-1-1-1-3:b1,8
K10:L8:w1-1-1-1-1-1-2-2:b2,K9:L7:w1-1-1-1-1-2-2:b1,8
K10:L8:w1-1-1-1-1-2-1-2:b2,K9:L7:w1-1-1-1-2-1-2:b1,8
K10:L8:w1-1-1-1-2-1-1-2:b2,K9:L7:w1-1-1-2-1-1-2:b1,8
K10:L9:w1-1-1-1-1-1-1-1-2:b2,K9:L8:w1-1-1-1-1-1-1-2:b1,8
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,7
K3:L2:w1-2:b1,K9:L7:w1-1-1-1-1-1-3:b1,6
K3:L2:w1-2:b1,K10:L8:w1-1-1-1-1-1-1-3:b1,6
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-1-3:b1,6
K8:L6:w1-1-1-2-1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,6
K8:L7:w1-1-1-1-1-1-2:b1,K10:L8:w1-1-1-1-1-2-1-2:b1,6
K7:L5:w1-1-1-1-3:b1,K10:L7:w1-1-1-3-1-1-2:b1,5
K9:L6:w1-1-1-1-1-4:b1,K3:L2:w1-2:b1,5
K10:L7:w1-1-1-3-1-1-2:b1,K6:L4:w1-1-2-2:b1,5
K6:L5:w1-1-1-1-2:b1,K5:L4:w1-1-1-2:b2,4
K7:L6:w1-1-1-1-1-2:b1,K10:L7:w1-1-1-1-2-1-3:b1,4
K3:L2:w1-2:b4,K3:L2:w1-2:b3,4
K3:L2:w1-2:b1,K5:L4:w1-1-1-2:b2,4
K3:L2:w1-2:b1,K3:L2:w1-2:b3,4
K4:L3:w1-1-2:b3,K3:L2:w1-2:b1,3
K10:L7:w1-1-1-3-1-1-2:b1,K7:L5:w1-1-2-1-2:b1,3
K6:L4:w1-1-1-3:b1,K5:L4:w1-1-1-2:b1,3
K6:L4:w1-1-1-3:b1,K9:L8:w1-1-1-1-1-1-1-2:b1,3
K7:L5:w1-1-1-2-2:b1,K6:L4:w1-1-2-2:b2,3
K9:L6:w1-1-1-1-1-4:b1,K4:L3:w1-1-2:b1,3
K9:L6:w1-1-1-3-1-2:b1,K3:L2:w1-2:b2,3
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-3-2:b1,3
K9:L7:w1-1-1-2-1-1-2:b1,K4:L3:w1-1-2:b3,2
