src,dst,count,source_events,empirical_probability
K11:L7:w1-1-1-1-2-2-3:b1,K7:L5:w1-1-1-2-2:b1,561,561,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-2-2-1-2:b1,554,100901,0.005490530321800577
K10:L7:w1-1-1-1-3-1-2:b1,K9:L6:w1-1-1-3-1-2:b1,553,553,1.0
K11:L7:w1-1-1-1-1-2-4:b1,K6:L5:w1-1-1-1-2:b1,543,543,1.0
K11:L7:w1-1-1-1-1-3-3:b1,K7:L5:w1-1-1-1-3:b1,543,543,1.0
K11:L7:w1-1-1-1-3-1-3:b1,K6:L4:w1-1-1-3:b1,540,540,1.0
K11:L7:w1-1-1-1-4-1-2:b1,K3:L2:w1-2:b1,532,545,0.9761467889908257
K11:L7:w1-1-1-1-2-1-4:b1,K5:L4:w1-1-1-2:b1,519,519,1.0
K10:L7:w1-1-1-1-1-3-2:b1,K9:L6:w1-1-1-1-3-2:b1,519,519,1.0
K9:L7:w1-1-1-1-1-2-2:b1,K8:L6:w1-1-1-1-2-2:b1,516,518,0.9961389961389961
K10:L7:w1-1-1-1-1-1-4:b1,K9:L6:w1-1-1-1-1-4:b1,498,502,0.9920318725099602
K10:L7:w1-1-1-1-2-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,497,497,1.0
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,492,496,0.9919354838709677
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,487,491,0.9918533604887984
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,434,442,0.9819004524886877
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,393,100901,0.003894906888930734
K3:L2:w1-2:b1,K8:L6:w1-1-1-2-1-2:b1,391,100901,0.0038750854798267607
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,382,100901,0.0037858891388588816
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,381,100901,0.003775978434306895
K12:L8:w1-1-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,363,363,1.0
K12:L8:w1-1-2-1-2-2-1-2:b1,K3:L2:w1-2:b2,363,363,1.0
K12:L8:w1-1-2-1-2-1-2-2:b1,K3:L2:w1-2:b3,351,351,1.0
K6:L4:w1-1-1-3:b1,K4:L3:w1-1-2:b1,343,12093,0.028363516083684776
K3:L2:w1-2:b1,K3:L2:w1-2:b3,336,100901,0.0033299967294674977
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,335,552,0.6068840579710145
K12:L8:w1-1-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,321,321,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,319,100901,0.003161514752083726
K12:L8:w1-1-2-1-2-1-1-3:b1,K3:L2:w1-2:b2,309,309,1.0
K11:L7:w1-1-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,306,582,0.5257731958762887
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-1-3:b1,304,100901,0.0030128541838039266
K11:L8:w1-1-1-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,296,296,1.0
K12:L8:w1-1-1-2-2-1-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,280,280,1.0
K12:L8:w1-1-1-1-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,279,279,1.0
K11:L8:w1-1-1-2-1-1-2-2:b1,K4:L3:w1-1-2:b2,278,278,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,276,100901,0.0027353544563483018
K12:L8:w1-1-1-1-2-1-3-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,272,273,0.9963369963369964
K12:L8:w1-1-1-2-1-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,271,271,1.0
K12:L8:w1-1-1-1-3-2-1-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,269,269,1.0
K12:L8:w1-1-1-1-3-1-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,262,262,1.0
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-3-2:b1,260,100901,0.0025767831835165162
K11:L8:w1-1-1-2-1-2-1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,259,259,1.0
K12:L8:w1-1-1-3-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,259,265,0.9773584905660377
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-2-2:b1,258,100901,0.002556961774412543
K12:L8:w1-1-1-2-2-2-1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,256,256,1.0
K12:L8:w1-1-1-1-2-1-2-3:b1,K11:L7:w1-1-1-2-1-2-3:b1,255,255,1.0
K12:L8:w1-1-1-1-1-2-3-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,251,262,0.9580152671755725
K12:L8:w1-1-1-2-1-3-1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,249,249,1.0
K12:L8:w1-1-1-2-1-2-1-3:b1,K11:L7:w1-1-2-1-2-1-3:b1,245,245,1.0
K12:L8:w1-1-1-2-1-1-2-3:b1,K4:L3:w1-1-2:b2,245,245,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,245,100901,0.002428122615236717
K12:L8:w1-1-1-1-1-3-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,244,270,0.9037037037037037
K14:L9:w1-1-2-1-2-2-1-2-2:b1,K3:L2:w1-2:b2,244,244,1.0
K12:L8:w1-1-1-2-1-1-3-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,243,243,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,243,100901,0.002408301206132744
K14:L9:w1-1-2-2-1-2-1-2-2:b1,K3:L2:w1-2:b1,240,240,1.0
K12:L8:w1-1-1-2-2-1-1-3:b1,K11:L7:w1-1-2-2-1-1-3:b1,239,239,1.0
K11:L8:w1-1-1-2-1-1-1-3:b1,K4:L3:w1-1-2:b1,239,239,1.0
K12:L8:w1-1-1-3-1-2-1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,238,238,1.0
K14:L9:w1-1-2-1-2-1-2-2-2:b1,K3:L2:w1-2:b3,238,238,1.0
K14:L9:w1-1-2-1-2-2-2-1-2:b1,K3:L2:w1-2:b2,236,236,1.0
K12:L8:w1-1-1-1-1-1-4-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,236,244,0.9672131147540983
K3:L2:w1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,234,100901,0.0023191048651648644
K11:L8:w1-1-1-1-1-2-2-2:b1,K10:L7:w1-1-1-1-2-2-2:b1,233,238,0.9789915966386554
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,232,100901,0.0022992834560608914
K10:L8:w1-1-1-1-2-1-1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,232,242,0.9586776859504132
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-1-3:b1,232,100901,0.0022992834560608914
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-2-3:b1,231,100901,0.0022893727515089046
K12:L8:w1-1-1-1-2-2-1-3:b1,K11:L7:w1-1-1-2-2-1-3:b1,229,229,1.0
K12:L8:w1-1-1-1-2-3-1-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,227,227,1.0
K12:L8:w1-1-1-2-3-1-1-2:b1,K4:L3:w1-1-2:b1,226,226,1.0
K14:L9:w1-1-2-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,226,226,1.0
K14:L9:w1-1-1-1-2-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,225,225,1.0
K12:L8:w1-1-1-1-4-1-1-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,225,225,1.0
K7:L5:w1-1-1-2-2:b2,K6:L4:w1-1-2-2:b1,224,224,1.0
K14:L9:w1-1-1-2-2-1-2-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,224,224,1.0
K14:L9:w1-1-1-3-1-2-1-2-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,224,224,1.0
K12:L8:w1-1-1-1-1-4-1-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,223,233,0.9570815450643777
K11:L8:w1-1-1-1-2-1-2-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,222,223,0.9955156950672646
K12:L8:w1-1-1-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,222,252,0.8809523809523809
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,222,100901,0.0022001764105410255
K13:L9:w1-1-2-1-2-1-1-2-2:b1,K3:L2:w1-2:b2,221,221,1.0
K14:L9:w1-1-1-2-1-2-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,221,221,1.0
K12:L8:w1-1-1-1-1-3-1-3:b1,K11:L7:w1-1-1-1-3-1-3:b1,221,234,0.9444444444444444
K14:L9:w1-1-1-2-1-1-3-2-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,221,221,1.0
K14:L9:w1-1-1-2-1-2-1-3-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,220,220,1.0
K14:L9:w1-1-2-1-2-1-1-3-2:b1,K3:L2:w1-2:b2,220,220,1.0
K12:L8:w1-1-1-1-1-1-2-4:b1,K11:L7:w1-1-1-1-1-2-4:b1,219,228,0.9605263157894737
K14:L9:w1-1-1-1-2-1-3-2-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,219,219,1.0
K14:L9:w1-1-1-1-3-1-2-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,217,217,1.0
K14:L9:w1-1-2-2-1-2-2-1-2:b1,K3:L2:w1-2:b1,216,216,1.0
K14:L9:w1-1-1-2-1-1-2-3-2:b1,K4:L3:w1-1-2:b2,216,216,1.0
K14:L9:w1-1-1-2-1-3-1-2-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,215,215,1.0
K7:L5:w1-1-2-1-2:b2,K3:L2:w1-2:b2,214,214,1.0
K11:L8:w1-1-1-1-2-2-1-2:b1,K10:L7:w1-1-1-2-2-1-2:b1,214,223,0.9596412556053812
K12:L8:w1-1-1-1-1-1-3-3:b1,K11:L7:w1-1-1-1-1-3-3:b1,213,219,0.9726027397260274
K13:L9:w1-1-1-1-1-1-3-2-2:b1,K12:L8:w1-1-1-1-1-3-2-2:b1,212,238,0.8907563025210085
K12:L8:w1-1-1-1-3-1-1-3:b1,K11:L7:w1-1-1-3-1-1-3:b1,211,211,1.0
K14:L9:w1-1-1-1-2-3-1-2-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,211,211,1.0
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,211,100901,0.002091158660469173
K14:L9:w1-1-1-1-1-3-2-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,209,209,1.0
K13:L9:w1-1-1-2-2-1-1-2-2:b1,K6:L4:w1-1-2-2:b2,209,215,0.9720930232558139
K14:L9:w1-1-1-1-2-1-2-2-3:b1,K10:L7:w1-1-1-2-1-2-2:b1,209,209,1.0
K14:L9:w1-1-1-1-1-1-4-2-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,209,209,1.0
K14:L9:w1-1-2-1-2-2-1-1-3:b1,K3:L2:w1-2:b2,208,208,1.0
