src,dst,count,source_events,empirical_probability
K3:b1,K3:b3,162,50343,0.0032179250342649424
K13:b1,K7:b1,159,6742,0.023583506377929397
K11:b1,K16:b1,150,11541,0.012997140629061606
K11:b1,K4:b2,149,11541,0.012910493024867862
K14:b1,K5:b2,142,19122,0.007426001464281979
K6:b1,K13:b1,135,15894,0.008493771234428085
K15:b1,K3:b3,128,17683,0.007238590736865917
K16:b1,K10:b1,126,10922,0.011536348654092657
K6:b1,K12:b1,125,15894,0.007864602994840821
K6:b1,K6:b1,124,15894,0.007801686170882094
K13:b1,K3:b2,119,6742,0.01765054879857609
K13:b1,K5:b1,119,6742,0.01765054879857609
K13:b1,K3:b4,114,6742,0.016908929101156926
K16:b1,K6:b2,113,10922,0.01034609045962278
K7:b2,K3:b2,107,390,0.2743589743589744
K13:b1,K3:b1,96,6742,0.014239098190447939
K6:b1,K10:b1,95,15894,0.0059770982760790235
K6:b1,K8:b1,93,15894,0.005851264628161571
K12:b1,K7:b1,84,6711,0.012516763522574878
K13:b1,K5:b2,80,6742,0.011865915158706615
K11:b1,K5:b2,77,11541,0.006671865522918291
K6:b1,K3:b2,76,15894,0.004781678620863219
K3:b1,K4:b3,74,50343,0.0014699163736765788
K8:b2,K7:b1,73,73,1.0
K11:b1,K15:b1,72,11541,0.006238627501949571
K3:b1,K7:b2,71,50343,0.001410325169338339
K13:b1,K4:b3,70,6742,0.010382675763868289
K15:b1,K4:b3,66,17683,0.003732398348696488
K15:b1,K3:b4,65,17683,0.003675846858564723
K16:b1,K4:b3,62,10922,0.005676616004394799
K11:b1,K14:b1,60,11541,0.005198856251624643
K16:b1,K3:b1,60,10922,0.005493499359091741
K9:b1,K16:b1,56,7493,0.0074736420659281995
K15:b1,K11:b1,53,17683,0.0029972289769835433
K15:b1,K10:b1,48,17683,0.0027144715263247186
K16:b1,K8:b1,45,10922,0.004120124519318806
K10:b1,K16:b1,44,3917,0.011233086545825888
K3:b5,K3:b4,42,42,1.0
K9:b1,K14:b1,41,7493,0.005471773655411717
K15:b1,K8:b1,41,17683,0.002318611095402364
K16:b1,K3:b2,38,10922,0.003479216260758103
K9:b1,K15:b1,34,7493,0.004537568397170693
K9:b2,K3:b1,33,126,0.2619047619047619
K5:b3,K4:b1,33,33,1.0
K11:b1,K9:b1,32,11541,0.0027727233341998093
K6:b2,K9:b1,32,963,0.033229491173416406
K6:b2,K11:b1,29,963,0.030114226375908618
K9:b2,K8:b1,29,126,0.23015873015873015
K16:b1,K3:b3,29,10922,0.0026551913568943417
K6:b1,K5:b2,28,15894,0.0017616710708443439
K10:b2,K9:b1,27,38,0.7105263157894737
K3:b1,K3:b4,26,50343,0.0005164571042647439
K16:b1,K3:b5,24,10922,0.0021973997436366965
K16:b1,K5:b3,24,10922,0.0021973997436366965
K11:b1,K11:b1,24,11541,0.002079542500649857
K11:b1,K12:b1,21,11541,0.001819599688068625
K14:b1,K15:b1,20,19122,0.001045915699194645
K14:b1,K14:b1,19,19122,0.0009936199142349127
K11:b2,K3:b1,18,27,0.6666666666666666
K11:b1,K13:b1,18,11541,0.0015596568754873928
K15:b1,K12:b1,17,17683,0.0009613753322400045
K6:b1,K3:b3,17,15894,0.0010695860072983516
K6:b2,K14:b1,15,963,0.01557632398753894
K6:b1,K8:b2,14,15894,0.0008808355354221719
K9:b2,K4:b2,13,126,0.10317460317460317
K13:b1,K11:b1,13,6742,0.001928211213289825
K14:b1,K3:b4,12,19122,0.0006275494195167869
K6:b1,K4:b2,12,15894,0.0007550018875047187
K6:b2,K12:b1,12,963,0.012461059190031152
K6:b1,K6:b2,12,15894,0.0007550018875047187
K6:b2,K13:b1,11,963,0.01142263759086189
K9:b1,K12:b1,11,7493,0.0014680368343787534
K9:b2,K4:b1,11,126,0.0873015873015873
K9:b2,K3:b2,11,126,0.0873015873015873
K10:b2,K3:b1,11,38,0.2894736842105263
K14:b1,K12:b1,11,19122,0.0005752536345570547
K6:b1,K7:b2,10,15894,0.0006291682395872657
K14:b1,K8:b2,10,19122,0.0005229578495973225
K9:b2,K5:b1,10,126,0.07936507936507936
K9:b2,K6:b1,10,126,0.07936507936507936
K13:b1,K9:b1,10,6742,0.0014832393948383269
K15:b2,K14:b1,10,10,1.0
K9:b1,K13:b1,9,7493,0.0012011210463098892
K11:b2,K4:b1,9,27,0.3333333333333333
K16:b1,K13:b1,9,10922,0.0008240249038637612
K12:b2,K11:b1,9,9,1.0
K13:b2,K4:b2,9,18,0.5
K13:b2,K4:b1,9,18,0.5
K15:b1,K15:b1,9,17683,0.0005089634111858848
K9:b1,K11:b1,8,7493,0.0010676631522754572
K15:b1,K13:b1,8,17683,0.0004524119210541198
K16:b1,K14:b1,8,10922,0.0007324665812122322
K6:b2,K10:b1,8,963,0.008307372793354102
K15:b1,K8:b2,8,17683,0.0004524119210541198
K16:b1,K9:b2,8,10922,0.0007324665812122322
K3:b1,K9:b2,7,50343,0.00013904614345589257
K13:b1,K6:b3,7,6742,0.0010382675763868287
K14:b1,K4:b3,7,19122,0.0003660704947181257
K3:b6,K3:b5,6,6,1.0
K15:b1,K9:b2,6,17683,0.0003393089407905898
K3:b1,K8:b2,5,50343,9.931867389706612e-05
K9:b1,K8:b2,5,7493,0.0006672894701721607
K14:b1,K9:b2,5,19122,0.00026147892479866125
K16:b1,K3:b6,5,10922,0.0004577916132576451
K4:b4,K3:b1,5,5,1.0
K9:b2,K9:b1,4,126,0.031746031746031744
K9:b1,K10:b1,4,7493,0.0005338315761377286
K9:b1,K7:b1,4,7493,0.0005338315761377286
K6:b3,K3:b1,4,9,0.4444444444444444
K16:b1,K12:b1,4,10922,0.0003662332906061161
K13:b1,K4:b4,4,6742,0.0005932957579353308
K11:b1,K8:b1,3,11541,0.0002599428125812321
K15:b1,K10:b2,3,17683,0.0001696544703952949
K6:b3,K5:b1,3,9,0.3333333333333333
K13:b1,K14:b1,3,6742,0.0004449718184514981
K10:b1,K9:b2,3,3917,0.0007658922644881287
K13:b1,K15:b1,3,6742,0.0004449718184514981
K3:b1,K3:b5,3,50343,5.9591204338239674e-05
K15:b1,K7:b3,3,17683,0.0001696544703952949
K7:b3,K6:b1,3,3,1.0
K14:b1,K6:b2,3,19122,0.00015688735487919673
K9:b2,K11:b1,2,126,0.015873015873015872
K13:b1,K13:b1,2,6742,0.0002966478789676654
K11:b1,K10:b2,2,11541,0.00017329520838748808
K12:b1,K9:b1,2,6711,0.00029801817910892565
K6:b3,K6:b2,2,9,0.2222222222222222
K3:b1,K6:b3,2,50343,3.9727469558826454e-05
K6:b2,K15:b1,2,963,0.0020768431983385254
K14:b1,K13:b2,2,19122,0.00010459156991946449
K12:b1,K14:b1,2,6711,0.00029801817910892565
K16:b1,K11:b2,2,10922,0.00018311664530305805
K9:b2,K14:b1,1,126,0.007936507936507936
K9:b2,K15:b1,1,126,0.007936507936507936
K14:b1,K7:b2,1,19122,5.2295784959732244e-05
K9:b1,K9:b1,1,7493,0.00013345789403443215
K6:b1,K3:b4,1,15894,6.291682395872656e-05
K6:b1,K9:b2,1,15894,6.291682395872656e-05
K11:b1,K6:b2,1,11541,8.664760419374404e-05
K9:b2,K16:b1,1,126,0.007936507936507936
K6:b2,K9:b2,1,963,0.0010384215991692627
K16:b1,K16:b1,1,10922,9.155832265152902e-05
K16:b1,K15:b2,1,10922,9.155832265152902e-05
K15:b1,K4:b4,1,17683,5.6551490131764975e-05
K6:b2,K16:b1,1,963,0.0010384215991692627
K11:b1,K3:b3,1,11541,8.664760419374404e-05
K12:b1,K12:b1,1,6711,0.00014900908955446283
K13:b1,K12:b2,1,6742,0.0001483239394838327
K14:b1,K3:b5,1,19122,5.2295784959732244e-05
K16:b1,K10:b2,1,10922,9.155832265152902e-05
K3:b1,K5:b3,1,50343,1.9863734779413227e-05
K6:b1,K3:b6,1,15894,6.291682395872656e-05
K12:b1,K11:b2,1,6711,0.00014900908955446283
