node,K,L,b,total_lift_classes,canonical_source_classes,shadowed_initial_classes,no_initial_classes,internal_hit_classes,external_hit_classes,below_start_classes,budget_classes,max_steps_observed,max_bit_length_observed
K10:L7:w1-1-1-1-1-1-4:b1,10,7,1,32,12,20,0,12,0,0,0,1,17
K10:L7:w1-1-1-1-1-2-3:b1,10,7,1,32,12,20,0,12,0,0,0,1,17
K10:L7:w1-1-1-1-1-3-2:b1,10,7,1,32,14,18,0,14,0,0,0,1,17
K10:L7:w1-1-1-1-1-3-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-1-2-1-3:b1,10,7,1,32,14,18,0,14,0,0,0,1,17
K10:L7:w1-1-1-1-2-1-3:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-1-2-2-2:b1,10,7,1,32,14,18,0,14,0,0,0,1,17
K10:L7:w1-1-1-1-2-2-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-1-3-1-2:b1,10,7,1,32,13,19,0,13,0,0,0,1,17
K10:L7:w1-1-1-1-3-1-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-2-1-1-3:b1,10,7,1,32,15,17,0,15,0,0,0,1,17
K10:L7:w1-1-1-2-1-1-3:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-2-1-2-2:b1,10,7,1,32,14,18,0,14,0,0,0,1,17
K10:L7:w1-1-1-2-1-2-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-2-2-1-2:b1,10,7,1,32,14,18,0,14,0,0,0,1,17
K10:L7:w1-1-1-2-2-1-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-1-3-1-1-2:b1,10,7,1,32,15,17,0,15,0,0,0,4,18
K10:L7:w1-1-1-3-1-1-2:b2,10,7,2,32,32,0,0,32,0,0,0,4,28
K10:L7:w1-1-2-1-1-2-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L7:w1-1-2-1-2-1-2:b1,10,7,1,32,16,16,0,16,0,0,0,1,17
K10:L7:w1-1-2-1-2-1-2:b2,10,7,2,32,32,0,0,32,0,0,0,1,27
K10:L8:w1-1-1-1-1-1-1-3:b1,10,8,1,32,5,27,0,5,0,0,0,1,17
K10:L8:w1-1-1-1-1-1-2-2:b1,10,8,1,32,5,27,0,5,0,0,0,1,17
K10:L8:w1-1-1-1-1-2-1-2:b1,10,8,1,32,6,26,0,6,0,0,0,1,17
K10:L8:w1-1-1-1-2-1-1-2:b1,10,8,1,32,7,25,0,7,0,0,0,1,17
K10:L9:w1-1-1-1-1-1-1-1-2:b1,10,9,1,32,4,28,0,4,0,0,0,1,17
K10:L9:w1-1-1-1-1-1-1-1-2:b2,10,9,2,32,32,0,0,32,0,0,0,1,27
K11:L10:w1-1-1-1-1-1-1-1-1-2:b1,11,10,1,32,6,26,0,6,0,0,0,1,18
K11:L7:w1-1-1-1-1-1-5:b1,11,7,1,32,25,7,0,3,0,22,0,10,21
K11:L7:w1-1-1-1-1-2-4:b1,11,7,1,32,25,7,0,25,0,0,0,1,18
K11:L7:w1-1-1-1-1-3-3:b1,11,7,1,32,25,7,0,25,0,0,0,1,18
K11:L7:w1-1-1-1-1-3-3:b2,11,7,2,32,32,0,0,32,0,0,0,1,29
K11:L7:w1-1-1-1-1-4-2:b1,11,7,1,32,25,7,0,1,0,24,0,12,20
