src,dst,count
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,492
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,487
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,434
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,393
K3:L2:w1-2:b1,K8:L6:w1-1-1-2-1-2:b1,391
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,382
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,381
K12:L8:w1-1-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,363
K12:L8:w1-1-2-1-2-2-1-2:b1,K3:L2:w1-2:b2,363
K12:L8:w1-1-2-1-2-1-2-2:b1,K3:L2:w1-2:b3,351
K6:L4:w1-1-1-3:b1,K4:L3:w1-1-2:b1,343
K3:L2:w1-2:b1,K3:L2:w1-2:b3,336
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,335
K12:L8:w1-1-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,321
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,319
K12:L8:w1-1-2-1-2-1-1-3:b1,K3:L2:w1-2:b2,309
K11:L7:w1-1-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,306
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-1-3:b1,304
K11:L8:w1-1-1-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,296
K12:L8:w1-1-1-2-2-1-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,280
K12:L8:w1-1-1-1-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,279
K11:L8:w1-1-1-2-1-1-2-2:b1,K4:L3:w1-1-2:b2,278
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,276
K12:L8:w1-1-1-1-2-1-3-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,272
K12:L8:w1-1-1-2-1-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,271
K12:L8:w1-1-1-1-3-2-1-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,269
K12:L8:w1-1-1-1-3-1-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,262
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-3-2:b1,260
K11:L8:w1-1-1-2-1-2-1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,259
K12:L8:w1-1-1-3-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,259
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-2-2:b1,258
K12:L8:w1-1-1-2-2-2-1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,256
K12:L8:w1-1-1-1-2-1-2-3:b1,K11:L7:w1-1-1-2-1-2-3:b1,255
K12:L8:w1-1-1-1-1-2-3-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,251
K12:L8:w1-1-1-2-1-3-1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,249
K12:L8:w1-1-1-2-1-2-1-3:b1,K11:L7:w1-1-2-1-2-1-3:b1,245
K12:L8:w1-1-1-2-1-1-2-3:b1,K4:L3:w1-1-2:b2,245
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,245
K12:L8:w1-1-1-1-1-3-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,244
K14:L9:w1-1-2-1-2-2-1-2-2:b1,K3:L2:w1-2:b2,244
K12:L8:w1-1-1-2-1-1-3-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,243
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,243
K14:L9:w1-1-2-2-1-2-1-2-2:b1,K3:L2:w1-2:b1,240
K12:L8:w1-1-1-2-2-1-1-3:b1,K11:L7:w1-1-2-2-1-1-3:b1,239
K11:L8:w1-1-1-2-1-1-1-3:b1,K4:L3:w1-1-2:b1,239
K12:L8:w1-1-1-3-1-2-1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,238
K14:L9:w1-1-2-1-2-1-2-2-2:b1,K3:L2:w1-2:b3,238
K14:L9:w1-1-2-1-2-2-2-1-2:b1,K3:L2:w1-2:b2,236
K12:L8:w1-1-1-1-1-1-4-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,236
K3:L2:w1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,234
K11:L8:w1-1-1-1-1-2-2-2:b1,K10:L7:w1-1-1-1-2-2-2:b1,233
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,232
K10:L8:w1-1-1-1-2-1-1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,232
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-1-3:b1,232
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-2-3:b1,231
K12:L8:w1-1-1-1-2-2-1-3:b1,K11:L7:w1-1-1-2-2-1-3:b1,229
K12:L8:w1-1-1-1-2-3-1-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,227
K12:L8:w1-1-1-2-3-1-1-2:b1,K4:L3:w1-1-2:b1,226
K14:L9:w1-1-2-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,226
K14:L9:w1-1-1-1-2-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,225
K12:L8:w1-1-1-1-4-1-1-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,225
K7:L5:w1-1-1-2-2:b2,K6:L4:w1-1-2-2:b1,224
K14:L9:w1-1-1-2-2-1-2-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,224
K14:L9:w1-1-1-3-1-2-1-2-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,224
K12:L8:w1-1-1-1-1-4-1-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,223
K11:L8:w1-1-1-1-2-1-2-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,222
K12:L8:w1-1-1-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,222
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,222
K13:L9:w1-1-2-1-2-1-1-2-2:b1,K3:L2:w1-2:b2,221
K14:L9:w1-1-1-2-1-2-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,221
K12:L8:w1-1-1-1-1-3-1-3:b1,K11:L7:w1-1-1-1-3-1-3:b1,221
K14:L9:w1-1-1-2-1-1-3-2-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,221
K14:L9:w1-1-1-2-1-2-1-3-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,220
K14:L9:w1-1-2-1-2-1-1-3-2:b1,K3:L2:w1-2:b2,220
K12:L8:w1-1-1-1-1-1-2-4:b1,K11:L7:w1-1-1-1-1-2-4:b1,219
K14:L9:w1-1-1-1-2-1-3-2-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,219
K14:L9:w1-1-1-1-3-1-2-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,217
K14:L9:w1-1-2-2-1-2-2-1-2:b1,K3:L2:w1-2:b1,216
K14:L9:w1-1-1-2-1-1-2-3-2:b1,K4:L3:w1-1-2:b2,216
K14:L9:w1-1-1-2-1-3-1-2-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,215
K7:L5:w1-1-2-1-2:b2,K3:L2:w1-2:b2,214
K11:L8:w1-1-1-1-2-2-1-2:b1,K10:L7:w1-1-1-2-2-1-2:b1,214
K12:L8:w1-1-1-1-1-1-3-3:b1,K11:L7:w1-1-1-1-1-3-3:b1,213
K13:L9:w1-1-1-1-1-1-3-2-2:b1,K12:L8:w1-1-1-1-1-3-2-2:b1,212
K12:L8:w1-1-1-1-3-1-1-3:b1,K11:L7:w1-1-1-3-1-1-3:b1,211
K14:L9:w1-1-1-1-2-3-1-2-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,211
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,211
K14:L9:w1-1-1-1-1-3-2-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,209
K13:L9:w1-1-1-2-2-1-1-2-2:b1,K6:L4:w1-1-2-2:b2,209
K14:L9:w1-1-1-1-2-1-2-2-3:b1,K10:L7:w1-1-1-2-1-2-2:b1,209
K14:L9:w1-1-1-1-1-1-4-2-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,209
K14:L9:w1-1-2-1-2-2-1-1-3:b1,K3:L2:w1-2:b2,208
K3:L2:w1-2:b1,K7:L6:w1-1-1-1-1-2:b1,208
K11:L8:w1-1-1-1-1-3-1-2:b1,K10:L7:w1-1-1-1-3-1-2:b1,208
K11:L8:w1-1-1-1-3-1-1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,208
K14:L9:w1-1-1-1-1-2-2-3-2:b1,K11:L7:w1-1-1-1-2-2-3:b1,208
K14:L9:w1-1-1-2-2-2-1-2-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,207
K13:L9:w1-1-1-2-1-2-1-2-2:b1,K12:L8:w1-1-2-1-2-1-2-2:b1,206
K13:L9:w1-1-1-2-2-1-2-1-2:b1,K12:L8:w1-1-2-2-1-2-1-2:b1,205
K13:L9:w1-1-2-1-2-1-2-1-2:b1,K3:L2:w1-2:b4,205
K12:L8:w1-1-1-2-1-1-1-4:b1,K4:L3:w1-1-2:b1,204
K12:L8:w1-1-1-1-2-1-1-4:b1,K11:L7:w1-1-1-2-1-1-4:b1,204
K13:L9:w1-1-1-2-1-1-1-3-2:b1,K4:L3:w1-1-2:b1,204
K14:L9:w1-1-1-1-3-2-1-2-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,204
K14:L9:w1-1-1-2-1-1-1-4-2:b1,K4:L3:w1-1-2:b1,203
K13:L9:w1-1-1-1-1-2-2-2-2:b1,K12:L8:w1-1-1-1-2-2-2-2:b1,203
K14:L9:w1-1-2-1-1-3-2-1-2:b1,K3:L2:w1-2:b1,203
K14:L9:w1-1-1-2-2-2-2-1-2:b1,K6:L4:w1-1-2-2:b1,202
K13:L9:w1-1-1-2-1-1-2-2-2:b1,K4:L3:w1-1-2:b2,202
K13:L9:w1-1-1-2-1-2-2-1-2:b1,K12:L8:w1-1-2-1-2-2-1-2:b1,201
K14:L9:w1-1-1-1-2-2-2-1-3:b1,K9:L6:w1-1-1-2-2-2:b1,201
K6:L4:w1-1-1-3:b1,K7:L5:w1-1-1-2-2:b1,201
K14:L9:w1-1-1-1-1-1-3-3-2:b1,K11:L7:w1-1-1-1-1-3-3:b1,200
K14:L9:w1-1-1-1-1-1-2-4-2:b1,K11:L7:w1-1-1-1-1-2-4:b1,200
K10:L8:w1-1-1-1-1-2-1-2:b1,K9:L7:w1-1-1-1-2-1-2:b1,199
K12:L8:w1-1-1-1-1-2-2-3:b1,K11:L7:w1-1-1-1-2-2-3:b1,199
K14:L9:w1-1-1-1-2-2-3-1-2:b1,K7:L5:w1-1-1-2-2:b1,199
K3:L2:w1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,199
K14:L9:w1-1-1-1-1-1-1-5-2:b1,K11:L7:w1-1-1-1-1-1-5:b1,199
K14:L9:w1-1-1-2-2-1-1-3-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,199
K14:L9:w1-1-1-2-1-1-2-2-3:b1,K4:L3:w1-1-2:b2,198
K11:L8:w1-1-1-1-1-1-2-3:b1,K10:L7:w1-1-1-1-1-2-3:b1,197
K14:L9:w1-1-1-3-1-2-2-1-2:b1,K3:L2:w1-2:b1,197
K14:L9:w1-1-1-1-1-2-3-2-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,197
K14:L9:w1-1-2-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,197
K13:L9:w1-1-1-2-1-1-3-1-2:b1,K12:L8:w1-1-2-1-1-3-1-2:b1,196
K14:L9:w1-1-1-2-1-2-3-1-2:b1,K7:L5:w1-1-2-1-2:b1,195
K14:L9:w1-1-1-1-2-1-1-4-2:b1,K11:L7:w1-1-1-2-1-1-4:b1,195
K14:L9:w1-1-2-1-3-1-1-2-2:b1,K3:L2:w1-2:b1,195
K14:L9:w1-1-2-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,195
K14:L9:w1-1-1-2-2-1-1-2-3:b1,K6:L4:w1-1-2-2:b1,195
K14:L9:w1-1-1-1-1-2-1-4-2:b1,K11:L7:w1-1-1-1-2-1-4:b1,195
K13:L9:w1-1-1-2-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,194
K9:L8:w1-1-1-1-1-1-1-2:b1,K8:L7:w1-1-1-1-1-1-2:b1,194
K12:L8:w1-1-1-1-1-2-1-4:b1,K11:L7:w1-1-1-1-2-1-4:b1,194
K14:L9:w1-1-1-1-1-4-1-2-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,194
K14:L9:w1-1-1-1-3-1-1-3-2:b1,K11:L7:w1-1-1-3-1-1-3:b1,194
K10:L8:w1-1-1-1-1-1-2-2:b1,K9:L7:w1-1-1-1-1-2-2:b1,193
K12:L9:w1-1-1-1-3-1-1-1-2:b1,K6:L4:w1-1-1-3:b1,193
K14:L9:w1-1-1-1-2-2-1-3-2:b1,K11:L7:w1-1-1-2-2-1-3:b1,193
K14:L9:w1-1-1-3-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,193
K11:L8:w1-1-1-1-1-1-3-2:b1,K10:L7:w1-1-1-1-1-3-2:b1,192
K12:L8:w1-1-1-1-1-1-1-5:b1,K11:L7:w1-1-1-1-1-1-5:b1,192
K13:L9:w1-1-1-3-1-2-1-1-2:b1,K3:L2:w1-2:b1,192
K14:L9:w1-1-1-2-1-1-1-3-3:b1,K4:L3:w1-1-2:b1,191
K14:L9:w1-1-1-2-2-1-3-1-2:b1,K6:L4:w1-1-2-2:b1,191
K14:L9:w1-1-1-2-1-2-1-2-3:b1,K10:L7:w1-1-2-1-2-1-2:b1,189
K13:L9:w1-1-1-1-2-2-1-2-2:b1,K12:L8:w1-1-1-2-2-1-2-2:b1,188
K11:L8:w1-1-1-1-1-2-1-3:b1,K10:L7:w1-1-1-1-2-1-3:b1,188
K3:L2:w1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,187
K14:L9:w1-1-1-1-1-2-2-2-3:b1,K10:L7:w1-1-1-1-2-2-2:b1,187
K14:L9:w1-1-1-1-2-1-2-3-2:b1,K11:L7:w1-1-1-2-1-2-3:b1,187
K14:L9:w1-1-1-1-1-3-3-1-2:b1,K7:L5:w1-1-1-1-3:b1,187
K7:L5:w1-1-1-1-3:b2,K6:L4:w1-1-1-3:b1,186
K14:L9:w1-1-1-2-2-1-2-1-3:b1,K9:L6:w1-1-2-2-1-2:b1,186
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-1-3:b1,186
K14:L9:w1-1-2-1-2-1-3-1-2:b1,K3:L2:w1-2:b2,186
K14:L9:w1-1-2-1-2-1-1-2-3:b1,K3:L2:w1-2:b2,185
K14:L9:w1-1-1-1-1-3-1-3-2:b1,K11:L7:w1-1-1-1-3-1-3:b1,185
K14:L9:w1-1-1-1-3-1-1-1-4:b1,K6:L4:w1-1-1-3:b1,184
K12:L9:w1-1-1-1-2-1-1-2-2:b1,K11:L8:w1-1-1-2-1-1-2-2:b1,184
K14:L9:w1-1-1-2-1-1-4-1-2:b1,K4:L3:w1-1-2:b1,184
K13:L9:w1-1-1-1-1-3-2-1-2:b1,K12:L8:w1-1-1-1-3-2-1-2:b1,184
K14:L9:w1-1-1-2-1-2-2-1-3:b1,K9:L6:w1-1-2-1-2-2:b1,184
K13:L9:w1-1-1-1-1-1-2-3-2:b1,K12:L8:w1-1-1-1-1-2-3-2:b1,183
K14:L9:w1-1-1-3-1-2-1-1-3:b1,K3:L2:w1-2:b1,183
K11:L8:w1-1-1-1-2-1-1-3:b1,K10:L7:w1-1-1-2-1-1-3:b1,183
K13:L9:w1-1-1-1-2-2-2-1-2:b1,K12:L8:w1-1-1-2-2-2-1-2:b1,182
K13:L9:w1-1-1-1-2-1-2-2-2:b1,K12:L8:w1-1-1-2-1-2-2-2:b1,182
K14:L9:w1-1-2-1-2-1-2-1-3:b1,K3:L2:w1-2:b3,182
K11:L8:w1-1-1-1-1-1-1-4:b1,K10:L7:w1-1-1-1-1-1-4:b1,181
K13:L9:w1-1-1-1-1-2-1-2-3:b1,K12:L8:w1-1-1-1-2-1-2-3:b1,181
K14:L9:w1-1-1-2-1-3-2-1-2:b1,K4:L3:w1-1-2:b1,181
K13:L9:w1-1-1-1-1-3-1-2-2:b1,K12:L8:w1-1-1-1-3-1-2-2:b1,180
K14:L9:w1-1-1-1-2-1-1-2-4:b1,K9:L7:w1-1-1-2-1-1-2:b1,180
K14:L9:w1-1-1-1-1-3-2-1-3:b1,K9:L6:w1-1-1-1-3-2:b1,180
K14:L9:w1-1-1-1-3-1-3-1-2:b1,K6:L4:w1-1-1-3:b1,180
K13:L9:w1-1-1-1-1-2-1-3-2:b1,K12:L8:w1-1-1-1-2-1-3-2:b1,180
K14:L9:w1-1-1-1-2-3-2-1-2:b1,K5:L4:w1-1-1-2:b1,180
K14:L9:w1-1-1-1-1-1-3-2-3:b1,K10:L7:w1-1-1-1-1-3-2:b1,180
K12:L9:w1-1-1-2-1-1-2-1-2:b1,K4:L3:w1-1-2:b2,180
K13:L9:w1-1-1-2-1-1-2-1-3:b1,K4:L3:w1-1-2:b2,179
K13:L9:w1-1-1-1-3-1-1-2-2:b1,K12:L8:w1-1-1-3-1-1-2-2:b1,179
K14:L9:w1-1-1-1-3-2-2-1-2:b1,K6:L4:w1-1-1-3:b1,179
K14:L9:w1-1-2-1-3-1-2-1-2:b1,K3:L2:w1-2:b1,179
K14:L9:w1-1-1-1-2-2-1-2-3:b1,K10:L7:w1-1-1-2-2-1-2:b1,179
K14:L9:w1-1-1-1-1-2-4-1-2:b1,K6:L5:w1-1-1-1-2:b1,179
K3:L2:w1-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,178
K13:L9:w1-1-1-2-1-3-1-1-2:b1,K4:L3:w1-1-2:b1,178
K14:L9:w1-1-1-1-3-1-1-2-3:b1,K10:L7:w1-1-1-3-1-1-2:b1,178
K14:L9:w1-1-1-2-3-1-2-1-2:b1,K4:L3:w1-1-2:b1,177
K14:L9:w1-1-1-1-1-1-1-4-3:b1,K10:L7:w1-1-1-1-1-1-4:b1,176
K14:L9:w1-1-1-1-2-1-4-1-2:b1,K5:L4:w1-1-1-2:b1,176
