source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K6:L4:w1-1-2-2,1,0,9,17,K3:L2:w1-2,0,3,2,1,5,9
K6:L4:w1-1-2-2,1,0,10,19,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K6:L4:w1-1-2-2,1,0,11,20,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K6:L4:w1-1-2-2,1,0,12,21,K6:L4:w1-1-1-3,3,6,4,1,12,10
K6:L4:w1-1-2-2,1,1,0,0,K6:L4:w1-1-2-2,4,6,4,1,7,8
K6:L4:w1-1-2-2,1,1,1,1,K3:L2:w1-2,0,3,2,1,4,9
K6:L5:w1-1-1-1-2,1,0,0,0,K15:L11:w1-1-1-1-2-2-1-2-1-1-2,763,15,11,1,19,5
K6:L5:w1-1-1-1-2,1,0,1,1,K14:L10:w1-1-1-2-2-1-2-1-1-2,453,14,10,1,21,6
K6:L5:w1-1-1-1-2,1,0,2,2,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K6:L5:w1-1-1-1-2,1,0,3,3,K3:L2:w1-2,0,3,2,1,4,7
K6:L5:w1-1-1-1-2,1,0,4,8,K4:L3:w1-1-2,1,4,3,1,7,7
K6:L5:w1-1-1-1-2,1,0,5,9,K3:L2:w1-2,0,3,2,1,5,8
K6:L5:w1-1-1-1-2,1,0,6,11,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K6:L5:w1-1-1-1-2,1,0,7,12,K4:L3:w1-1-2,1,4,3,1,5,9
K6:L5:w1-1-1-1-2,1,0,8,13,K3:L2:w1-2,0,3,2,1,4,9
K6:L5:w1-1-1-1-2,1,0,9,16,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K6:L5:w1-1-1-1-2,1,0,10,17,K3:L2:w1-2,0,3,2,2,8,8
K6:L5:w1-1-1-1-2,1,0,11,19,K3:L2:w1-2,0,3,2,1,5,9
K6:L5:w1-1-1-1-2,1,0,12,21,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K6:L5:w1-1-1-1-2,1,0,13,22,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K6:L5:w1-1-1-1-2,1,0,14,23,K6:L4:w1-1-1-3,3,6,4,1,12,10
K6:L5:w1-1-1-1-2,1,1,0,0,K16:L11:w1-1-1-1-2-1-1-1-1-4-2,947,16,11,1,17,8
K6:L5:w1-1-1-1-2,1,1,1,1,K5:L4:w1-1-1-2,2,5,4,1,9,8
K6:L5:w1-1-1-1-2,1,1,2,2,K4:L3:w1-1-2,1,4,3,1,7,9
K6:L5:w1-1-1-1-2,1,1,3,3,K3:L2:w1-2,0,3,2,1,5,10
K7:L5:w1-1-1-1-3,1,0,0,0,K9:L6:w1-1-1-1-3-2,16,9,6,1,14,8
K7:L5:w1-1-1-1-3,1,0,1,1,K6:L4:w1-1-1-3,3,6,4,1,7,9
K7:L5:w1-1-1-1-3,1,0,2,6,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K7:L5:w1-1-1-1-3,1,0,3,7,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K7:L5:w1-1-1-1-3,1,0,4,8,K6:L4:w1-1-1-3,3,6,4,1,12,10
K7:L5:w1-1-1-1-3,1,1,0,0,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K7:L5:w1-1-1-1-3,1,1,1,1,K6:L4:w1-1-1-3,3,6,4,1,12,10
K7:L5:w1-1-1-2-2,1,0,0,0,K14:L10:w1-1-1-2-2-1-2-1-1-2,453,14,10,1,21,6
K7:L5:w1-1-1-2-2,1,0,1,1,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K7:L5:w1-1-1-2-2,1,0,2,2,K3:L2:w1-2,0,3,2,1,4,7
K7:L5:w1-1-1-2-2,1,0,3,7,K4:L3:w1-1-2,1,4,3,1,7,7
K7:L5:w1-1-1-2-2,1,0,4,8,K3:L2:w1-2,0,3,2,1,5,8
K7:L5:w1-1-1-2-2,1,0,5,10,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K7:L5:w1-1-1-2-2,1,0,6,11,K4:L3:w1-1-2,1,4,3,1,5,9
K7:L5:w1-1-1-2-2,1,0,7,12,K3:L2:w1-2,0,3,2,1,4,9
K7:L5:w1-1-1-2-2,1,0,8,15,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K7:L5:w1-1-1-2-2,1,0,9,16,K3:L2:w1-2,0,3,2,2,8,8
K7:L5:w1-1-1-2-2,1,0,10,18,K3:L2:w1-2,0,3,2,1,5,9
K7:L5:w1-1-1-2-2,1,0,11,20,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K7:L5:w1-1-1-2-2,1,0,12,21,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K7:L5:w1-1-1-2-2,1,0,13,22,K6:L4:w1-1-1-3,3,6,4,1,12,10
K7:L5:w1-1-1-2-2,1,1,0,0,K11:L7:w1-1-1-2-2-2-2,59,11,7,1,12,9
K7:L5:w1-1-1-2-2,1,1,1,1,K6:L4:w1-1-2-2,4,6,4,1,7,9
K7:L5:w1-1-1-2-2,1,1,2,2,K3:L2:w1-2,0,3,2,1,4,10
K7:L5:w1-1-2-1-2,1,0,0,0,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K7:L5:w1-1-2-1-2,1,0,1,1,K3:L2:w1-2,0,3,2,2,8,8
K7:L5:w1-1-2-1-2,1,0,2,3,K3:L2:w1-2,0,3,2,1,5,9
K7:L5:w1-1-2-1-2,1,0,3,5,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K7:L5:w1-1-2-1-2,1,0,4,6,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K7:L5:w1-1-2-1-2,1,0,5,7,K6:L4:w1-1-1-3,3,6,4,1,12,10
K7:L5:w1-1-2-1-2,1,1,0,0,K7:L5:w1-1-2-1-2,8,7,5,1,8,9
K7:L5:w1-1-2-1-2,1,1,1,1,K3:L2:w1-2,0,3,2,2,7,10
K7:L5:w1-1-2-1-2,1,1,2,3,K3:L2:w1-2,0,3,2,1,4,10
K7:L6:w1-1-1-1-1-2,1,0,0,0,K11:L7:w1-1-1-1-1-2-4,46,11,7,1,12,8
K7:L6:w1-1-1-1-1-2,1,0,1,1,K6:L5:w1-1-1-1-2,5,6,5,1,7,9
K7:L6:w1-1-1-1-1-2,1,0,2,2,K5:L4:w1-1-1-2,2,5,4,1,6,9
K7:L6:w1-1-1-1-1-2,1,0,3,3,K4:L3:w1-1-2,1,4,3,1,5,10
K7:L6:w1-1-1-1-1-2,1,0,4,4,K3:L2:w1-2,0,3,2,1,4,10
K7:L6:w1-1-1-1-1-2,1,1,0,0,K14:L10:w1-1-1-1-1-2-1-1-3-2,409,14,10,1,18,9
K7:L6:w1-1-1-1-1-2,1,1,1,1,K13:L9:w1-1-1-1-2-1-1-3-2,182,13,9,1,17,10
K7:L6:w1-1-1-1-1-2,1,1,2,2,K12:L8:w1-1-1-2-1-1-3-2,118,12,8,1,17,10
K7:L6:w1-1-1-1-1-2,1,1,3,3,K11:L7:w1-1-2-1-1-3-2,66,11,7,1,14,11
K7:L6:w1-1-1-1-1-2,1,1,4,4,K3:L2:w1-2,0,3,2,1,5,12
K7:L6:w1-1-1-1-1-2,1,1,5,10,K6:L4:w1-1-1-3,3,6,4,1,7,11
K7:L6:w1-1-1-1-1-2,1,1,6,15,K11:L9:w1-1-1-1-1-1-1-2-2,91,11,9,1,12,10
K7:L6:w1-1-1-1-1-2,1,1,7,16,K10:L8:w1-1-1-1-1-1-2-2,41,10,8,1,11,11
K7:L6:w1-1-1-1-1-2,1,1,8,17,K9:L7:w1-1-1-1-1-2-2,24,9,7,1,10,11
K7:L6:w1-1-1-1-1-2,1,1,9,18,K8:L6:w1-1-1-1-2-2,11,8,6,1,9,12
K7:L6:w1-1-1-1-1-2,1,1,10,19,K7:L5:w1-1-1-2-2,7,7,5,1,8,12
K7:L6:w1-1-1-1-1-2,1,1,11,20,K6:L4:w1-1-2-2,4,6,4,1,7,13
K7:L6:w1-1-1-1-1-2,1,1,12,21,K3:L2:w1-2,0,3,2,1,4,14
K8:L6:w1-1-1-1-1-3,1,0,0,0,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K8:L6:w1-1-1-1-1-3,1,0,1,1,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K8:L6:w1-1-1-1-1-3,1,0,2,2,K6:L4:w1-1-1-3,3,6,4,1,12,10
K8:L6:w1-1-1-1-1-3,1,1,0,0,K12:L8:w1-1-1-1-1-3-2-2,104,12,8,1,13,10
K8:L6:w1-1-1-1-1-3,1,1,1,1,K11:L7:w1-1-1-1-3-2-2,53,11,7,1,12,11
K8:L6:w1-1-1-1-1-3,1,1,2,2,K6:L4:w1-1-1-3,3,6,4,1,7,11
K8:L6:w1-1-1-1-2-2,1,0,0,0,K15:L11:w1-1-1-1-2-2-1-2-1-1-2,763,15,11,1,19,5
K8:L6:w1-1-1-1-2-2,1,0,1,1,K14:L10:w1-1-1-2-2-1-2-1-1-2,453,14,10,1,21,6
K8:L6:w1-1-1-1-2-2,1,0,2,2,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K8:L6:w1-1-1-1-2-2,1,0,3,3,K3:L2:w1-2,0,3,2,1,4,7
K8:L6:w1-1-1-1-2-2,1,0,4,8,K4:L3:w1-1-2,1,4,3,1,7,7
K8:L6:w1-1-1-1-2-2,1,0,5,9,K3:L2:w1-2,0,3,2,1,5,8
K8:L6:w1-1-1-1-2-2,1,0,6,11,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K8:L6:w1-1-1-1-2-2,1,0,7,12,K4:L3:w1-1-2,1,4,3,1,5,9
K8:L6:w1-1-1-1-2-2,1,0,8,13,K3:L2:w1-2,0,3,2,1,4,9
K8:L6:w1-1-1-1-2-2,1,0,9,16,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K8:L6:w1-1-1-1-2-2,1,0,10,17,K3:L2:w1-2,0,3,2,2,8,8
K8:L6:w1-1-1-1-2-2,1,0,11,19,K3:L2:w1-2,0,3,2,1,5,9
K8:L6:w1-1-1-1-2-2,1,0,12,21,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K8:L6:w1-1-1-1-2-2,1,0,13,22,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K8:L6:w1-1-1-1-2-2,1,0,14,23,K6:L4:w1-1-1-3,3,6,4,1,12,10
K8:L6:w1-1-1-1-2-2,1,1,0,0,K11:L7:w1-1-1-1-2-2-3,50,11,7,1,12,10
K8:L6:w1-1-1-1-2-2,1,1,1,1,K7:L5:w1-1-1-2-2,7,7,5,1,8,10
K8:L6:w1-1-1-1-2-2,1,1,2,2,K6:L4:w1-1-2-2,4,6,4,1,7,11
K8:L6:w1-1-1-1-2-2,1,1,3,3,K3:L2:w1-2,0,3,2,1,4,11
K8:L6:w1-1-1-2-1-2,1,0,0,0,K8:L6:w1-1-1-2-1-2,12,8,6,1,12,7
K8:L6:w1-1-1-2-1-2,1,0,1,1,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K8:L6:w1-1-1-2-1-2,1,0,2,2,K3:L2:w1-2,0,3,2,2,8,8
K8:L6:w1-1-1-2-1-2,1,0,3,4,K3:L2:w1-2,0,3,2,1,5,9
K8:L6:w1-1-1-2-1-2,1,0,4,6,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K8:L6:w1-1-1-2-1-2,1,0,5,7,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K8:L6:w1-1-1-2-1-2,1,0,6,8,K6:L4:w1-1-1-3,3,6,4,1,12,10
K8:L6:w1-1-1-2-1-2,1,1,0,0,K10:L7:w1-1-1-2-1-2-2,35,10,7,1,11,10
K8:L6:w1-1-1-2-1-2,1,1,1,1,K9:L6:w1-1-2-1-2-2,21,9,6,1,10,10
K8:L6:w1-1-1-2-1-2,1,1,2,2,K3:L2:w1-2,0,3,2,2,7,11
K8:L6:w1-1-1-2-1-2,1,1,3,4,K3:L2:w1-2,0,3,2,1,4,11
K8:L7:w1-1-1-1-1-1-2,1,0,0,0,K12:L8:w1-1-1-1-1-1-2-4,97,12,8,1,13,7
K8:L7:w1-1-1-1-1-1-2,1,0,1,1,K11:L7:w1-1-1-1-1-2-4,46,11,7,1,12,8
K8:L7:w1-1-1-1-1-1-2,1,0,2,2,K6:L5:w1-1-1-1-2,5,6,5,1,7,9
K8:L7:w1-1-1-1-1-1-2,1,0,3,3,K5:L4:w1-1-1-2,2,5,4,1,6,9
K8:L7:w1-1-1-1-1-1-2,1,0,4,4,K4:L3:w1-1-2,1,4,3,1,5,10
K8:L7:w1-1-1-1-1-1-2,1,0,5,5,K3:L2:w1-2,0,3,2,1,4,10
K8:L7:w1-1-1-1-1-1-2,1,1,0,0,K15:L12:w1-1-1-1-1-1-2-1-2-1-1-2,799,15,12,1,16,10
K8:L7:w1-1-1-1-1-1-2,1,1,1,1,K14:L11:w1-1-1-1-1-2-1-2-1-1-2,475,14,11,1,15,10
K8:L7:w1-1-1-1-1-1-2,1,1,2,2,K16:L11:w1-1-1-1-2-1-2-1-1-2-3,965,16,11,1,17,11
K8:L7:w1-1-1-1-1-1-2,1,1,3,3,K15:L10:w1-1-1-2-1-2-1-1-2-3,631,15,10,1,16,12
K8:L7:w1-1-1-1-1-1-2,1,1,4,4,K14:L9:w1-1-2-1-2-1-1-2-3,369,14,9,1,15,12
K8:L7:w1-1-1-1-1-1-2,1,1,5,5,K3:L2:w1-2,0,3,2,2,8,13
K8:L7:w1-1-1-1-1-1-2,1,1,6,7,K3:L2:w1-2,0,3,2,1,5,13
K8:L7:w1-1-1-1-1-1-2,1,1,7,9,K4:L3:w1-1-2,1,4,3,1,5,13
K8:L7:w1-1-1-1-1-1-2,1,1,8,10,K3:L2:w1-2,0,3,2,1,4,14
K9:L6:w1-1-1-1-1-4,1,0,0,0,K16:L11:w1-1-1-1-1-4-1-2-1-1-2,942,16,11,1,20,6
K9:L6:w1-1-1-1-1-4,1,0,1,1,K15:L10:w1-1-1-1-4-1-2-1-1-2,612,15,10,1,19,7
K9:L6:w1-1-1-1-1-4,1,0,2,2,K14:L9:w1-1-1-4-1-2-1-1-2,359,14,9,1,19,8
K9:L6:w1-1-1-1-1-4,1,0,3,6,K3:L2:w1-2,0,3,2,1,5,7
K9:L6:w1-1-1-1-1-4,1,0,4,8,K4:L3:w1-1-2,1,4,3,1,7,7
K9:L6:w1-1-1-1-1-4,1,0,5,9,K3:L2:w1-2,0,3,2,1,5,8
K9:L6:w1-1-1-1-1-4,1,0,6,11,K15:L10:w1-1-1-2-3-1-1-2-1-2,657,15,10,1,19,8
K9:L6:w1-1-1-1-1-4,1,0,7,12,K4:L3:w1-1-2,1,4,3,1,5,9
K9:L6:w1-1-1-1-1-4,1,0,8,13,K3:L2:w1-2,0,3,2,1,4,9
K9:L6:w1-1-1-1-1-4,1,0,9,16,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K9:L6:w1-1-1-1-1-4,1,0,10,17,K3:L2:w1-2,0,3,2,2,8,8
K9:L6:w1-1-1-1-1-4,1,0,11,19,K3:L2:w1-2,0,3,2,1,5,9
K9:L6:w1-1-1-1-1-4,1,0,12,21,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K9:L6:w1-1-1-1-1-4,1,0,13,22,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K9:L6:w1-1-1-1-1-4,1,0,14,23,K6:L4:w1-1-1-3,3,6,4,1,12,10
K9:L6:w1-1-1-1-1-4,1,1,0,0,K9:L6:w1-1-1-1-1-4,14,9,6,1,10,11
K9:L6:w1-1-1-1-2-3,1,0,0,0,K9:L6:w1-1-1-1-2-3,15,9,6,1,11,10
K9:L6:w1-1-1-1-2-3,1,0,1,1,K5:L4:w1-1-1-2,2,5,4,1,6,11
K9:L6:w1-1-1-1-2-3,1,0,2,2,K4:L3:w1-1-2,1,4,3,1,5,11
K9:L6:w1-1-1-1-2-3,1,0,3,3,K3:L2:w1-2,0,3,2,1,4,12
K9:L6:w1-1-1-1-2-3,1,1,0,0,K9:L6:w1-1-1-1-2-3,15,9,6,1,10,11
K9:L6:w1-1-1-1-2-3,1,1,1,1,K5:L4:w1-1-1-2,2,5,4,1,6,12
K9:L6:w1-1-1-1-2-3,1,1,2,2,K4:L3:w1-1-2,1,4,3,1,5,13
K9:L6:w1-1-1-1-2-3,1,1,3,3,K3:L2:w1-2,0,3,2,1,4,13
K9:L6:w1-1-1-1-3-2,1,0,0,0,K9:L6:w1-1-1-1-3-2,16,9,6,1,14,8
K9:L6:w1-1-1-1-3-2,1,0,1,1,K6:L4:w1-1-1-3,3,6,4,1,7,9
K9:L6:w1-1-1-1-3-2,1,0,2,6,K15:L10:w1-1-1-1-1-3-1-1-1-4,545,15,10,1,16,9
K9:L6:w1-1-1-1-3-2,1,0,3,7,K14:L9:w1-1-1-1-3-1-1-1-4,299,14,9,1,15,9
K9:L6:w1-1-1-1-3-2,1,0,4,8,K6:L4:w1-1-1-3,3,6,4,1,12,10
