source_node,source_b,t,event_index,step,node,node_id,K,L,b,v2_n_minus_q,value_bit_length
K4:L3:w1-1-2,1,2,1,1,K3:L2:w1-2,0,3,2,1,4,7
K4:L3:w1-1-2,1,2,2,6,K4:L3:w1-1-2,1,4,3,1,7,7
K4:L3:w1-1-2,1,2,3,7,K3:L2:w1-2,0,3,2,1,5,8
K4:L3:w1-1-2,1,2,4,9,K5:L4:w1-1-1-2,2,5,4,1,6,8
K4:L3:w1-1-2,1,2,5,10,K4:L3:w1-1-2,1,4,3,1,5,9
K4:L3:w1-1-2,1,2,6,11,K3:L2:w1-2,0,3,2,1,4,9
K4:L3:w1-1-2,1,2,7,14,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K4:L3:w1-1-2,1,2,8,15,K3:L2:w1-2,0,3,2,2,8,8
K4:L3:w1-1-2,1,2,9,17,K3:L2:w1-2,0,3,2,1,5,9
K4:L3:w1-1-2,1,2,10,19,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K4:L3:w1-1-2,1,2,11,20,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K4:L3:w1-1-2,1,2,12,21,K6:L4:w1-1-1-3,3,6,4,1,12,10
K4:L3:w1-1-2,1,3,0,0,K4:L3:w1-1-2,1,4,3,1,7,7
K4:L3:w1-1-2,1,3,1,1,K3:L2:w1-2,0,3,2,1,5,8
K4:L3:w1-1-2,1,3,2,3,K5:L4:w1-1-1-2,2,5,4,1,6,8
K4:L3:w1-1-2,1,3,3,4,K4:L3:w1-1-2,1,4,3,1,5,9
K4:L3:w1-1-2,1,3,4,5,K3:L2:w1-2,0,3,2,1,4,9
K4:L3:w1-1-2,1,3,5,8,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K4:L3:w1-1-2,1,3,6,9,K3:L2:w1-2,0,3,2,2,8,8
K4:L3:w1-1-2,1,3,7,11,K3:L2:w1-2,0,3,2,1,5,9
K4:L3:w1-1-2,1,3,8,13,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K4:L3:w1-1-2,1,3,9,14,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K4:L3:w1-1-2,1,3,10,15,K6:L4:w1-1-1-3,3,6,4,1,12,10
K4:L3:w1-1-2,1,4,0,0,K4:L3:w1-1-2,1,4,3,1,5,8
K4:L3:w1-1-2,1,4,1,1,K3:L2:w1-2,0,3,2,1,4,8
K4:L3:w1-1-2,1,5,0,0,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K4:L3:w1-1-2,1,5,1,1,K3:L2:w1-2,0,3,2,2,8,8
K4:L3:w1-1-2,1,5,2,3,K3:L2:w1-2,0,3,2,1,5,9
K4:L3:w1-1-2,1,5,3,5,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K4:L3:w1-1-2,1,5,4,6,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K4:L3:w1-1-2,1,5,5,7,K6:L4:w1-1-1-3,3,6,4,1,12,10
K4:L3:w1-1-2,1,6,0,0,K6:L4:w1-1-2-2,4,6,4,1,7,8
K4:L3:w1-1-2,1,6,1,1,K3:L2:w1-2,0,3,2,1,4,9
K4:L3:w1-1-2,1,7,0,0,K4:L3:w1-1-2,1,4,3,2,9,8
K4:L3:w1-1-2,1,7,1,1,K3:L2:w1-2,0,3,2,1,5,9
K4:L3:w1-1-2,1,7,2,3,K4:L3:w1-1-2,1,4,3,1,5,9
K4:L3:w1-1-2,1,7,3,4,K3:L2:w1-2,0,3,2,1,4,10
K4:L3:w1-1-2,2,0,0,0,K4:L3:w1-1-2,1,4,3,2,9,8
K4:L3:w1-1-2,2,0,1,1,K3:L2:w1-2,0,3,2,1,5,9
K4:L3:w1-1-2,2,0,2,3,K4:L3:w1-1-2,1,4,3,1,5,9
K4:L3:w1-1-2,2,0,3,4,K3:L2:w1-2,0,3,2,1,4,10
K4:L3:w1-1-2,2,1,0,0,K4:L3:w1-1-2,1,4,3,3,13,10
K4:L3:w1-1-2,2,1,1,1,K3:L2:w1-2,0,3,2,1,5,11
K4:L3:w1-1-2,2,1,2,3,K4:L3:w1-1-2,1,4,3,2,9,11
K4:L3:w1-1-2,2,1,3,4,K3:L2:w1-2,0,3,2,1,5,11
K4:L3:w1-1-2,2,1,4,6,K9:L6:w1-1-2-2-1-2,22,9,6,1,11,12
K4:L3:w1-1-2,2,1,5,7,K3:L2:w1-2,0,3,2,1,4,12
K4:L3:w1-1-2,2,1,6,10,K3:L2:w1-2,0,3,2,2,7,12
K4:L3:w1-1-2,2,1,7,12,K3:L2:w1-2,0,3,2,1,4,12
K4:L3:w1-1-2,2,2,0,0,K4:L3:w1-1-2,1,4,3,2,9,11
K4:L3:w1-1-2,2,2,1,1,K3:L2:w1-2,0,3,2,1,5,11
K4:L3:w1-1-2,2,2,2,3,K9:L6:w1-1-2-2-1-2,22,9,6,1,11,12
K4:L3:w1-1-2,2,2,3,4,K3:L2:w1-2,0,3,2,1,4,12
K4:L3:w1-1-2,2,2,4,7,K3:L2:w1-2,0,3,2,2,7,12
K4:L3:w1-1-2,2,2,5,9,K3:L2:w1-2,0,3,2,1,4,12
K4:L3:w1-1-2,2,3,0,0,K4:L3:w1-1-2,1,4,3,2,10,11
K4:L3:w1-1-2,2,3,1,1,K3:L2:w1-2,0,3,2,1,5,12
K4:L3:w1-1-2,2,3,2,3,K9:L6:w1-1-2-1-2-2,21,9,6,1,10,12
K4:L3:w1-1-2,2,3,3,4,K3:L2:w1-2,0,3,2,2,7,13
K4:L3:w1-1-2,2,3,4,6,K3:L2:w1-2,0,3,2,1,4,13
K4:L3:w1-1-2,2,4,0,0,K4:L3:w1-1-2,1,4,3,2,9,12
K4:L3:w1-1-2,2,4,1,1,K3:L2:w1-2,0,3,2,1,5,12
K4:L3:w1-1-2,2,4,2,3,K4:L3:w1-1-2,1,4,3,1,5,12
K4:L3:w1-1-2,2,4,3,4,K3:L2:w1-2,0,3,2,1,4,13
K4:L3:w1-1-2,2,5,0,0,K4:L3:w1-1-2,1,4,3,2,11,12
K4:L3:w1-1-2,2,5,1,1,K3:L2:w1-2,0,3,2,1,5,13
K4:L3:w1-1-2,2,5,2,3,K4:L3:w1-1-2,1,4,3,1,7,13
K4:L3:w1-1-2,2,5,3,4,K3:L2:w1-2,0,3,2,1,5,13
K4:L3:w1-1-2,2,6,0,0,K4:L3:w1-1-2,1,4,3,2,9,12
K4:L3:w1-1-2,2,6,1,1,K3:L2:w1-2,0,3,2,1,5,13
K4:L3:w1-1-2,2,6,2,3,K6:L4:w1-1-2-2,4,6,4,1,7,13
K4:L3:w1-1-2,2,6,3,4,K3:L2:w1-2,0,3,2,1,4,14
K4:L3:w1-1-2,2,7,0,0,K4:L3:w1-1-2,1,4,3,2,10,12
K4:L3:w1-1-2,2,7,1,1,K3:L2:w1-2,0,3,2,1,5,13
K4:L3:w1-1-2,2,7,2,3,K4:L3:w1-1-2,1,4,3,1,6,13
K4:L3:w1-1-2,2,7,3,4,K3:L2:w1-2,0,3,2,1,6,14
K5:L4:w1-1-1-2,1,0,0,0,K10:L7:w1-1-1-2-2-1-2,36,10,7,1,13,6
K5:L4:w1-1-1-2,1,0,1,1,K9:L6:w1-1-2-2-1-2,22,9,6,1,14,7
K5:L4:w1-1-1-2,1,0,2,2,K3:L2:w1-2,0,3,2,1,4,7
K5:L4:w1-1-1-2,1,0,3,7,K4:L3:w1-1-2,1,4,3,1,7,7
K5:L4:w1-1-1-2,1,0,4,8,K3:L2:w1-2,0,3,2,1,5,8
K5:L4:w1-1-1-2,1,0,5,10,K5:L4:w1-1-1-2,2,5,4,1,6,8
K5:L4:w1-1-1-2,1,0,6,11,K4:L3:w1-1-2,1,4,3,1,5,9
K5:L4:w1-1-1-2,1,0,7,12,K3:L2:w1-2,0,3,2,1,4,9
K5:L4:w1-1-1-2,1,0,8,15,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
K5:L4:w1-1-1-2,1,0,9,16,K3:L2:w1-2,0,3,2,2,8,8
K5:L4:w1-1-1-2,1,0,10,18,K3:L2:w1-2,0,3,2,1,5,9
K5:L4:w1-1-1-2,1,0,11,20,K8:L6:w1-1-1-1-1-3,10,8,6,1,12,9
K5:L4:w1-1-1-2,1,0,12,21,K7:L5:w1-1-1-1-3,6,7,5,1,11,9
K5:L4:w1-1-1-2,1,0,13,22,K6:L4:w1-1-1-3,3,6,4,1,12,10
K5:L4:w1-1-1-2,1,1,0,0,K8:L6:w1-1-1-2-1-2,12,8,6,1,12,7
K5:L4:w1-1-1-2,1,1,1,1,K7:L5:w1-1-2-1-2,8,7,5,1,10,8
