src,dst,count
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,243
K8:L7:w1-1-1-1-1-1-2:b1,K7:L6:w1-1-1-1-1-2:b1,239
K9:L7:w1-1-1-1-1-1-3:b1,K8:L6:w1-1-1-1-1-3:b1,219
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,209
K3:L2:w1-2:b1,K9:L6:w1-1-1-3-1-2:b1,204
K12:L8:w1-1-2-1-2-2-1-2:b1,K3:L2:w1-2:b2,198
K3:L2:w1-2:b1,K8:L6:w1-1-1-2-1-2:b1,196
K12:L8:w1-1-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,182
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-1-3:b1,182
K6:L4:w1-1-1-3:b1,K4:L3:w1-1-2:b1,175
K12:L8:w1-1-2-1-2-1-2-2:b1,K3:L2:w1-2:b3,169
K6:L4:w1-1-1-3:b2,K6:L4:w1-1-1-3:b1,162
K3:L2:w1-2:b1,K3:L2:w1-2:b3,162
K12:L8:w1-1-2-1-1-3-1-2:b1,K3:L2:w1-2:b1,159
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-1-3:b1,158
K11:L7:w1-1-1-4-1-1-2:b1,K4:L3:w1-1-2:b1,157
K11:L8:w1-1-1-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,154
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,149
K12:L8:w1-1-2-1-2-1-1-3:b1,K3:L2:w1-2:b2,148
K11:L8:w1-1-1-2-1-1-2-2:b1,K4:L3:w1-1-2:b2,147
K12:L8:w1-1-1-1-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,146
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,145
K12:L8:w1-1-1-1-3-2-1-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,143
K12:L8:w1-1-1-2-2-2-1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,138
K12:L8:w1-1-1-1-2-1-3-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,138
K12:L8:w1-1-1-1-3-1-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,137
K12:L8:w1-1-1-2-2-1-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,133
K14:L9:w1-1-2-2-1-2-1-2-2:b1,K3:L2:w1-2:b1,131
K12:L8:w1-1-1-2-1-1-3-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,129
K12:L8:w1-1-1-3-1-1-2-2:b1,K6:L4:w1-1-2-2:b1,129
K12:L8:w1-1-1-1-2-1-2-3:b1,K11:L7:w1-1-1-2-1-2-3:b1,127
K12:L8:w1-1-1-2-1-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,126
K14:L9:w1-1-2-1-2-2-1-2-2:b1,K3:L2:w1-2:b2,126
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-2-2:b1,124
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-3-2:b1,124
K11:L8:w1-1-1-2-1-2-1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,124
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,123
K14:L9:w1-1-2-1-2-2-2-1-2:b1,K3:L2:w1-2:b2,123
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-1-3:b1,122
K11:L8:w1-1-1-2-1-1-1-3:b1,K4:L3:w1-1-2:b1,122
K12:L8:w1-1-1-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,121
K12:L8:w1-1-1-1-1-3-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,121
K12:L8:w1-1-1-2-1-2-1-3:b1,K11:L7:w1-1-2-1-2-1-3:b1,121
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,121
K12:L8:w1-1-1-2-2-1-1-3:b1,K11:L7:w1-1-2-2-1-1-3:b1,120
K13:L9:w1-1-2-1-2-1-1-2-2:b1,K3:L2:w1-2:b2,119
K3:L2:w1-2:b1,K9:L6:w1-1-1-1-2-3:b1,118
K12:L8:w1-1-1-3-1-2-1-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,118
K14:L9:w1-1-2-1-2-1-2-2-2:b1,K3:L2:w1-2:b3,118
K12:L8:w1-1-1-1-1-2-3-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,117
K14:L9:w1-1-2-1-2-2-1-1-3:b1,K3:L2:w1-2:b2,117
K14:L9:w1-1-1-1-2-1-3-2-2:b1,K11:L7:w1-1-1-2-1-3-2:b1,117
K11:L8:w1-1-1-1-1-2-2-2:b1,K10:L7:w1-1-1-1-2-2-2:b1,117
K3:L2:w1-2:b1,K10:L7:w1-1-2-1-2-1-2:b1,117
K12:L8:w1-1-1-2-1-1-2-3:b1,K4:L3:w1-1-2:b2,117
K11:L8:w1-1-1-1-2-1-2-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,116
K14:L9:w1-1-1-2-1-2-1-3-2:b1,K11:L7:w1-1-2-1-2-1-3:b1,116
K12:L8:w1-1-1-1-2-3-1-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,116
K12:L8:w1-1-1-1-1-1-3-3:b1,K11:L7:w1-1-1-1-1-3-3:b1,116
K14:L9:w1-1-1-2-1-2-2-2-2:b1,K11:L7:w1-1-2-1-2-2-2:b1,116
K12:L8:w1-1-1-1-2-2-1-3:b1,K11:L7:w1-1-1-2-2-1-3:b1,115
K10:L8:w1-1-1-1-2-1-1-2:b1,K9:L7:w1-1-1-2-1-1-2:b1,115
K12:L8:w1-1-1-1-4-1-1-2:b1,K11:L7:w1-1-1-4-1-1-2:b1,115
K14:L9:w1-1-1-1-2-2-2-2-2:b1,K11:L7:w1-1-1-2-2-2-2:b1,115
K14:L9:w1-1-1-2-1-1-3-2-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,114
K13:L9:w1-1-2-1-2-1-2-1-2:b1,K3:L2:w1-2:b4,114
K3:L2:w1-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,113
K7:L5:w1-1-1-2-2:b2,K6:L4:w1-1-2-2:b1,113
K14:L9:w1-1-2-1-1-3-1-2-2:b1,K3:L2:w1-2:b1,113
K3:L2:w1-2:b1,K11:L7:w1-1-2-2-1-1-3:b1,113
K14:L9:w1-1-1-2-2-1-2-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,113
K13:L9:w1-1-1-2-2-1-1-2-2:b1,K6:L4:w1-1-2-2:b2,113
K14:L9:w1-1-2-2-1-2-2-1-2:b1,K3:L2:w1-2:b1,113
K12:L8:w1-1-1-2-1-3-1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,112
K14:L9:w1-1-1-3-1-2-1-2-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,112
K13:L9:w1-1-1-2-1-1-2-2-2:b1,K4:L3:w1-1-2:b2,112
K12:L8:w1-1-1-1-1-1-4-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,112
K14:L9:w1-1-1-1-3-1-2-2-2:b1,K11:L7:w1-1-1-3-1-2-2:b1,111
K13:L9:w1-1-1-2-1-2-2-1-2:b1,K12:L8:w1-1-2-1-2-2-1-2:b1,109
K13:L9:w1-1-1-1-1-1-3-2-2:b1,K12:L8:w1-1-1-1-1-3-2-2:b1,109
K14:L9:w1-1-1-1-1-1-4-2-2:b1,K11:L7:w1-1-1-1-1-4-2:b1,109
K7:L5:w1-1-2-1-2:b2,K3:L2:w1-2:b2,107
K14:L9:w1-1-1-1-2-1-2-2-3:b1,K10:L7:w1-1-1-2-1-2-2:b1,107
K12:L8:w1-1-1-1-1-2-2-3:b1,K11:L7:w1-1-1-1-2-2-3:b1,106
K14:L9:w1-1-1-2-1-3-1-2-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,106
K12:L8:w1-1-1-1-1-1-2-4:b1,K11:L7:w1-1-1-1-1-2-4:b1,105
K14:L9:w1-1-1-1-3-2-1-2-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,105
K14:L9:w1-1-1-1-1-2-2-3-2:b1,K11:L7:w1-1-1-1-2-2-3:b1,105
K12:L8:w1-1-1-2-3-1-1-2:b1,K4:L3:w1-1-2:b1,105
K14:L9:w1-1-2-1-2-1-1-3-2:b1,K3:L2:w1-2:b2,105
K11:L8:w1-1-1-1-1-3-1-2:b1,K10:L7:w1-1-1-1-3-1-2:b1,104
K14:L9:w1-1-1-1-1-3-2-2-2:b1,K11:L7:w1-1-1-1-3-2-2:b1,104
K14:L9:w1-1-1-1-2-2-2-1-3:b1,K9:L6:w1-1-1-2-2-2:b1,104
K13:L9:w1-1-1-1-1-2-2-2-2:b1,K12:L8:w1-1-1-1-2-2-2-2:b1,104
K11:L8:w1-1-1-1-3-1-1-2:b1,K10:L7:w1-1-1-3-1-1-2:b1,104
K14:L9:w1-1-1-1-3-1-1-1-4:b1,K6:L4:w1-1-1-3:b1,103
K12:L8:w1-1-1-1-3-1-1-3:b1,K11:L7:w1-1-1-3-1-1-3:b1,103
K12:L8:w1-1-1-1-1-1-1-5:b1,K11:L7:w1-1-1-1-1-1-5:b1,103
K12:L8:w1-1-1-1-1-3-1-3:b1,K11:L7:w1-1-1-1-3-1-3:b1,103
K12:L8:w1-1-1-2-1-1-1-4:b1,K4:L3:w1-1-2:b1,103
K14:L9:w1-1-1-2-2-1-2-1-3:b1,K9:L6:w1-1-2-2-1-2:b1,102
K11:L8:w1-1-1-1-1-1-2-3:b1,K10:L7:w1-1-1-1-1-2-3:b1,102
K14:L9:w1-1-1-1-2-2-3-1-2:b1,K7:L5:w1-1-1-2-2:b1,102
K14:L9:w1-1-1-1-2-3-1-2-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,102
K14:L9:w1-1-1-2-2-2-1-2-2:b1,K11:L7:w1-1-2-2-2-1-2:b1,101
