source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K4:L3:w1-1-2,1,4,3,2,1,9,231,10,1,15,8,6.4185733512786,K4:L3:w1-1-2:b3@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b2@3 > K3:L2:w1-2:b1@4 > K9:L6:w1-1-2-2-1-2:b1@6 > K3:L2:w1-2:b1@7 > K3:L2:w1-2:b2@10 > K3:L2:w1-2:b1@12
K4:L3:w1-1-2,1,4,3,2,2,9,231,11,1,12,6,3.8,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K9:L6:w1-1-2-2-1-2:b1@3 > K3:L2:w1-2:b1@4 > K3:L2:w1-2:b2@7 > K3:L2:w1-2:b1@9
K4:L3:w1-1-2,1,4,3,2,3,9,231,11,1,13,5,4.2744765138653085,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K9:L6:w1-1-2-1-2-2:b1@3 > K3:L2:w1-2:b2@4 > K3:L2:w1-2:b1@6
K4:L3:w1-1-2,1,4,3,2,4,9,231,12,1,9,4,3.79859587538394,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,5,9,231,12,1,10,4,9.615549982085273,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,6,9,231,12,1,9,4,3.7980623675446563,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K6:L4:w1-1-2-2:b1@3 > K3:L2:w1-2:b1@4
K4:L3:w1-1-2,1,4,3,2,7,9,231,12,1,10,4,4.272870249017038,K4:L3:w1-1-2:b2@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K5:L4:w1-1-1-2,2,5,4,1,0,6,47,6,1,34,14,65.46808510638297,K10:L7:w1-1-1-2-2-1-2:b1@0 > K9:L6:w1-1-2-2-1-2:b1@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b1@7 > K3:L2:w1-2:b1@8 > K5:L4:w1-1-1-2:b1@10 > K4:L3:w1-1-2:b1@11 > K3:L2:w1-2:b1@12 > K7:L5:w1-1-2-1-2:b1@15 > K3:L2:w1-2:b2@16 > K3:L2:w1-2:b1@18 > K8:L6:w1-1-1-1-1-3:b1@20 > K7:L5:w1-1-1-1-3:b1@21 > K6:L4:w1-1-1-3:b1@22
K5:L4:w1-1-1-2,2,5,4,1,1,6,47,7,1,19,7,27.72072072072072,K8:L6:w1-1-1-2-1-2:b1@0 > K7:L5:w1-1-2-1-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4 > K8:L6:w1-1-1-1-1-3:b1@6 > K7:L5:w1-1-1-1-3:b1@7 > K6:L4:w1-1-1-3:b1@8
K5:L4:w1-1-1-2,2,5,4,1,2,6,47,8,1,5,3,3.388571428571429,K5:L4:w1-1-1-2:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,3,6,47,8,1,12,3,12.874476987447698,K5:L4:w1-1-1-2:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,4,6,47,9,1,8,3,3.382838283828383,K9:L6:w1-1-1-2-2-2:b1@0 > K6:L4:w1-1-2-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,5,6,47,9,1,6,3,3.8065395095367847,K5:L4:w1-1-1-2:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,6,6,47,9,1,5,3,3.3805104408352666,K5:L4:w1-1-1-2:b1@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2
K5:L4:w1-1-1-2,2,5,4,1,7,6,47,9,1,17,9,9.634343434343434,K9:L7:w1-1-1-2-1-1-2:b1@0 > K4:L3:w1-1-2:b3@1 > K3:L2:w1-2:b1@2 > K4:L3:w1-1-2:b2@4 > K3:L2:w1-2:b1@5 > K9:L6:w1-1-2-2-1-2:b1@7 > K3:L2:w1-2:b1@8 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13
K5:L4:w1-1-1-2,2,5,4,2,0,11,751,10,1,13,6,9.625832223701732,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K9:L6:w1-1-1-2-1-3:b1@4 > K4:L3:w1-1-2:b1@5 > K3:L2:w1-2:b1@6
K5:L4:w1-1-1-2,2,5,4,2,1,11,751,12,1,9,6,8.546266523758485,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K5:L4:w1-1-1-2:b1@4 > K4:L3:w1-1-2:b1@5 > K3:L2:w1-2:b1@6
K5:L4:w1-1-1-2,2,5,4,2,2,11,751,13,1,13,6,14.419847328244275,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K5:L4:w1-1-1-2:b1@4 > K4:L3:w1-1-2:b1@5 > K3:L2:w1-2:b1@6
K5:L4:w1-1-1-2,2,5,4,2,3,11,751,13,1,13,6,8.544307469180566,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K7:L5:w1-1-1-2-2:b1@4 > K6:L4:w1-1-2-2:b1@5 > K3:L2:w1-2:b1@6
K5:L4:w1-1-1-2,2,5,4,2,4,11,751,14,1,19,7,23.096164598009615,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K8:L6:w1-1-1-2-1-2:b1@4 > K7:L5:w1-1-2-1-2:b1@5 > K3:L2:w1-2:b2@6 > K3:L2:w1-2:b1@8
K5:L4:w1-1-1-2,2,5,4,2,5,11,751,14,1,13,6,8.543808570648713,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K5:L4:w1-1-1-2:b1@4 > K4:L3:w1-1-2:b1@5 > K3:L2:w1-2:b1@6
K5:L4:w1-1-1-2,2,5,4,2,6,11,751,14,1,15,6,32.439680957128616,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K5:L4:w1-1-1-2:b1@4 > K4:L3:w1-1-2:b1@5 > K3:L2:w1-2:b1@6
K5:L4:w1-1-1-2,2,5,4,2,7,11,751,14,1,17,6,8.543580566050242,K5:L4:w1-1-1-2:b2@0 > K4:L3:w1-1-2:b1@1 > K3:L2:w1-2:b1@2 > K9:L6:w1-1-1-2-2-2:b1@4 > K6:L4:w1-1-2-2:b1@5 > K3:L2:w1-2:b1@6
K6:L4:w1-1-1-3,3,6,4,1,0,7,79,7,1,5,1,3.4050632911392404,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,1,1,7,79,8,1,8,3,3.3864734299516908,K10:L7:w1-1-1-3-1-1-2:b1@0 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-1-3,3,6,4,1,2,7,79,9,1,5,1,3.382089552238806,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,1,3,7,79,9,1,7,2,3.3801295896328294,K9:L6:w1-1-1-3-1-2:b1@0 > K3:L2:w1-2:b1@4
K6:L4:w1-1-1-3,3,6,4,1,4,7,79,10,1,5,1,3.3790186125211505,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,1,5,7,79,10,1,8,1,4.2795549374130735,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,1,6,7,79,10,1,5,1,3.3778040141676504,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,1,7,7,79,10,1,6,1,3.3774358974358973,K6:L4:w1-1-1-3:b1@0
K6:L4:w1-1-1-3,3,6,4,2,0,13,4815,13,1,10,2,4.272689511941849,K6:L4:w1-1-1-3:b2@0 > K6:L4:w1-1-1-3:b1@4
K6:L4:w1-1-1-3,3,6,4,2,1,13,4815,14,1,9,2,4.271930498962098,K6:L4:w1-1-1-3:b2@0 > K6:L4:w1-1-1-3:b1@4
K6:L4:w1-1-1-3,3,6,4,2,2,13,4815,15,1,22,5,9.743336949856126,K6:L4:w1-1-1-3:b2@0 > K10:L7:w1-1-1-3-1-1-2:b1@4 > K7:L5:w1-1-2-1-2:b1@8 > K3:L2:w1-2:b2@9 > K3:L2:w1-2:b1@11
K6:L4:w1-1-1-3,3,6,4,2,3,13,4815,15,1,20,7,7.698036813990678,K6:L4:w1-1-1-3:b2@0 > K6:L4:w1-1-1-3:b1@4 > K9:L7:w1-1-1-2-1-1-2:b1@9 > K4:L3:w1-1-2:b2@10 > K3:L2:w1-2:b1@11 > K4:L3:w1-1-2:b1@13 > K3:L2:w1-2:b1@14
K6:L4:w1-1-1-3,3,6,4,2,4,13,4815,16,1,12,3,4.2716387728494265,K6:L4:w1-1-1-3:b2@0 > K9:L6:w1-1-1-3-1-2:b1@4 > K3:L2:w1-2:b1@8
K6:L4:w1-1-1-3,3,6,4,2,5,13,4815,16,1,9,2,4.271611141452758,K6:L4:w1-1-1-3:b2@0 > K6:L4:w1-1-1-3:b1@4
K6:L4:w1-1-1-3,3,6,4,2,6,13,4815,16,1,13,5,5.406285322511906,K6:L4:w1-1-1-3:b2@0 > K6:L4:w1-1-1-3:b1@4 > K5:L4:w1-1-1-2:b1@8 > K4:L3:w1-1-2:b1@9 > K3:L2:w1-2:b1@10
K6:L4:w1-1-1-3,3,6,4,2,7,13,4815,16,1,10,2,4.271577728084429,K6:L4:w1-1-1-3:b2@0 > K6:L4:w1-1-1-3:b1@4
K6:L4:w1-1-2-2,4,6,4,1,0,7,71,7,1,32,13,43.33802816901409,K9:L6:w1-1-2-2-1-2:b1@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@6 > K3:L2:w1-2:b1@7 > K5:L4:w1-1-1-2:b1@9 > K4:L3:w1-1-2:b1@10 > K3:L2:w1-2:b1@11 > K7:L5:w1-1-2-1-2:b1@14 > K3:L2:w1-2:b2@15 > K3:L2:w1-2:b1@17 > K8:L6:w1-1-1-1-1-3:b1@19 > K7:L5:w1-1-1-1-3:b1@20 > K6:L4:w1-1-1-3:b1@21
K6:L4:w1-1-2-2,4,6,4,1,1,7,71,8,1,5,2,2.2562814070351758,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K6:L4:w1-1-2-2,4,6,4,1,2,7,71,9,1,13,7,7.244648318042813,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1 > K9:L7:w1-1-1-1-2-1-2:b1@4 > K10:L7:w1-1-1-2-1-2-2:b1@5 > K9:L6:w1-1-2-1-2-2:b1@6 > K3:L2:w1-2:b2@7 > K3:L2:w1-2:b1@9
K6:L4:w1-1-2-2,4,6,4,1,3,7,71,9,1,5,2,2.2527472527472527,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K6:L4:w1-1-2-2,4,6,4,1,4,7,71,10,1,6,2,2.2521440823327614,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K6:L4:w1-1-2-2,4,6,4,1,5,7,71,10,1,5,2,2.251758087201125,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
K6:L4:w1-1-2-2,4,6,4,1,6,7,71,10,1,9,4,3.209773539928486,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1 > K4:L3:w1-1-2:b1@4 > K3:L2:w1-2:b1@5
K6:L4:w1-1-2-2,4,6,4,1,7,7,71,10,1,5,2,2.25129265770424,K6:L4:w1-1-2-2:b1@0 > K3:L2:w1-2:b1@1
