src,dst,count
K11:L7:w1-1-1-1-1-2-4:b1,K6:L5:w1-1-1-1-2:b1,28
K10:L7:w1-1-1-1-1-1-4:b1,K9:L6:w1-1-1-1-1-4:b1,28
K3:L2:w1-2:b1,K9:L6:w1-1-1-2-2-2:b1,28
K14:L9:w1-1-1-1-3-1-1-1-4:b1,K6:L4:w1-1-1-3:b1,27
K11:L7:w1-1-1-2-3-1-2:b1,K4:L3:w1-1-2:b1,27
K10:L7:w1-1-1-2-2-1-2:b1,K9:L6:w1-1-2-2-1-2:b1,27
K3:L2:w1-2:b1,K6:L5:w1-1-1-1-2:b1,27
K12:L8:w1-1-2-2-1-2-1-2:b1,K3:L2:w1-2:b1,26
K11:L8:w1-1-1-2-2-1-1-2:b1,K6:L4:w1-1-2-2:b1,26
K3:L2:w1-2:b1,K9:L6:w1-1-2-1-2-2:b1,26
K7:L6:w1-1-1-1-1-2:b1,K6:L5:w1-1-1-1-2:b1,26
K3:L2:w1-2:b1,K7:L5:w1-1-1-2-2:b1,26
K11:L7:w1-1-1-1-2-3-2:b1,K5:L4:w1-1-1-2:b1,25
K3:L2:w1-2:b4,K3:L2:w1-2:b3,25
K15:L10:w1-1-1-1-1-3-1-1-1-4:b1,K14:L9:w1-1-1-1-3-1-1-1-4:b1,24
K11:L7:w1-1-1-1-3-1-3:b1,K6:L4:w1-1-1-3:b1,24
K11:L7:w1-1-1-2-1-2-3:b1,K7:L5:w1-1-2-1-2:b1,24
K12:L8:w1-1-1-2-1-2-1-3:b1,K11:L7:w1-1-2-1-2-1-3:b1,23
K14:L9:w1-1-2-1-2-2-1-1-3:b1,K3:L2:w1-2:b2,22
K3:L2:w1-2:b1,K9:L6:w1-1-2-2-1-2:b1,22
K12:L8:w1-1-1-1-3-2-1-2:b1,K11:L7:w1-1-1-3-2-1-2:b1,22
K10:L7:w1-1-1-1-1-2-3:b1,K9:L6:w1-1-1-1-2-3:b1,21
K11:L7:w1-1-1-1-2-1-4:b1,K5:L4:w1-1-1-2:b1,21
K11:L7:w1-1-1-2-1-1-4:b1,K4:L3:w1-1-2:b1,21
K3:L2:w1-2:b1,K8:L6:w1-1-1-1-1-3:b1,21
K6:L4:w1-1-1-3:b1,K4:L3:w1-1-2:b1,21
K11:L7:w1-1-3-1-2-1-2:b1,K3:L2:w1-2:b2,21
K15:L10:w1-1-1-2-3-1-1-2-1-2:b1,K4:L3:w1-1-2:b1,20
K12:L8:w1-1-1-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,20
K13:L9:w1-1-1-2-1-2-2-1-2:b1,K12:L8:w1-1-2-1-2-2-1-2:b1,20
K14:L9:w1-1-1-2-1-1-3-2-2:b1,K11:L7:w1-1-2-1-1-3-2:b1,20
K11:L7:w1-1-1-1-2-2-3:b1,K7:L5:w1-1-1-2-2:b1,19
