K,L,word,C_w,A,denominator,q_num,q_den,q_decimal,residue_bits,q_mod_2_power
15,10,1 1 1 1 1 1 2 3 2 2,72233,15,-26281,-72233,26281,-2.74848750048,16,14463
15,10,1 1 1 1 1 1 2 4 1 2,78377,15,-26281,-78377,26281,-2.98226855904,16,57471
15,10,1 1 1 1 1 1 3 1 1 4,65321,15,-26281,-65321,26281,-2.4854838096,16,23423
15,10,1 1 1 1 1 1 3 1 2 3,67369,15,-26281,-67369,26281,-2.56341082912,16,37759
15,10,1 1 1 1 1 1 3 1 3 2,71465,15,-26281,-71465,26281,-2.71926486816,16,895
15,10,1 1 1 1 1 1 3 2 1 3,70441,15,-26281,-70441,26281,-2.6803013584,16,26495
15,10,1 1 1 1 1 1 3 2 2 2,74537,15,-26281,-74537,26281,-2.83615539744,16,55167
15,10,1 1 1 1 1 1 3 3 1 2,80681,15,-26281,-80681,26281,-3.06993645599,16,32639
15,10,1 1 1 1 1 1 4 1 1 3,75049,15,-26281,-75049,26281,-2.85563715232,16,42367
15,10,1 1 1 1 1 1 4 1 2 2,79145,15,-26281,-79145,26281,-3.01149119135,16,5503
15,10,1 1 1 1 1 1 4 2 1 2,85289,15,-26281,-85289,26281,-3.24527224991,16,48511
15,10,1 1 1 1 1 1 5 1 1 2,94505,15,-26281,-2305,641,-3.59594383775,16,14719
15,10,1 1 1 1 1 2 1 1 1 5,62185,15,-26281,-62185,26281,-2.36615806096,16,60863
15,10,1 1 1 1 1 2 1 1 2 4,63209,15,-26281,-63209,26281,-2.40512157072,16,35263
15,10,1 1 1 1 1 2 1 1 3 3,65257,15,-26281,-65257,26281,-2.48304859024,16,49599
15,10,1 1 1 1 1 2 1 1 4 2,69353,15,-26281,-69353,26281,-2.63890262928,16,12735
15,10,1 1 1 1 1 2 1 2 1 4,64745,15,-26281,-64745,26281,-2.46356683536,16,62399
15,10,1 1 1 1 1 2 1 2 2 3,66793,15,-26281,-66793,26281,-2.54149385488,16,11199
15,10,1 1 1 1 1 2 1 2 3 2,70889,15,-26281,-1729,641,-2.69734789392,16,39871
15,10,1 1 1 1 1 2 1 3 1 3,69865,15,-26281,-69865,26281,-2.65838438416,16,65471
15,10,1 1 1 1 1 2 1 3 2 2,73961,15,-26281,-73961,26281,-2.8142384232,16,28607
15,10,1 1 1 1 1 2 1 4 1 2,80105,15,-26281,-80105,26281,-3.04801948175,16,6079
15,10,1 1 1 1 1 2 2 1 1 4,67049,15,-26281,-67049,26281,-2.55123473232,16,37567
