src,dst,count,source_events,empirical_probability
K3:L2:b5,K3:L2:b4,82,82,1.0
K16:L11:b1,K3:L2:b2,82,14187,0.005779939381123564
K6:L4:b1,K16:L13:b1,81,28722,0.0028201378734071443
K11:L7:b1,K14:L9:b1,78,19101,0.004083555834773048
K15:L12:b1,K8:L6:b1,77,3123,0.024655779699007365
K15:L12:b1,K9:L7:b1,76,3123,0.024335574767851424
K16:L12:b1,K9:L6:b1,76,5728,0.013268156424581005
K15:L14:b1,K14:L13:b1,71,88,0.8068181818181818
K16:L11:b1,K4:L3:b3,70,14187,0.004934094593642067
K9:L6:b2,K3:L2:b1,69,192,0.359375
K6:L4:b2,K9:L6:b1,66,1236,0.05339805825242718
K5:L4:b3,K4:L3:b1,64,64,1.0
K6:L4:b1,K12:L9:b1,62,28722,0.0021586240512499128
K6:L4:b1,K14:L11:b1,61,28722,0.002123807534294269
K16:L11:b1,K3:L2:b3,58,14187,0.004088249806160569
K13:L11:b1,K16:L12:b1,58,841,0.06896551724137931
K9:L7:b2,K8:L6:b1,57,79,0.7215189873417721
K13:L11:b1,K16:L11:b1,57,841,0.06777645659928656
K11:L7:b1,K16:L12:b1,57,19101,0.0029841369561803047
K13:L11:b1,K16:L13:b1,56,841,0.06658739595719382
K16:L12:b1,K4:L3:b3,56,5728,0.009776536312849162
K11:L7:b1,K15:L11:b1,55,19101,0.002879430396314329
K12:L10:b1,K16:L12:b1,54,745,0.07248322147651007
K16:L12:b1,K6:L5:b2,54,5728,0.009427374301675978
K6:L4:b2,K11:L7:b1,52,1236,0.042071197411003236
K11:L7:b1,K9:L6:b1,51,19101,0.002670017276582378
K16:L12:b1,K5:L4:b1,51,5728,0.0089036312849162
K16:L11:b1,K3:L2:b5,51,14187,0.003594840346796363
K11:L7:b2,K3:L2:b1,51,85,0.6
K16:L13:b1,K6:L5:b2,51,1629,0.03130755064456722
K12:L9:b2,K11:L8:b1,51,51,1.0
K6:L4:b1,K13:L10:b1,50,28722,0.0017408258477821879
K6:L4:b1,K5:L4:b2,50,28722,0.0017408258477821879
K3:L2:b1,K3:L2:b4,50,100901,0.0004955352275993301
K6:L4:b1,K7:L6:b1,48,28722,0.0016711928138709003
K9:L6:b1,K14:L9:b1,46,12438,0.003698343785174465
K16:L13:b1,K5:L4:b3,45,1629,0.027624309392265192
K12:L10:b1,K16:L11:b1,45,745,0.06040268456375839
K16:L12:b1,K6:L4:b1,45,5728,0.007856145251396648
K11:L7:b1,K14:L10:b1,45,19101,0.002355897596984451
K11:L8:b1,K16:L11:b1,43,3172,0.01355611601513241
K11:L7:b1,K12:L8:b1,43,19101,0.0022511910371184754
K12:L10:b1,K16:L13:b1,42,745,0.056375838926174496
K16:L12:b1,K6:L5:b1,42,5728,0.007332402234636872
K3:L2:b1,K9:L8:b1,42,100901,0.0004162495911834372
K16:L11:b1,K10:L7:b1,42,14187,0.00296045675618524
K14:L9:b1,K15:L10:b1,42,24504,0.0017140058765915769
K9:L6:b1,K15:L10:b1,41,12438,0.0032963498954815887
K16:L12:b1,K8:L6:b1,41,5728,0.00715782122905028
K9:L6:b1,K16:L11:b1,41,12438,0.0032963498954815887
K16:L13:b1,K8:L6:b1,40,1629,0.024554941682013505
K9:L6:b2,K6:L4:b1,39,192,0.203125
K15:L10:b1,K12:L8:b1,39,21691,0.0017979807293347471
K14:L9:b1,K14:L9:b1,39,24504,0.0015915768854064642
K11:L7:b1,K11:L7:b1,39,19101,0.002041777917386524
K16:L15:b1,K15:L14:b1,36,36,1.0
K16:L13:b1,K9:L7:b1,35,1629,0.021485573971761818
K11:L7:b1,K13:L9:b1,35,19101,0.001832364797654573
K14:L9:b1,K16:L11:b1,35,24504,0.0014283382304929807
K9:L6:b1,K16:L12:b1,34,12438,0.002733558449911561
K11:L9:b1,K16:L12:b1,33,826,0.039951573849878935
K3:L2:b1,K11:L10:b1,33,100901,0.0003270532502155578
K15:L11:b1,K6:L5:b1,32,9803,0.003264306844843415
K6:L4:b1,K4:L3:b2,31,28722,0.0010793120256249564
K6:L4:b2,K14:L9:b1,30,1236,0.024271844660194174
K6:L4:b1,K3:L2:b3,29,28722,0.001009678991713669
K14:L9:b1,K3:L2:b4,26,24504,0.0010610512569376427
K11:L8:b1,K16:L12:b1,25,3172,0.007881462799495587
K3:L2:b1,K7:L6:b2,25,100901,0.00024776761379966504
K11:L9:b1,K16:L11:b1,24,826,0.029055690072639227
K9:L6:b2,K4:L3:b1,23,192,0.11979166666666667
K9:L6:b2,K3:L2:b2,23,192,0.11979166666666667
K6:L4:b1,K10:L8:b1,23,28722,0.0008007798899798064
K13:L9:b1,K11:L7:b1,23,9399,0.002447068837110331
K6:L4:b1,K8:L7:b1,23,28722,0.0008007798899798064
